tracker_method_id,metric,horizon,reference_scene_count,cluster_count,missing_cluster_count,pair_count,bootstrap_replicates,seed,tracker_mean,persist4d_mean,difference,relative_difference,ci_lower,ci_upper
B2,normalized_id_switch_rate,4,6,6,0,129,10000,45,0.1169915845217226,0.11407335331558525,-0.0029182312061373505,-0.024943941207972126,-0.06754031278178298,0.07977018139224927
B2,normalized_id_switch_rate,5,6,6,0,129,10000,45,0.12441363673958879,0.12624981075463104,0.001836174015042255,0.014758623436798702,-0.06299540085524676,0.0826532027905502
B2,gap_recovery_recall,4,6,5,1,114,10000,45,0.0660145423378314,0.3068050782470664,0.240790535909235,3.647537760346534,0.14513103346825243,0.3557748443506958
B2,gap_recovery_recall,5,6,6,0,129,10000,45,0.05634617305642336,0.4336920453877082,0.37734587233128486,6.696921048274602,0.17832428381287177,0.6485901244695284
