method,horizon,iou_threshold,temporal_ap,aggregation,sequence_count
FullHistory,4,0.25,0.24188090860843658,pooled class-macro official stmetrics,129
FullHistory,4,0.3,0.23215870559215546,pooled class-macro official stmetrics,129
FullHistory,4,0.35,0.21026000380516052,pooled class-macro official stmetrics,129
FullHistory,4,0.4,0.1906425803899765,pooled class-macro official stmetrics,129
FullHistory,4,0.45,0.1570172756910324,pooled class-macro official stmetrics,129
FullHistory,4,0.5,0.13188578188419342,pooled class-macro official stmetrics,129
FullHistory,4,0.55,0.11949389427900314,pooled class-macro official stmetrics,129
FullHistory,4,0.6,0.09471075236797333,pooled class-macro official stmetrics,129
FullHistory,4,0.65,0.08497792482376099,pooled class-macro official stmetrics,129
FullHistory,4,0.7,0.06373831629753113,pooled class-macro official stmetrics,129
FullHistory,4,0.75,0.05411846563220024,pooled class-macro official stmetrics,129
FullHistory,4,0.8,0.03639184311032295,pooled class-macro official stmetrics,129
FullHistory,4,0.85,0.02745532989501953,pooled class-macro official stmetrics,129
FullHistory,4,0.9,0.008219687268137932,pooled class-macro official stmetrics,129
FullHistory,5,0.25,0.16709297895431519,pooled class-macro official stmetrics,129
FullHistory,5,0.3,0.1527031809091568,pooled class-macro official stmetrics,129
FullHistory,5,0.35,0.14373478293418884,pooled class-macro official stmetrics,129
FullHistory,5,0.4,0.12963083386421204,pooled class-macro official stmetrics,129
FullHistory,5,0.45,0.0985083132982254,pooled class-macro official stmetrics,129
FullHistory,5,0.5,0.08561473339796066,pooled class-macro official stmetrics,129
FullHistory,5,0.55,0.0784461498260498,pooled class-macro official stmetrics,129
FullHistory,5,0.6,0.0655226781964302,pooled class-macro official stmetrics,129
FullHistory,5,0.65,0.0566730722784996,pooled class-macro official stmetrics,129
FullHistory,5,0.7,0.04195896536111832,pooled class-macro official stmetrics,129
FullHistory,5,0.75,0.03630157187581062,pooled class-macro official stmetrics,129
FullHistory,5,0.8,0.02315247617661953,pooled class-macro official stmetrics,129
FullHistory,5,0.85,0.015269829891622066,pooled class-macro official stmetrics,129
FullHistory,5,0.9,0.005121622700244188,pooled class-macro official stmetrics,129
Persist4D,4,0.25,0.22074103355407715,pooled class-macro official stmetrics,129
Persist4D,4,0.3,0.21097536385059357,pooled class-macro official stmetrics,129
Persist4D,4,0.35,0.19505652785301208,pooled class-macro official stmetrics,129
Persist4D,4,0.4,0.18140779435634613,pooled class-macro official stmetrics,129
Persist4D,4,0.45,0.1539602428674698,pooled class-macro official stmetrics,129
Persist4D,4,0.5,0.13553611934185028,pooled class-macro official stmetrics,129
Persist4D,4,0.55,0.09578938782215118,pooled class-macro official stmetrics,129
Persist4D,4,0.6,0.07971566170454025,pooled class-macro official stmetrics,129
Persist4D,4,0.65,0.06970351189374924,pooled class-macro official stmetrics,129
Persist4D,4,0.7,0.059622738510370255,pooled class-macro official stmetrics,129
Persist4D,4,0.75,0.04551181569695473,pooled class-macro official stmetrics,129
Persist4D,4,0.8,0.03147830069065094,pooled class-macro official stmetrics,129
Persist4D,4,0.85,0.016351182013750076,pooled class-macro official stmetrics,129
Persist4D,4,0.9,0.0024169492535293102,pooled class-macro official stmetrics,129
Persist4D,5,0.25,0.169673353433609,pooled class-macro official stmetrics,129
Persist4D,5,0.3,0.167008176445961,pooled class-macro official stmetrics,129
Persist4D,5,0.35,0.15256339311599731,pooled class-macro official stmetrics,129
Persist4D,5,0.4,0.14176879823207855,pooled class-macro official stmetrics,129
Persist4D,5,0.45,0.11950273811817169,pooled class-macro official stmetrics,129
Persist4D,5,0.5,0.10772459208965302,pooled class-macro official stmetrics,129
Persist4D,5,0.55,0.0693281963467598,pooled class-macro official stmetrics,129
Persist4D,5,0.6,0.05821135267615318,pooled class-macro official stmetrics,129
Persist4D,5,0.65,0.0527021661400795,pooled class-macro official stmetrics,129
Persist4D,5,0.7,0.043255556374788284,pooled class-macro official stmetrics,129
Persist4D,5,0.75,0.033193107694387436,pooled class-macro official stmetrics,129
Persist4D,5,0.8,0.023241085931658745,pooled class-macro official stmetrics,129
Persist4D,5,0.85,0.011600342579185963,pooled class-macro official stmetrics,129
Persist4D,5,0.9,0.0012152466224506497,pooled class-macro official stmetrics,129
