method,reference_scene_id,master_sequence_id,order_id,horizon,status,error_type,error_message,median_latency_ms,mean_latency_ms,std_latency_ms,peak_allocated_bytes,peak_reserved_bytes,peak_allocated_mib,peak_reserved_mib,update_scan_count,cumulative_scan_count,update_point_count,cumulative_point_count,model_input_bytes,cumulative_model_input_bytes,persistent_state_bytes,explicit_history_input_bytes
FullHistoryAdapted,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,pass,,,438.3159715,439.4090754,4.52782686584663,1516046848,2239758336,1445.81494140625,2136.0,2,2,87611,87611,12088688,12088688,,12088688
FullHistoryAdapted,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,pass,,,543.0759840000001,543.8599059000001,1.324887440176994,1914229760,2810183680,1825.5517578125,2680.0,3,5,126591,214202,17239596,29328284,,17239596
FullHistoryAdapted,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,pass,,,620.0437335,619.9168446,1.1798492388180162,2173886976,3227516928,2073.18017578125,3078.0,4,9,154346,368548,20794108,50122392,,20794108
FullHistoryAdapted,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,pass,,,770.8470055,771.2469389,1.7715199875371717,2720975872,4284481536,2594.9248046875,4086.0,5,14,205984,574532,28013536,78135928,,28013536
FullHistoryAdapted,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,2,pass,,,509.50211,509.8672522,1.4544822768968846,1821491200,2694840320,1737.109375,2570.0,2,2,113770,113770,15883992,15883992,,15883992
FullHistoryAdapted,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,3,pass,,,691.3350674999999,691.9734063,1.9644432655761896,2474697216,3848273920,2360.05517578125,3670.0,3,5,175774,289544,24390380,40274372,,24390380
FullHistoryAdapted,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,4,pass,,,742.1693009999999,750.8710905,20.024833907845103,2637536256,4190109696,2515.3505859375,3996.0,4,9,190080,479624,26466252,66740624,,26466252
FullHistoryAdapted,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,canonical,5,pass,,,847.744008,847.8156558000001,0.7793509589174424,2994132480,4594860032,2855.42724609375,4382.0,5,14,224746,704370,31166508,97907132,,31166508
FullHistoryAdapted,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,2,pass,,,685.4669525,685.5219787,1.0066811962003857,2400583168,3816816640,2289.37451171875,3640.0,2,2,184174,184174,23984064,23984064,,23984064
FullHistoryAdapted,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,3,pass,,,920.2869865,920.1123667,1.104107429176989,3194611200,5182062592,3046.61865234375,4942.0,3,5,265887,450061,34629312,58613376,,34629312
FullHistoryAdapted,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,4,pass,,,1104.2578800000001,1104.3944412,1.5909682122413635,3823461376,6150946816,3646.3369140625,5866.0,4,9,326452,776513,42864380,101477756,,42864380
FullHistoryAdapted,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,5,pass,,,1473.2569755,1470.6796545,5.524420822131398,5001284096,8206155776,4769.59619140625,7826.0,5,14,454986,1231499,58989016,160466772,,58989016
FullHistoryAdapted,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,2,pass,,,488.786748,488.7351805,0.49157524376361267,1734568960,2648702976,1654.2138671875,2526.0,2,2,108716,108716,15072508,15072508,,15072508
FullHistoryAdapted,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,3,pass,,,646.5412285,646.7585582,0.8760071968806946,2301906944,3537895424,2195.26953125,3374.0,3,5,162752,271468,22557444,37629952,,22557444
FullHistoryAdapted,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,4,pass,,,763.0037355,762.7577397,0.6549703991038117,2719519744,4362076160,2593.5361328125,4160.0,4,9,202528,473996,27998248,65628200,,27998248
FullHistoryAdapted,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,5,pass,,,942.8044725,942.8999094,0.6577048568489028,3322894336,5427429376,3168.958984375,5176.0,5,14,263273,737269,36058256,101686456,,36058256
FullHistoryAdapted,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,2,pass,,,731.5366385,731.6129917,0.8731400860324852,2545124864,4011851776,2427.22021484375,3826.0,2,2,180028,180028,25091804,25091804,,25091804
FullHistoryAdapted,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,3,pass,,,879.3057095,879.5668829,0.7781269282332429,3019451904,4764729344,2879.57373046875,4544.0,3,5,224308,404336,31299704,56391508,,31299704
FullHistoryAdapted,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,4,pass,,,1102.319101,1102.3386009,0.6002224236505098,3767906304,5819596800,3593.35546875,5550.0,4,9,289514,693850,40734724,97126232,,40734724
FullHistoryAdapted,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,canonical,5,pass,,,1246.8217985,1246.9278348,0.9797431885530576,4242043904,7000293376,4045.5283203125,6676.0,5,14,331656,1025506,46737364,143863596,,46737364
FullHistoryAdapted,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,2,pass,,,716.1040805,716.4730813,1.3847953855403492,2469412352,3810525184,2355.01513671875,3634.0,2,2,184916,184916,24657020,24657020,,24657020
FullHistoryAdapted,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,3,pass,,,1020.528689,1020.8397491000001,1.1550484893871398,3464416256,5523898368,3303.9248046875,5268.0,3,5,289270,474186,37909192,62566212,,37909192
FullHistoryAdapted,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,4,pass,,,1128.8953185,1128.8959317,1.358359055846885,3807070208,6125780992,3630.705078125,5842.0,4,9,324162,798348,42504496,105070708,,42504496
FullHistoryAdapted,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,canonical,5,pass,,,1193.65053,1194.5506124,2.634332866203198,4017826816,6677331968,3831.6982421875,6368.0,5,14,359322,1157670,46201432,151272140,,46201432
