method_id,method,reference_scene_id,master_sequence_id,order_id,horizon,tracker_initialization_horizon,task_metric_source,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall
FullHistoryAdaptedB2,ReScene4D T2-to-T3 Horizon-Adapted + B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,2,adapted_checkpoint_cache,0.37962961196899414,0.5357142686843872,0.5496031641960144,0.48765432834625244,0.7222222089767456,0.7777777910232544,0.7023809552192688,0.8214285969734192,0.8214285969734192,0.7857142686843872,0,0,0,0,0,0,0,0,0,,,,,
FullHistoryAdaptedNative,ReScene4D T2-to-T3 Horizon-Adapted (Native IDs),10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,2,adapted_checkpoint_cache,0.37962961196899414,0.5357142686843872,0.5496031641960144,0.48765432834625244,0.7222222089767456,0.7777777910232544,0.7023809552192688,0.8214285969734192,0.8214285969734192,0.7857142686843872,0,0,0,0,0,0,0,0,0,,,,,
FullHistoryFrozenB2,ReScene4D T2-Frozen + B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,2,frozen_full_history_cache,0.4026063084602356,0.6172839403152466,0.6867283582687378,0.42592594027519226,0.7222222089767456,0.8333333134651184,0.7023809552192688,0.8214285969734192,0.8928571343421936,0.7857142686843872,0,0,0,0,0,0,0,0,0,,,,,
FullHistoryFrozenNative,ReScene4D T2-Frozen (Native IDs),10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,2,frozen_full_history_cache,0.4026063084602356,0.6172839403152466,0.6867283582687378,0.42592594027519226,0.7222222089767456,0.8333333134651184,0.7023809552192688,0.8214285969734192,0.8928571343421936,0.7857142686843872,0,0,0,0,0,0,0,0,0,,,,,
Persist4D,Persist4D Persistent Entity State,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,1,frozen_persist4d_cache,0.4444444477558136,0.7222222089767456,0.7916666865348816,0.4444444477558136,0.7222222089767456,0.8333333134651184,0.7857142686843872,0.9285714030265808,1.0,0.7857142686843872,0,4,0,4,0,4,0,0,0,0.0,0.0,0.0,,
FullHistoryAdaptedB2,ReScene4D T2-to-T3 Horizon-Adapted + B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,2,adapted_checkpoint_cache,0.15432098507881165,0.2916666567325592,0.3125,0.1913580298423767,0.3333333432674408,0.5,0.6300705075263977,0.7777777910232544,0.7916666865348816,0.7152777910232544,0,3,0,3,1,4,0,0,0,0.0,0.0,0.25,,
FullHistoryAdaptedNative,ReScene4D T2-to-T3 Horizon-Adapted (Native IDs),10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,2,adapted_checkpoint_cache,0.15432098507881165,0.2916666567325592,0.3125,0.1913580298423767,0.3333333432674408,0.5,0.6300705075263977,0.7777777910232544,0.7916666865348816,0.7152777910232544,3,3,3,3,0,0,0,0,0,1.0,1.0,,,
FullHistoryFrozenB2,ReScene4D T2-Frozen + B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,2,frozen_full_history_cache,0.16859567165374756,0.2951388955116272,0.3340277671813965,0.23456789553165436,0.3888888955116272,0.6111111044883728,0.5524691343307495,0.6944444179534912,0.8055555820465088,0.6944444179534912,0,4,0,4,0,4,0,0,0,0.0,0.0,0.0,,
FullHistoryFrozenNative,ReScene4D T2-Frozen (Native IDs),10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,2,frozen_full_history_cache,0.16859567165374756,0.2951388955116272,0.3340277671813965,0.23456789553165436,0.3888888955116272,0.6111111044883728,0.5524691343307495,0.6944444179534912,0.8055555820465088,0.6944444179534912,4,4,4,4,0,0,0,0,0,1.0,1.0,,,
Persist4D,Persist4D Persistent Entity State,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,1,frozen_persist4d_cache,0.3580246865749359,0.6111111044883728,0.625,0.4027777910232544,0.6875,0.75,0.422839492559433,0.5833333134651184,0.6666666865348816,0.7592592835426331,0,9,0,11,0,11,2,2,2,0.0,0.0,0.0,1.0,1.0
FullHistoryAdaptedB2,ReScene4D T2-to-T3 Horizon-Adapted + B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,2,adapted_checkpoint_cache,0.14506173133850098,0.29629626870155334,0.32407405972480774,0.21604938805103302,0.3888888955116272,0.5,0.6504629850387573,0.8541666865348816,0.8611111044883728,0.8518518805503845,0,6,0,6,1,7,0,0,0,0.0,0.0,0.14285714285714285,,
FullHistoryAdaptedNative,ReScene4D T2-to-T3 Horizon-Adapted (Native IDs),10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,2,adapted_checkpoint_cache,0.14506173133850098,0.29629626870155334,0.32407405972480774,0.21604938805103302,0.3888888955116272,0.5,0.6504629850387573,0.8541666865348816,0.8611111044883728,0.8518518805503845,6,6,6,6,0,0,0,0,0,1.0,1.0,,,
FullHistoryFrozenB2,ReScene4D T2-Frozen + B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,2,frozen_full_history_cache,0.15432098507881165,0.2916666567325592,0.4305555522441864,0.1913580298423767,0.3333333432674408,0.5555555820465088,0.5949074029922485,0.75,0.875,0.7777777910232544,0,7,0,7,0,7,0,0,0,0.0,0.0,0.0,,
FullHistoryFrozenNative,ReScene4D T2-Frozen (Native IDs),10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,2,frozen_full_history_cache,0.15432098507881165,0.2916666567325592,0.4305555522441864,0.1913580298423767,0.3333333432674408,0.5555555820465088,0.5949074029922485,0.75,0.875,0.7777777910232544,7,7,7,7,0,0,0,0,0,1.0,1.0,,,
Persist4D,Persist4D Persistent Entity State,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,1,frozen_persist4d_cache,0.2839506268501282,0.5,0.5138888955116272,0.3194444477558136,0.5625,0.625,0.5,0.6666666865348816,0.6666666865348816,0.6000000238418579,0,12,0,14,0,14,2,2,2,0.0,0.0,0.0,1.0,1.0
FullHistoryAdaptedB2,ReScene4D T2-to-T3 Horizon-Adapted + B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,2,adapted_checkpoint_cache,0.2320987582206726,0.3055555522441864,0.37037035822868347,0.26543208956718445,0.3888888955116272,0.5555555820465088,0.72207111120224,0.7625850439071655,0.8511905074119568,0.8492063283920288,0,8,4,12,2,10,4,3,0,0.0,0.3333333333333333,0.2,0.0,0.0
FullHistoryAdaptedNative,ReScene4D T2-to-T3 Horizon-Adapted (Native IDs),10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,2,adapted_checkpoint_cache,0.2320987582206726,0.3055555522441864,0.37037035822868347,0.26543208956718445,0.3888888955116272,0.5555555820465088,0.72207111120224,0.7625850439071655,0.8511905074119568,0.8492063283920288,8,8,12,12,2,2,4,3,0,1.0,1.0,1.0,0.0,0.0
FullHistoryFrozenB2,ReScene4D T2-Frozen + B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,2,frozen_full_history_cache,0.25925925374031067,0.4027777910232544,0.5138888955116272,0.29629629850387573,0.4444444477558136,0.5555555820465088,0.7967686653137207,1.0,1.0,0.8095238208770752,0,10,4,14,0,10,4,3,0,0.0,0.2857142857142857,0.0,0.0,0.0
FullHistoryFrozenNative,ReScene4D T2-Frozen (Native IDs),10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,2,frozen_full_history_cache,0.25925925374031067,0.4027777910232544,0.5138888955116272,0.29629629850387573,0.4444444477558136,0.5555555820465088,0.7967686653137207,1.0,1.0,0.8095238208770752,10,10,14,14,1,1,4,3,0,1.0,1.0,1.0,0.0,0.0
Persist4D,Persist4D Persistent Entity State,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,1,frozen_persist4d_cache,0.2839506268501282,0.5,0.5,0.3194444477558136,0.5625,0.5625,0.7698412537574768,0.8571428656578064,0.8571428656578064,0.8981481194496155,0,15,0,21,0,21,6,5,5,0.0,0.0,0.0,1.0,0.8333333333333334
FullHistoryAdaptedB2,ReScene4D T2-to-T3 Horizon-Adapted + B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,reverse,2,2,adapted_checkpoint_cache,0.5246913433074951,0.5879629850387573,0.6990740299224854,0.7037037014961243,0.7777777910232544,0.8888888955116272,0.5416666865348816,0.7083333134651184,1.0,0.6666666865348816,0,0,0,0,0,0,0,0,0,,,,,
