method_id,method,reference_scene_id,master_sequence_id,order_id,horizon,tracker_initialization_horizon,task_metric_source,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall
B1,Pairwise Feature Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,2,frozen_full_history_cache,0.4026063084602356,0.6172839403152466,0.6867283582687378,0.42592594027519226,0.7222222089767456,0.8333333134651184,0.7023809552192688,0.8214285969734192,0.8928571343421936,0.7857142686843872,0,0,0,0,0,0,0,0,0,,,,,
B2,Pairwise Feature-Class Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,2,frozen_full_history_cache,0.4026063084602356,0.6172839403152466,0.6867283582687378,0.42592594027519226,0.7222222089767456,0.8333333134651184,0.7023809552192688,0.8214285969734192,0.8928571343421936,0.7857142686843872,0,0,0,0,0,0,0,0,0,,,,,
B3,EMA Temporal Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,2,frozen_full_history_cache,0.4026063084602356,0.6172839403152466,0.6867283582687378,0.42592594027519226,0.7222222089767456,0.8333333134651184,0.7023809552192688,0.8214285969734192,0.8928571343421936,0.7857142686843872,0,0,0,0,0,0,0,0,0,,,,,
B4,Full-History + Persistent-State Diagnostic,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,2,frozen_full_history_cache,0.4026063084602356,0.6172839403152466,0.6867283582687378,0.42592594027519226,0.7222222089767456,0.8333333134651184,0.7023809552192688,0.8214285969734192,0.8928571343421936,0.7857142686843872,0,0,0,0,0,0,0,0,0,,,,,
FullHistoryNative,ReScene4D Full-History,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,2,frozen_full_history_cache,0.4026063084602356,0.6172839403152466,0.6867283582687378,0.42592594027519226,0.7222222089767456,0.8333333134651184,0.7023809552192688,0.8214285969734192,0.8928571343421936,0.7857142686843872,0,0,0,0,0,0,0,0,0,,,,,
Persist4D,Persist4D Persistent Entity State,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,1,frozen_persist4d_cache,0.4444444477558136,0.7222222089767456,0.7916666865348816,0.4444444477558136,0.7222222089767456,0.8333333134651184,0.7857142686843872,0.9285714030265808,1.0,0.7857142686843872,0,4,0,4,0,4,0,0,0,0.0,0.0,0.0,,
B1,Pairwise Feature Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,2,frozen_full_history_cache,0.16859567165374756,0.2951388955116272,0.3340277671813965,0.23456789553165436,0.3888888955116272,0.6111111044883728,0.5524691343307495,0.6944444179534912,0.8055555820465088,0.6944444179534912,1,4,1,4,0,3,0,0,0,0.25,0.25,0.0,,
B2,Pairwise Feature-Class Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,2,frozen_full_history_cache,0.16859567165374756,0.2951388955116272,0.3340277671813965,0.23456789553165436,0.3888888955116272,0.6111111044883728,0.5524691343307495,0.6944444179534912,0.8055555820465088,0.6944444179534912,0,4,0,4,0,4,0,0,0,0.0,0.0,0.0,,
B3,EMA Temporal Association,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,2,frozen_full_history_cache,0.16859567165374756,0.2951388955116272,0.3340277671813965,0.23456789553165436,0.3888888955116272,0.6111111044883728,0.5524691343307495,0.6944444179534912,0.8055555820465088,0.6944444179534912,0,4,0,4,0,4,0,0,0,0.0,0.0,0.0,,
B4,Full-History + Persistent-State Diagnostic,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,2,frozen_full_history_cache,0.16859567165374756,0.2951388955116272,0.3340277671813965,0.23456789553165436,0.3888888955116272,0.6111111044883728,0.5524691343307495,0.6944444179534912,0.8055555820465088,0.6944444179534912,0,4,0,4,0,4,0,0,0,0.0,0.0,0.0,,
