horizon,metric,reference_value,replay_value,difference,absolute_difference,relative_difference
2,causal_prefix_t_mAP,0.19099636375904083,0.1905728280544281,-0.00042353570461273193,0.00042353570461273193,-0.002217506638749733
2,causal_prefix_t_mAP50,0.2987154722213745,0.29797470569610596,-0.0007407665252685547,0.0007407665252685547,-0.0024798398280474116
2,causal_prefix_t_mAP25,0.4959089159965515,0.49916374683380127,0.003254830837249756,0.003254830837249756,0.00656336422326472
2,causal_prefix_t_REC,0.34165626764297485,0.3435628116130829,0.0019065439701080322,0.0019065439701080322,0.0055802985358967255
2,causal_prefix_t_REC50,0.5186951160430908,0.48866188526153564,-0.030033230781555176,0.030033230781555176,-0.05790151064206309
2,causal_prefix_t_REC25,0.6918497681617737,0.6999771595001221,0.008127391338348389,0.008127391338348389,0.011747335494442167
2,current_stage_AP,0.37085068225860596,0.37504813075065613,0.004197448492050171,0.004197448492050171,0.01131843270851301
2,current_stage_AP50,0.5460096001625061,0.5533406734466553,0.00733107328414917,0.00733107328414917,0.013426638070039902
2,current_stage_AP25,0.7594894170761108,0.7641790509223938,0.004689633846282959,0.004689633846282959,0.006174719147946989
2,current_stage_REC,0.49325576424598694,0.499083548784256,0.005827784538269043,0.005827784538269043,0.011814934483690542
3,causal_prefix_t_mAP,0.10789728909730911,0.10640052706003189,-0.0014967620372772217,0.0014967620372772217,-0.013872100492972904
3,causal_prefix_t_mAP50,0.18514050543308258,0.18020127713680267,-0.004939228296279907,0.004939228296279907,-0.026678269483633596
3,causal_prefix_t_mAP25,0.34857818484306335,0.35124409198760986,0.002665907144546509,0.002665907144546509,0.007647946028942551
3,causal_prefix_t_REC,0.2476949393749237,0.2426595389842987,-0.005035400390625,0.005035400390625,-0.020329040243342075
3,causal_prefix_t_REC50,0.4108293354511261,0.38322803378105164,-0.027601301670074463,0.027601301670074463,-0.06718434952987437
3,causal_prefix_t_REC25,0.5680026412010193,0.5721408724784851,0.00413823127746582,0.00413823127746582,0.007285584568261325
3,current_stage_AP,0.3669058680534363,0.36578550934791565,-0.0011203587055206299,0.0011203587055206299,-0.0030535317177251046
3,current_stage_AP50,0.5608996748924255,0.560817301273346,-8.237361907958984e-05,8.237361907958984e-05,-0.0001468598089228492
3,current_stage_AP25,0.767978847026825,0.7648735046386719,-0.003105342388153076,0.003105342388153076,-0.004043525938474981
3,current_stage_REC,0.49847909808158875,0.49903106689453125,0.0005519688129425049,0.0005519688129425049,0.001107305833016415
4,causal_prefix_t_mAP,0.06899910420179367,0.06923924386501312,0.0002401396632194519,0.0002401396632194519,0.0034803301578690544
4,causal_prefix_t_mAP50,0.13188578188419342,0.1313571333885193,-0.0005286484956741333,0.0005286484956741333,-0.004008381253244798
4,causal_prefix_t_mAP25,0.24188090860843658,0.2339627593755722,-0.00791814923286438,0.00791814923286438,-0.032735734615924134
4,causal_prefix_t_REC,0.18835905194282532,0.18304866552352905,-0.005310386419296265,0.005310386419296265,-0.02819289205653989
4,causal_prefix_t_REC50,0.32543787360191345,0.3035520017147064,-0.02188587188720703,0.02188587188720703,-0.0672505373912889
4,causal_prefix_t_REC25,0.4589711129665375,0.44574689865112305,-0.013224214315414429,0.013224214315414429,-0.028812737755847775
4,current_stage_AP,0.36049994826316833,0.36084625124931335,0.00034630298614501953,0.00034630298614501953,0.0009606186847278412
4,current_stage_AP50,0.5663458108901978,0.5646647810935974,-0.0016810297966003418,0.0016810297966003418,-0.002968203815188557
4,current_stage_AP25,0.7679016590118408,0.7672741413116455,-0.0006275177001953125,0.0006275177001953125,-0.0008171849778301317
4,current_stage_REC,0.49829205870628357,0.4883928894996643,-0.009899169206619263,0.009899169206619263,-0.019866199016537592
5,causal_prefix_t_mAP,0.045340124517679214,0.04551338776946068,0.00017326325178146362,0.00017326325178146362,0.003821411026648241
5,causal_prefix_t_mAP50,0.08561473339796066,0.08676297217607498,0.0011482387781143188,0.0011482387781143188,0.013411696007706891
5,causal_prefix_t_mAP25,0.16709297895431519,0.162944495677948,-0.0041484832763671875,0.0041484832763671875,-0.02482739431859326
5,causal_prefix_t_REC,0.1365537792444229,0.13765479624271393,0.0011010169982910156,0.0011010169982910156,0.008062881923760328
5,causal_prefix_t_REC50,0.23615474998950958,0.2370453029870987,0.0008905529975891113,0.0008905529975891113,0.0037710568922652257
5,causal_prefix_t_REC25,0.369904488325119,0.36210763454437256,-0.00779685378074646,0.00779685378074646,-0.021078018858461636
5,current_stage_AP,0.36372849345207214,0.36516323685646057,0.0014347434043884277,0.0014347434043884277,0.0039445449840114916
5,current_stage_AP50,0.5437174439430237,0.5473418831825256,0.003624439239501953,0.003624439239501953,0.006666034499863792
5,current_stage_AP25,0.7705991864204407,0.7716264724731445,0.0010272860527038574,0.0010272860527038574,0.0013331003598326767
5,current_stage_REC,0.4884997308254242,0.4958355128765106,0.007335782051086426,0.007335782051086426,0.015016962319899465
