method_id,method,order_id,horizon,sequence_count,tracker_initialization_horizon,task_metric_source,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall
FullHistoryFrozenNative,ReScene4D T2-Frozen (Native IDs),canonical,2,43,2,frozen_full_history_cache,0.20722658932209015,0.3289628326892853,0.5393747687339783,0.349545419216156,0.5150136351585388,0.7182619571685791,0.36980727314949036,0.5628725290298462,0.7723667621612549,0.4997531473636627,0,0,0,0,0,0,0,0,0,,,,,
FullHistoryFrozenNative,ReScene4D T2-Frozen (Native IDs),canonical,3,43,2,frozen_full_history_cache,0.11683275550603867,0.2039884626865387,0.35731008648872375,0.24738429486751556,0.4011823534965515,0.5718505382537842,0.36100059747695923,0.5500369668006897,0.7591304183006287,0.4869191348552704,169,173,169,173,13,17,0,0,0,0.976878612716763,0.976878612716763,0.7647058823529411,,
FullHistoryFrozenNative,ReScene4D T2-Frozen (Native IDs),canonical,4,43,2,frozen_full_history_cache,0.07123789936304092,0.1347436159849167,0.25174641609191895,0.18176354467868805,0.30681535601615906,0.4578271806240082,0.3538123667240143,0.5496121048927307,0.7469495534896851,0.5013357400894165,335,343,388,397,49,58,104,35,1,0.9766763848396501,0.9773299748110831,0.8448275862068966,0.02857142857142857,0.009615384615384616
FullHistoryFrozenNative,ReScene4D T2-Frozen (Native IDs),canonical,5,43,2,frozen_full_history_cache,0.04427722096443176,0.08125066012144089,0.17315047979354858,0.13959765434265137,0.23920784890651703,0.3770503103733063,0.3493248224258423,0.5321940779685974,0.7450615167617798,0.4845113158226013,501,513,624,641,100,117,233,80,1,0.9766081871345029,0.9734789391575663,0.8547008547008547,0.0125,0.004291845493562232
FullHistoryFrozenNative,ReScene4D T2-Frozen (Native IDs),reverse,2,43,2,frozen_full_history_cache,0.21109874546527863,0.3429367244243622,0.5463166832923889,0.3575153052806854,0.5420021414756775,0.7300193309783936,0.3819788098335266,0.5625064373016357,0.7700338959693909,0.5036863684654236,0,0,0,0,0,0,0,0,0,,,,,
FullHistoryFrozenNative,ReScene4D T2-Frozen (Native IDs),reverse,3,43,2,frozen_full_history_cache,0.11031090468168259,0.1929326206445694,0.35779789090156555,0.2456331104040146,0.3952787518501282,0.572920560836792,0.3576786518096924,0.5482119917869568,0.7732046246528625,0.4838184714317322,163,166,163,166,24,27,0,0,0,0.9819277108433735,0.9819277108433735,0.8888888888888888,,
FullHistoryFrozenNative,ReScene4D T2-Frozen (Native IDs),reverse,4,43,2,frozen_full_history_cache,0.07150053977966309,0.1303333193063736,0.2440800666809082,0.17215292155742645,0.29243531823158264,0.44661569595336914,0.36842235922813416,0.5665820240974426,0.7625626921653748,0.504564106464386,333,337,384,392,61,69,103,34,0,0.9881305637982196,0.9795918367346939,0.8840579710144928,0.0,0.0
FullHistoryFrozenNative,ReScene4D T2-Frozen (Native IDs),reverse,5,43,2,frozen_full_history_cache,0.04792429134249687,0.09073711186647415,0.17801950871944427,0.13858845829963684,0.23992878198623657,0.37533876299858093,0.36924096941947937,0.5443105101585388,0.7675338983535767,0.47831910848617554,506,512,630,643,109,122,229,78,1,0.98828125,0.9797822706065319,0.8934426229508197,0.01282051282051282,0.004366812227074236
FullHistoryFrozenNative,ReScene4D T2-Frozen (Native IDs),sha256_seed45,2,43,2,frozen_full_history_cache,0.1711808741092682,0.24638503789901733,0.4208407700061798,0.3174183666706085,0.4886535704135895,0.6269838809967041,0.407415509223938,0.5788251757621765,0.7066320180892944,0.5237429141998291,0,0,0,0,0,0,0,0,0,,,,,
FullHistoryFrozenNative,ReScene4D T2-Frozen (Native IDs),sha256_seed45,3,43,2,frozen_full_history_cache,0.10536342114210129,0.1814330667257309,0.341503769159317,0.25162041187286377,0.4466939866542816,0.5634286403656006,0.4406520426273346,0.6616812944412231,0.7681812047958374,0.5835323929786682,144,150,144,150,6,12,0,0,0,0.96,0.96,0.5,,
