challenger_method_id,baseline_method_id,metric,horizon,dropped_reference_scene_id,remaining_cluster_count,difference,sign_consistent
FullHistoryAdaptedB2,Persist4D,causal_prefix_t_mAP,4,10b17940-3938-2467-8a7a-958300ba83d3,5,0.019752362660235823,True
FullHistoryAdaptedB2,Persist4D,causal_prefix_t_mAP,4,137a8158-1db5-2cc0-8003-31c12610471e,5,0.00042208908746639296,True
FullHistoryAdaptedB2,Persist4D,causal_prefix_t_mAP,4,280d8ebb-6cc6-2788-9153-98959a2da801,5,-0.0031571897450420605,False
FullHistoryAdaptedB2,Persist4D,causal_prefix_t_mAP,4,5630cfcf-12bf-2860-8784-83d28a611a83,5,0.01707185590432749,True
FullHistoryAdaptedB2,Persist4D,causal_prefix_t_mAP,4,8eabc45f-5af7-2f32-8528-640861d2a135,5,-0.006989007879876436,False
FullHistoryAdaptedB2,Persist4D,causal_prefix_t_mAP,4,ddc73797-765b-241a-9e2c-097c5989baf6,5,-0.00032107856331600737,False
FullHistoryAdaptedB2,Persist4D,causal_prefix_t_mAP,5,10b17940-3938-2467-8a7a-958300ba83d3,5,-0.004967321332337127,True
FullHistoryAdaptedB2,Persist4D,causal_prefix_t_mAP,5,137a8158-1db5-2cc0-8003-31c12610471e,5,-0.015787866986874077,True
FullHistoryAdaptedB2,Persist4D,causal_prefix_t_mAP,5,280d8ebb-6cc6-2788-9153-98959a2da801,5,-0.02507516184925205,True
FullHistoryAdaptedB2,Persist4D,causal_prefix_t_mAP,5,5630cfcf-12bf-2860-8784-83d28a611a83,5,0.003118607506362927,False
FullHistoryAdaptedB2,Persist4D,causal_prefix_t_mAP,5,8eabc45f-5af7-2f32-8528-640861d2a135,5,-0.022552404448183048,True
FullHistoryAdaptedB2,Persist4D,causal_prefix_t_mAP,5,ddc73797-765b-241a-9e2c-097c5989baf6,5,-0.018521608299472265,True
FullHistoryAdaptedB2,Persist4D,causal_prefix_t_REC,4,10b17940-3938-2467-8a7a-958300ba83d3,5,0.03207330140595636,True
FullHistoryAdaptedB2,Persist4D,causal_prefix_t_REC,4,137a8158-1db5-2cc0-8003-31c12610471e,5,0.003547710761841805,True
FullHistoryAdaptedB2,Persist4D,causal_prefix_t_REC,4,280d8ebb-6cc6-2788-9153-98959a2da801,5,0.011483118664473307,True
