tracker_method_id,metric,horizon,dropped_reference_scene_id,remaining_cluster_count,difference,expected_direction_consistent
B2,normalized_id_switch_rate,4,10b17940-3938-2467-8a7a-958300ba83d3,5,0.017814990443184082,False
B2,normalized_id_switch_rate,4,137a8158-1db5-2cc0-8003-31c12610471e,5,0.0007841613743531234,False
B2,normalized_id_switch_rate,4,280d8ebb-6cc6-2788-9153-98959a2da801,5,0.006099942802919586,False
B2,normalized_id_switch_rate,4,5630cfcf-12bf-2860-8784-83d28a611a83,5,-0.00986499423151419,True
B2,normalized_id_switch_rate,4,8eabc45f-5af7-2f32-8528-640861d2a135,5,-0.04031347165026338,True
B2,normalized_id_switch_rate,4,ddc73797-765b-241a-9e2c-097c5989baf6,5,0.00796998402449664,False
B2,normalized_id_switch_rate,5,10b17940-3938-2467-8a7a-958300ba83d3,5,0.024423299344955556,False
B2,normalized_id_switch_rate,5,137a8158-1db5-2cc0-8003-31c12610471e,5,0.007426861835621371,False
B2,normalized_id_switch_rate,5,280d8ebb-6cc6-2788-9153-98959a2da801,5,0.00857360112574301,False
B2,normalized_id_switch_rate,5,5630cfcf-12bf-2860-8784-83d28a611a83,5,-0.005309329041988808,True
B2,normalized_id_switch_rate,5,8eabc45f-5af7-2f32-8528-640861d2a135,5,-0.036081325315740036,True
B2,normalized_id_switch_rate,5,ddc73797-765b-241a-9e2c-097c5989baf6,5,0.011983936141662427,False
B2,gap_recovery_recall,4,10b17940-3938-2467-8a7a-958300ba83d3,4,0.22366618846239517,True
B2,gap_recovery_recall,4,137a8158-1db5-2cc0-8003-31c12610471e,4,0.2524365315757805,True
B2,gap_recovery_recall,4,280d8ebb-6cc6-2788-9153-98959a2da801,4,0.2596420160403899,True
B2,gap_recovery_recall,4,5630cfcf-12bf-2860-8784-83d28a611a83,5,0.240790535909235,True
B2,gap_recovery_recall,4,8eabc45f-5af7-2f32-8528-640861d2a135,4,0.192304696497188,True
B2,gap_recovery_recall,4,ddc73797-765b-241a-9e2c-097c5989baf6,4,0.27590324697042146,True
B2,gap_recovery_recall,5,10b17940-3938-2467-8a7a-958300ba83d3,5,0.3863144027443002,True
B2,gap_recovery_recall,5,137a8158-1db5-2cc0-8003-31c12610471e,5,0.4144879246443328,True
B2,gap_recovery_recall,5,280d8ebb-6cc6-2788-9153-98959a2da801,5,0.4166352715166431,True
B2,gap_recovery_recall,5,5630cfcf-12bf-2860-8784-83d28a611a83,5,0.25281504679754196,True
B2,gap_recovery_recall,5,8eabc45f-5af7-2f32-8528-640861d2a135,5,0.3594084533909485,True
B2,gap_recovery_recall,5,ddc73797-765b-241a-9e2c-097c5989baf6,5,0.43441413489394315,True
