method_id,method,horizon,sequence_count,task_metric_source,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall
FullHistoryNative,ReScene4D Full-History,2,129,frozen_full_history_cache,0.19099636375904083,0.2987154722213745,0.4959089159965515,0.34165626764297485,0.5186951160430908,0.6918497681617737,0.37085068225860596,0.5460096001625061,0.7594894170761108,0.49325576424598694,0,0,0,0,0,0,0,0,0,,,,,
FullHistoryNative,ReScene4D Full-History,3,129,frozen_full_history_cache,0.10789728909730911,0.18514050543308258,0.34857818484306335,0.2476949393749237,0.4108293354511261,0.5680026412010193,0.3669058680534363,0.5608996748924255,0.767978847026825,0.49847909808158875,476,489,476,489,43,56,0,0,0,0.9734151329243353,0.9734151329243353,0.7678571428571429,,
FullHistoryNative,ReScene4D Full-History,4,129,frozen_full_history_cache,0.06899910420179367,0.13188578188419342,0.24188090860843658,0.18835905194282532,0.32543787360191345,0.4589711129665375,0.36049994826316833,0.5663458108901978,0.7679016590118408,0.49829205870628357,981,1003,1128,1160,142,174,309,101,1,0.9780658025922233,0.9724137931034482,0.8160919540229885,0.009900990099009901,0.003236245954692557
FullHistoryNative,ReScene4D Full-History,5,129,frozen_full_history_cache,0.045340124517679214,0.08561473339796066,0.16709297895431519,0.1365537792444229,0.23615474998950958,0.369904488325119,0.36372849345207214,0.5437174439430237,0.7705991864204407,0.4884997308254242,1513,1548,1873,1928,290,345,654,218,2,0.977390180878553,0.9714730290456431,0.8405797101449275,0.009174311926605505,0.0030581039755351682
B1,Pairwise Feature Association,2,129,frozen_full_history_cache,0.19099636375904083,0.2987154722213745,0.4959089159965515,0.34165626764297485,0.5186951160430908,0.6918497681617737,0.37085068225860596,0.5460096001625061,0.7594894170761108,0.49325576424598694,0,0,0,0,0,0,0,0,0,,,,,
B1,Pairwise Feature Association,3,129,frozen_full_history_cache,0.10789728909730911,0.18514050543308258,0.34857818484306335,0.2476949393749237,0.4108293354511261,0.5680026412010193,0.3669058680534363,0.5608996748924255,0.767978847026825,0.49847909808158875,70,489,70,489,68,487,0,0,0,0.14314928425357873,0.14314928425357873,0.13963039014373715,,
B1,Pairwise Feature Association,4,129,frozen_full_history_cache,0.06899910420179367,0.13188578188419342,0.24188090860843658,0.18835905194282532,0.32543787360191345,0.4589711129665375,0.36049994826316833,0.5663458108901978,0.7679016590118408,0.49829205870628357,150,1003,248,1160,119,1031,309,101,18,0.14955134596211367,0.21379310344827587,0.11542192046556742,0.1782178217821782,0.05825242718446602
B1,Pairwise Feature Association,5,129,frozen_full_history_cache,0.045340124517679214,0.08561473339796066,0.16709297895431519,0.1365537792444229,0.23615474998950958,0.369904488325119,0.36372849345207214,0.5437174439430237,0.7705991864204407,0.4884997308254242,232,1548,470,1928,185,1643,654,218,32,0.14987080103359174,0.2437759336099585,0.11259890444309191,0.14678899082568808,0.04892966360856269
B2,Pairwise Feature-Class Association,2,129,frozen_full_history_cache,0.19099636375904083,0.2987154722213745,0.4959089159965515,0.34165626764297485,0.5186951160430908,0.6918497681617737,0.37085068225860596,0.5460096001625061,0.7594894170761108,0.49325576424598694,0,0,0,0,0,0,0,0,0,,,,,
B2,Pairwise Feature-Class Association,3,129,frozen_full_history_cache,0.10789728909730911,0.18514050543308258,0.34857818484306335,0.2476949393749237,0.4108293354511261,0.5680026412010193,0.3669058680534363,0.5608996748924255,0.767978847026825,0.49847909808158875,68,489,68,489,69,490,0,0,0,0.1390593047034765,0.1390593047034765,0.14081632653061224,,
B2,Pairwise Feature-Class Association,4,129,frozen_full_history_cache,0.06899910420179367,0.13188578188419342,0.24188090860843658,0.18835905194282532,0.32543787360191345,0.4589711129665375,0.36049994826316833,0.5663458108901978,0.7679016590118408,0.49829205870628357,142,1003,240,1160,129,1049,309,101,20,0.1415752741774676,0.20689655172413793,0.12297426120114395,0.19801980198019803,0.06472491909385113
B2,Pairwise Feature-Class Association,5,129,frozen_full_history_cache,0.045340124517679214,0.08561473339796066,0.16709297895431519,0.1365537792444229,0.23615474998950958,0.369904488325119,0.36372849345207214,0.5437174439430237,0.7705991864204407,0.4884997308254242,223,1548,452,1928,204,1680,654,218,38,0.14405684754521964,0.23443983402489627,0.12142857142857143,0.1743119266055046,0.0581039755351682
B3,EMA Temporal Association,2,129,frozen_full_history_cache,0.19099636375904083,0.2987154722213745,0.4959089159965515,0.34165626764297485,0.5186951160430908,0.6918497681617737,0.37085068225860596,0.5460096001625061,0.7594894170761108,0.49325576424598694,0,0,0,0,0,0,0,0,0,,,,,
