variant,changed_factor,optimizer_steps,sample_exposures,validation_sequence_count,t_mAP,t_mAP50,t_mAP25,overall_mAP,stage1_mAP,stage2_mAP,loss_start,loss_end,lr_start,lr_end,elapsed_seconds,peak_allocated_vram_mib
P2R-0,control,32,64,24,0.20351611077785492,0.3395165205001831,0.49571162462234497,0.28624996542930603,0.38609564304351807,0.3207065165042877,29.09490966796875,43.58497619628906,3.583613390418849e-05,2.4567088470139533e-06,395.6634492590092,18092.203125
P2R-A,frozen_encoder_eval,32,64,24,0.14612694084644318,0.2938993573188782,0.47435274720191956,0.22664400935173035,0.3306120038032532,0.29030805826187134,27.959909439086914,51.43205642700195,3.583613390418849e-05,2.4567088470139533e-06,387.1514128781855,18097.10888671875
P2R-B,public_raw_sum_objective,32,64,24,0.2003679871559143,0.32469022274017334,0.46233469247817993,0.2927066683769226,0.37459468841552734,0.3231622278690338,13.071172714233398,22.319847106933594,3.583613390418849e-05,2.4567088470139533e-06,383.196852279827,18092.203125
P2R-C,microbatch_1x2_normalization,32,64,24,0.18709556758403778,0.31114959716796875,0.45203202962875366,0.2521422803401947,0.3633683919906616,0.3148827850818634,17.45450782775879,30.430270195007324,3.583613390418849e-05,2.4567088470139533e-06,181.06404259288684,13880.5458984375
