reference_scene_id,master_sequence_id,order_id,T,gt_id,gt_class,gt_point_count,official_valid,b4_best_any_iou,b4_best_class_compatible_iou,full_history_best_class_compatible_iou,no_candidate,mask_insufficient,class_change,full_history_success_b4_failure,fragmentation_event,merge_event,trajectory_worst_b4_iou,first_b4_below_0_25_T,first_b4_below_0_50_T,t1_cold_start_failure,t1_cold_start_contributes
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,2,39,4489,True,0.8236601948738098,0.8236601948738098,0.8387814164161682,False,False,False,False,False,False,0.6132450103759766,,,False,False
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,4,9,2144,True,0.735541045665741,0.735541045665741,0.735541045665741,False,False,False,False,False,False,0.5027095675468445,,,False,False
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,7,8,1858,True,0.6626248359680176,0.6626248359680176,0.7200000286102295,False,False,False,False,False,False,0.5281212329864502,,,False,False
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,10,16,17118,True,0.8656189441680908,0.8656189441680908,0.9246299266815186,False,False,False,False,False,False,0.8656189441680908,,,False,False
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,11,9,420,True,0.3860759437084198,0.12142857164144516,0.12142857164144516,False,True,False,False,False,False,0.12142857164144516,2,2,False,False
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,12,6,4288,True,0.43893298506736755,0.43893298506736755,0.769050657749176,False,True,False,True,False,False,0.43893298506736755,,2,False,False
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,13,3,2438,True,0.8300701975822449,0.8300701975822449,0.8293313384056091,False,False,False,False,False,False,0.7794304490089417,,,False,False
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,16,14,7979,True,0.8506084084510803,0.8506084084510803,0.8578464388847351,False,False,False,False,False,False,0.6721109747886658,,,False,False
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,23,5,2322,True,0.948917031288147,0.948917031288147,0.948917031288147,False,False,False,False,False,False,0.9323427081108093,,,False,False
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,24,7,1985,True,0.45390427112579346,0.4504152536392212,0.6562188863754272,False,True,False,True,False,False,0.4114675521850586,,2,True,True
10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,26,5,1360,True,0.9056603908538818,0.9056603908538818,0.908108115196228,False,False,False,False,False,False,0.9056603908538818,,,False,False
