population_id,model,checkpoint_sha256,training_seed,evaluation_seed,method,reducer,T,t_mAP,t_mAP50,t_mAP25,t_REC,prefix_overall_mAP,local_current_AP,num_master,num_order_units,num_reference_clusters
development_train_holdout_47_masters_canonical,C2,144551fe0c6d94712bb068d4eea90714bd60f227e53a86f9c158f1474d664000,45,45,B4,mean,2,0.5139439105987549,0.773842453956604,0.8963891267776489,0.5862420201301575,0.6355257630348206,0.6478102207183838,47,47,8
development_train_holdout_47_masters_canonical,C2,144551fe0c6d94712bb068d4eea90714bd60f227e53a86f9c158f1474d664000,45,45,B4,mean,3,0.3940407931804657,0.6234791874885559,0.7276558876037598,0.46707236766815186,0.5431320667266846,0.6243959665298462,47,47,8
development_train_holdout_47_masters_canonical,C2,144551fe0c6d94712bb068d4eea90714bd60f227e53a86f9c158f1474d664000,45,45,B4,mean,4,0.36460116505622864,0.5916547179222107,0.709954023361206,0.429837167263031,0.5522838830947876,0.6403048038482666,47,47,8
development_train_holdout_47_masters_canonical,C2,144551fe0c6d94712bb068d4eea90714bd60f227e53a86f9c158f1474d664000,45,45,B4,mean,5,0.339670866727829,0.5538430213928223,0.6692147254943848,0.393364280462265,0.5264642238616943,0.6496499180793762,47,47,8
