config,status,completed_units,expected_units,cpu_core_hours,T2,T3,T4,T5
A0-U-tau-0.6,PASS,23,23,0.4791090007238889,0.36447855830192566,0.2825133800506592,0.22725355625152588,0.20482075214385986
A0-U-tau-0.666666666667,PASS,23,23,0.4583676364741667,0.36447855830192566,0.29153433442115784,0.2399497777223587,0.22098052501678467
A0-U-tau-0.73,PASS,23,23,0.46912974970583327,0.36447855830192566,0.289980411529541,0.24295301735401154,0.22158874571323395
A1-theta-0.5,NOT_RUN,0,23,,,,,
A1-theta-0.65,NOT_RUN,0,23,,,,,
A1-theta-0.8,NOT_RUN,0,23,,,,,
A2-lambda-0.25-tau-0.6,NOT_RUN,0,23,,,,,
A2-lambda-0.25-tau-0.666666666667,NOT_RUN,0,23,,,,,
A2-lambda-0.25-tau-0.73,NOT_RUN,0,23,,,,,
A2-lambda-0.5-tau-0.6,NOT_RUN,0,23,,,,,
A2-lambda-0.5-tau-0.666666666667,NOT_RUN,0,23,,,,,
A2-lambda-0.5-tau-0.73,NOT_RUN,0,23,,,,,
