method,reference_scene_id,master_sequence_id,order_id,horizon,deployment_id_switches,identity_transition_opportunities,normalized_id_switch_rate,fragmentation_count,fragmentation_opportunities,fragmentation_rate,merge_count,merge_opportunities,merge_rate,gap_opportunities,recovery_attempts,correct_recoveries,gap_recovery_accuracy,gap_recovery_recall,association_event_count,new_birth_count,false_birth_count,birth_rejected_count,tracker_input,identity_matching,cache_digest
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,0,4,0.0,0,4,0.0,0,4,0.0,0,0,0,,,25,11,1,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,741def744dbed7e1a6250e68b04bc0adc6208d17e03b2a778e25a32fb136005f
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,0,4,0.0,0,4,0.0,0,4,0.0,0,0,0,,,25,11,1,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,741def744dbed7e1a6250e68b04bc0adc6208d17e03b2a778e25a32fb136005f
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,0,4,0.0,0,4,0.0,0,4,0.0,0,0,0,,,25,12,1,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,741def744dbed7e1a6250e68b04bc0adc6208d17e03b2a778e25a32fb136005f
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,0,9,0.0,1,11,0.09090909090909091,0,10,0.0,2,2,1,0.5,0.5,36,12,2,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,741def744dbed7e1a6250e68b04bc0adc6208d17e03b2a778e25a32fb136005f
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,0,9,0.0,1,11,0.09090909090909091,0,10,0.0,2,2,1,0.5,0.5,36,12,2,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,741def744dbed7e1a6250e68b04bc0adc6208d17e03b2a778e25a32fb136005f
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,0,9,0.0,0,11,0.0,0,11,0.0,2,2,2,1.0,1.0,36,12,1,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,741def744dbed7e1a6250e68b04bc0adc6208d17e03b2a778e25a32fb136005f
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,0,12,0.0,1,14,0.07142857142857142,0,13,0.0,2,2,1,0.5,0.5,44,13,2,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,741def744dbed7e1a6250e68b04bc0adc6208d17e03b2a778e25a32fb136005f
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,0,12,0.0,1,14,0.07142857142857142,0,13,0.0,2,2,1,0.5,0.5,44,13,2,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,741def744dbed7e1a6250e68b04bc0adc6208d17e03b2a778e25a32fb136005f
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,4,0,12,0.0,0,14,0.0,0,14,0.0,2,2,2,1.0,1.0,44,12,1,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,741def744dbed7e1a6250e68b04bc0adc6208d17e03b2a778e25a32fb136005f
B2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,0,15,0.0,5,21,0.23809523809523808,0,16,0.0,6,5,1,0.2,0.16666666666666666,56,19,8,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,741def744dbed7e1a6250e68b04bc0adc6208d17e03b2a778e25a32fb136005f
B3,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,0,15,0.0,5,21,0.23809523809523808,0,16,0.0,6,5,1,0.2,0.16666666666666666,56,19,8,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,741def744dbed7e1a6250e68b04bc0adc6208d17e03b2a778e25a32fb136005f
B4,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,5,0,15,0.0,0,21,0.0,0,21,0.0,6,5,5,1.0,0.8333333333333334,56,14,3,0,frozen_query_observation_no_gt,post_prediction_hungarian_iou_0.5,741def744dbed7e1a6250e68b04bc0adc6208d17e03b2a778e25a32fb136005f
