method,reference_scene_id,order_id,horizon,sequence_count,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,association_event_count,new_birth_count,false_birth_count,birth_rejected_count,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall,inference_unit
B2,8eabc45f-5af7-2f32-8528-640861d2a135,reverse,5,5,11,41,50,94,38,82,65,44,14,382,151,82,0,0.2682926829268293,0.5319148936170213,0.4634146341463415,0.3181818181818182,0.2153846153846154,reference_scene_id
B2,ddc73797-765b-241a-9e2c-097c5989baf6,reverse,5,6,38,150,46,175,20,149,50,9,1,653,160,74,0,0.25333333333333335,0.26285714285714284,0.1342281879194631,0.1111111111111111,0.02,reference_scene_id
B3,10b17940-3938-2467-8a7a-958300ba83d3,reverse,5,10,6,127,28,157,8,137,46,19,2,505,147,50,0,0.047244094488188976,0.17834394904458598,0.058394160583941604,0.10526315789473684,0.043478260869565216,reference_scene_id
B3,137a8158-1db5-2cc0-8003-31c12610471e,reverse,5,12,22,153,75,227,25,177,183,50,11,919,248,114,0,0.1437908496732026,0.3303964757709251,0.14124293785310735,0.22,0.060109289617486336,reference_scene_id
B3,280d8ebb-6cc6-2788-9153-98959a2da801,reverse,5,5,15,127,15,149,16,150,22,8,2,537,160,93,0,0.11811023622047244,0.10067114093959731,0.10666666666666667,0.25,0.09090909090909091,reference_scene_id
B3,5630cfcf-12bf-2860-8784-83d28a611a83,reverse,5,5,2,71,7,85,1,79,2,2,0,387,81,40,0,0.028169014084507043,0.08235294117647059,0.012658227848101266,0.0,0.0,reference_scene_id
B3,8eabc45f-5af7-2f32-8528-640861d2a135,reverse,5,5,10,41,44,94,39,89,65,44,15,382,146,78,0,0.24390243902439024,0.46808510638297873,0.43820224719101125,0.3409090909090909,0.23076923076923078,reference_scene_id
B3,ddc73797-765b-241a-9e2c-097c5989baf6,reverse,5,6,38,150,39,175,15,151,50,9,7,653,158,70,0,0.25333333333333335,0.22285714285714286,0.09933774834437085,0.7777777777777778,0.14,reference_scene_id
B4,10b17940-3938-2467-8a7a-958300ba83d3,reverse,5,10,0,127,1,157,5,161,46,19,19,505,115,27,0,0.0,0.006369426751592357,0.031055900621118012,1.0,0.41304347826086957,reference_scene_id
B4,137a8158-1db5-2cc0-8003-31c12610471e,reverse,5,12,24,153,29,227,31,229,183,50,41,919,174,56,0,0.1568627450980392,0.1277533039647577,0.13537117903930132,0.82,0.22404371584699453,reference_scene_id
B4,280d8ebb-6cc6-2788-9153-98959a2da801,reverse,5,5,13,127,13,149,12,148,22,8,8,537,145,76,0,0.10236220472440945,0.087248322147651,0.08108108108108109,1.0,0.36363636363636365,reference_scene_id
B4,5630cfcf-12bf-2860-8784-83d28a611a83,reverse,5,5,0,71,0,85,0,85,2,2,2,387,74,34,0,0.0,0.0,0.0,1.0,1.0,reference_scene_id
B4,8eabc45f-5af7-2f32-8528-640861d2a135,reverse,5,5,5,41,10,94,45,129,65,44,38,382,95,38,0,0.12195121951219512,0.10638297872340426,0.3488372093023256,0.8636363636363636,0.5846153846153846,reference_scene_id
B4,ddc73797-765b-241a-9e2c-097c5989baf6,reverse,5,6,33,150,25,175,8,158,50,9,8,653,140,60,0,0.22,0.14285714285714285,0.05063291139240506,0.8888888888888888,0.16,reference_scene_id
B2,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,2,10,1,38,1,38,2,39,0,0,0,216,104,29,0,0.02631578947368421,0.02631578947368421,0.05128205128205128,,,reference_scene_id
B2,137a8158-1db5-2cc0-8003-31c12610471e,sha256_seed45,2,12,5,35,5,35,15,45,0,0,0,344,124,27,0,0.14285714285714285,0.14285714285714285,0.3333333333333333,,,reference_scene_id
B2,280d8ebb-6cc6-2788-9153-98959a2da801,sha256_seed45,2,5,5,25,5,25,5,25,0,0,0,245,120,65,0,0.2,0.2,0.2,,,reference_scene_id
B2,5630cfcf-12bf-2860-8784-83d28a611a83,sha256_seed45,2,5,0,25,0,25,0,25,0,0,0,150,60,30,0,0.0,0.0,0.0,,,reference_scene_id
B2,8eabc45f-5af7-2f32-8528-640861d2a135,sha256_seed45,2,5,5,5,5,5,5,5,0,0,0,155,85,30,0,1.0,1.0,1.0,,,reference_scene_id
B2,ddc73797-765b-241a-9e2c-097c5989baf6,sha256_seed45,2,6,6,8,6,8,4,6,0,0,0,215,83,35,0,0.75,0.75,0.6666666666666666,,,reference_scene_id
B3,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,2,10,1,38,1,38,2,39,0,0,0,216,104,29,0,0.02631578947368421,0.02631578947368421,0.05128205128205128,,,reference_scene_id
B3,137a8158-1db5-2cc0-8003-31c12610471e,sha256_seed45,2,12,5,35,5,35,15,45,0,0,0,344,124,27,0,0.14285714285714285,0.14285714285714285,0.3333333333333333,,,reference_scene_id
B3,280d8ebb-6cc6-2788-9153-98959a2da801,sha256_seed45,2,5,5,25,5,25,5,25,0,0,0,245,120,65,0,0.2,0.2,0.2,,,reference_scene_id
B3,5630cfcf-12bf-2860-8784-83d28a611a83,sha256_seed45,2,5,0,25,0,25,0,25,0,0,0,150,60,30,0,0.0,0.0,0.0,,,reference_scene_id
B3,8eabc45f-5af7-2f32-8528-640861d2a135,sha256_seed45,2,5,5,5,5,5,5,5,0,0,0,155,85,30,0,1.0,1.0,1.0,,,reference_scene_id
B3,ddc73797-765b-241a-9e2c-097c5989baf6,sha256_seed45,2,6,6,8,6,8,4,6,0,0,0,215,83,35,0,0.75,0.75,0.6666666666666666,,,reference_scene_id
B4,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,2,10,1,38,1,38,2,39,0,0,0,216,107,29,0,0.02631578947368421,0.02631578947368421,0.05128205128205128,,,reference_scene_id
B4,137a8158-1db5-2cc0-8003-31c12610471e,sha256_seed45,2,12,5,35,5,35,12,42,0,0,0,344,124,27,0,0.14285714285714285,0.14285714285714285,0.2857142857142857,,,reference_scene_id
B4,280d8ebb-6cc6-2788-9153-98959a2da801,sha256_seed45,2,5,5,25,5,25,5,25,0,0,0,245,120,65,0,0.2,0.2,0.2,,,reference_scene_id
B4,5630cfcf-12bf-2860-8784-83d28a611a83,sha256_seed45,2,5,0,25,0,25,0,25,0,0,0,150,60,30,0,0.0,0.0,0.0,,,reference_scene_id
B4,8eabc45f-5af7-2f32-8528-640861d2a135,sha256_seed45,2,5,5,5,5,5,5,5,0,0,0,155,85,30,0,1.0,1.0,1.0,,,reference_scene_id
B4,ddc73797-765b-241a-9e2c-097c5989baf6,sha256_seed45,2,6,6,8,6,8,4,6,0,0,0,215,87,39,0,0.75,0.75,0.6666666666666666,,,reference_scene_id
B2,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,3,10,4,69,8,76,2,70,10,5,1,314,121,37,0,0.057971014492753624,0.10526315789473684,0.02857142857142857,0.2,0.1,reference_scene_id
B2,137a8158-1db5-2cc0-8003-31c12610471e,sha256_seed45,3,12,7,67,17,83,28,94,40,10,3,513,153,47,0,0.1044776119402985,0.20481927710843373,0.2978723404255319,0.3,0.075,reference_scene_id
B2,280d8ebb-6cc6-2788-9153-98959a2da801,sha256_seed45,3,5,5,65,5,65,5,65,0,0,0,315,125,70,0,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,reference_scene_id
B2,5630cfcf-12bf-2860-8784-83d28a611a83,sha256_seed45,3,5,5,50,5,50,0,45,0,0,0,230,65,35,0,0.1,0.1,0.0,,,reference_scene_id
B2,8eabc45f-5af7-2f32-8528-640861d2a135,sha256_seed45,3,5,5,15,5,15,5,15,0,0,0,210,85,30,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,reference_scene_id
B2,ddc73797-765b-241a-9e2c-097c5989baf6,sha256_seed45,3,6,11,31,12,45,10,43,16,4,3,353,112,46,0,0.3548387096774194,0.26666666666666666,0.23255813953488372,0.75,0.1875,reference_scene_id
B3,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,3,10,4,69,8,76,2,70,10,5,1,314,121,37,0,0.057971014492753624,0.10526315789473684,0.02857142857142857,0.2,0.1,reference_scene_id
B3,137a8158-1db5-2cc0-8003-31c12610471e,sha256_seed45,3,12,8,67,17,83,28,94,40,10,4,513,153,47,0,0.11940298507462686,0.20481927710843373,0.2978723404255319,0.4,0.1,reference_scene_id
B3,280d8ebb-6cc6-2788-9153-98959a2da801,sha256_seed45,3,5,10,65,5,65,5,65,0,0,0,315,120,65,0,0.15384615384615385,0.07692307692307693,0.07692307692307693,,,reference_scene_id
B3,5630cfcf-12bf-2860-8784-83d28a611a83,sha256_seed45,3,5,0,50,0,50,0,50,0,0,0,230,65,35,0,0.0,0.0,0.0,,,reference_scene_id
B3,8eabc45f-5af7-2f32-8528-640861d2a135,sha256_seed45,3,5,5,15,5,15,5,15,0,0,0,210,85,30,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,reference_scene_id
B3,ddc73797-765b-241a-9e2c-097c5989baf6,sha256_seed45,3,6,12,31,7,45,8,46,16,4,4,353,109,46,0,0.3870967741935484,0.15555555555555556,0.17391304347826086,1.0,0.25,reference_scene_id
B4,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,3,10,3,69,3,76,5,78,10,5,4,314,114,30,0,0.043478260869565216,0.039473684210526314,0.0641025641025641,0.8,0.4,reference_scene_id
B4,137a8158-1db5-2cc0-8003-31c12610471e,sha256_seed45,3,12,7,67,12,83,28,99,40,10,9,513,140,35,0,0.1044776119402985,0.14457831325301204,0.2828282828282828,0.9,0.225,reference_scene_id
B4,280d8ebb-6cc6-2788-9153-98959a2da801,sha256_seed45,3,5,5,65,5,65,5,65,0,0,0,315,120,65,0,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,reference_scene_id
B4,5630cfcf-12bf-2860-8784-83d28a611a83,sha256_seed45,3,5,0,50,0,50,0,50,0,0,0,230,65,35,0,0.0,0.0,0.0,,,reference_scene_id
B4,8eabc45f-5af7-2f32-8528-640861d2a135,sha256_seed45,3,5,5,15,5,15,5,15,0,0,0,210,85,30,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,reference_scene_id
B4,ddc73797-765b-241a-9e2c-097c5989baf6,sha256_seed45,3,6,11,31,9,45,11,47,16,4,1,353,108,52,0,0.3548387096774194,0.2,0.23404255319148937,0.25,0.0625,reference_scene_id
B2,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,4,10,5,96,18,116,4,102,29,14,1,410,137,45,0,0.052083333333333336,0.15517241379310345,0.0392156862745098,0.07142857142857142,0.034482758620689655,reference_scene_id
B2,137a8158-1db5-2cc0-8003-31c12610471e,sha256_seed45,4,12,12,113,45,161,32,148,115,35,9,716,202,86,0,0.10619469026548672,0.2795031055900621,0.21621621621621623,0.2571428571428571,0.0782608695652174,reference_scene_id
B2,280d8ebb-6cc6-2788-9153-98959a2da801,sha256_seed45,4,5,10,100,20,115,10,105,45,15,5,470,180,125,0,0.1,0.17391304347826086,0.09523809523809523,0.3333333333333333,0.1111111111111111,reference_scene_id
B2,5630cfcf-12bf-2860-8784-83d28a611a83,sha256_seed45,4,5,15,65,10,65,0,55,0,0,0,305,75,40,0,0.23076923076923078,0.15384615384615385,0.0,,,reference_scene_id
B2,8eabc45f-5af7-2f32-8528-640861d2a135,sha256_seed45,4,5,5,15,20,35,10,25,20,15,5,305,135,60,0,0.3333333333333333,0.5714285714285714,0.4,0.3333333333333333,0.25,reference_scene_id
B2,ddc73797-765b-241a-9e2c-097c5989baf6,sha256_seed45,4,6,16,94,23,114,15,106,29,6,3,509,140,71,0,0.1702127659574468,0.20175438596491227,0.14150943396226415,0.5,0.10344827586206896,reference_scene_id
B3,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,4,10,5,96,17,116,4,103,29,14,2,410,136,44,0,0.052083333333333336,0.14655172413793102,0.038834951456310676,0.14285714285714285,0.06896551724137931,reference_scene_id
B3,137a8158-1db5-2cc0-8003-31c12610471e,sha256_seed45,4,12,16,113,48,161,32,145,115,35,10,716,200,84,0,0.1415929203539823,0.2981366459627329,0.2206896551724138,0.2857142857142857,0.08695652173913043,reference_scene_id
B3,280d8ebb-6cc6-2788-9153-98959a2da801,sha256_seed45,4,5,15,100,20,115,10,105,45,15,5,470,175,120,0,0.15,0.17391304347826086,0.09523809523809523,0.3333333333333333,0.1111111111111111,reference_scene_id
B3,5630cfcf-12bf-2860-8784-83d28a611a83,sha256_seed45,4,5,10,65,10,65,0,55,0,0,0,305,75,40,0,0.15384615384615385,0.15384615384615385,0.0,,,reference_scene_id
B3,8eabc45f-5af7-2f32-8528-640861d2a135,sha256_seed45,4,5,5,15,15,35,10,30,20,15,10,305,135,60,0,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.5,reference_scene_id
B3,ddc73797-765b-241a-9e2c-097c5989baf6,sha256_seed45,4,6,17,94,16,114,11,109,29,6,4,509,135,69,0,0.18085106382978725,0.14035087719298245,0.10091743119266056,0.6666666666666666,0.13793103448275862,reference_scene_id
B4,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,4,10,4,96,4,116,5,117,29,14,12,410,118,31,0,0.041666666666666664,0.034482758620689655,0.042735042735042736,0.8571428571428571,0.41379310344827586,reference_scene_id
B4,137a8158-1db5-2cc0-8003-31c12610471e,sha256_seed45,4,12,13,113,19,161,35,177,115,35,31,716,160,47,0,0.11504424778761062,0.11801242236024845,0.1977401129943503,0.8857142857142857,0.26956521739130435,reference_scene_id
B4,280d8ebb-6cc6-2788-9153-98959a2da801,sha256_seed45,4,5,10,100,10,115,15,120,45,15,10,470,125,70,0,0.1,0.08695652173913043,0.125,0.6666666666666666,0.2222222222222222,reference_scene_id
B4,5630cfcf-12bf-2860-8784-83d28a611a83,sha256_seed45,4,5,5,65,5,65,0,60,0,0,0,305,75,40,0,0.07692307692307693,0.07692307692307693,0.0,,,reference_scene_id
B4,8eabc45f-5af7-2f32-8528-640861d2a135,sha256_seed45,4,5,5,15,10,35,25,50,20,15,10,305,95,40,0,0.3333333333333333,0.2857142857142857,0.5,0.6666666666666666,0.5,reference_scene_id
B4,ddc73797-765b-241a-9e2c-097c5989baf6,sha256_seed45,4,6,14,94,12,114,11,113,29,6,3,509,130,70,0,0.14893617021276595,0.10526315789473684,0.09734513274336283,0.5,0.10344827586206896,reference_scene_id
B2,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,5,10,7,128,31,162,5,136,45,20,1,504,149,55,0,0.0546875,0.19135802469135801,0.03676470588235294,0.05,0.022222222222222223,reference_scene_id
B2,137a8158-1db5-2cc0-8003-31c12610471e,sha256_seed45,5,12,14,166,58,230,36,208,159,45,10,919,242,121,0,0.08433734939759036,0.25217391304347825,0.17307692307692307,0.2222222222222222,0.06289308176100629,reference_scene_id
B2,280d8ebb-6cc6-2788-9153-98959a2da801,sha256_seed45,5,5,15,125,20,145,10,135,45,15,5,535,180,125,0,0.12,0.13793103448275862,0.07407407407407407,0.3333333333333333,0.1111111111111111,reference_scene_id
B2,5630cfcf-12bf-2860-8784-83d28a611a83,sha256_seed45,5,5,20,80,20,95,0,75,5,5,0,390,90,55,0,0.25,0.21052631578947367,0.0,0.0,0.0,reference_scene_id
B2,8eabc45f-5af7-2f32-8528-640861d2a135,sha256_seed45,5,5,20,35,60,85,40,65,65,35,5,415,145,70,0,0.5714285714285714,0.7058823529411765,0.6153846153846154,0.14285714285714285,0.07692307692307693,reference_scene_id
B2,ddc73797-765b-241a-9e2c-097c5989baf6,sha256_seed45,5,6,27,151,36,176,23,163,38,9,3,654,152,83,0,0.17880794701986755,0.20454545454545456,0.1411042944785276,0.3333333333333333,0.07894736842105263,reference_scene_id
B3,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,5,10,6,128,29,162,5,138,45,20,2,504,148,54,0,0.046875,0.17901234567901234,0.036231884057971016,0.1,0.044444444444444446,reference_scene_id
B3,137a8158-1db5-2cc0-8003-31c12610471e,sha256_seed45,5,12,19,166,61,230,33,202,159,45,11,919,241,120,0,0.1144578313253012,0.26521739130434785,0.16336633663366337,0.24444444444444444,0.06918238993710692,reference_scene_id
B3,280d8ebb-6cc6-2788-9153-98959a2da801,sha256_seed45,5,5,20,125,25,145,10,130,45,15,5,535,175,120,0,0.16,0.1724137931034483,0.07692307692307693,0.3333333333333333,0.1111111111111111,reference_scene_id
B3,5630cfcf-12bf-2860-8784-83d28a611a83,sha256_seed45,5,5,15,80,20,95,0,75,5,5,0,390,90,55,0,0.1875,0.21052631578947367,0.0,0.0,0.0,reference_scene_id
B3,8eabc45f-5af7-2f32-8528-640861d2a135,sha256_seed45,5,5,20,35,55,85,40,70,65,35,10,415,145,70,0,0.5714285714285714,0.6470588235294118,0.5714285714285714,0.2857142857142857,0.15384615384615385,reference_scene_id
B3,ddc73797-765b-241a-9e2c-097c5989baf6,sha256_seed45,5,6,28,151,27,176,17,166,38,9,4,654,148,81,0,0.18543046357615894,0.1534090909090909,0.10240963855421686,0.4444444444444444,0.10526315789473684,reference_scene_id
B4,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,5,10,6,128,7,162,5,160,45,20,18,504,122,34,0,0.046875,0.043209876543209874,0.03125,0.9,0.4,reference_scene_id
B4,137a8158-1db5-2cc0-8003-31c12610471e,sha256_seed45,5,12,15,166,24,230,38,244,159,45,40,919,175,60,0,0.09036144578313253,0.10434782608695652,0.1557377049180328,0.8888888888888888,0.25157232704402516,reference_scene_id
B4,280d8ebb-6cc6-2788-9153-98959a2da801,sha256_seed45,5,5,15,125,10,145,20,155,45,15,10,535,125,70,0,0.12,0.06896551724137931,0.12903225806451613,0.6666666666666666,0.2222222222222222,reference_scene_id
B4,5630cfcf-12bf-2860-8784-83d28a611a83,sha256_seed45,5,5,10,80,5,95,0,90,5,5,5,390,75,40,0,0.125,0.05263157894736842,0.0,1.0,1.0,reference_scene_id
B4,8eabc45f-5af7-2f32-8528-640861d2a135,sha256_seed45,5,5,15,35,20,85,35,100,65,35,30,415,100,45,0,0.42857142857142855,0.23529411764705882,0.35,0.8571428571428571,0.46153846153846156,reference_scene_id
B4,ddc73797-765b-241a-9e2c-097c5989baf6,sha256_seed45,5,6,22,151,18,176,15,173,38,9,5,654,138,77,0,0.1456953642384106,0.10227272727272728,0.08670520231213873,0.5555555555555556,0.13157894736842105,reference_scene_id
B2,10b17940-3938-2467-8a7a-958300ba83d3,all,2,30,3,101,3,101,3,101,0,0,0,621,292,65,0,0.0297029702970297,0.0297029702970297,0.0297029702970297,,,reference_scene_id
B2,137a8158-1db5-2cc0-8003-31c12610471e,all,2,36,16,114,16,114,37,135,0,0,0,1080,414,106,0,0.14035087719298245,0.14035087719298245,0.2740740740740741,,,reference_scene_id
B2,280d8ebb-6cc6-2788-9153-98959a2da801,all,2,15,9,86,9,86,11,88,0,0,0,669,325,159,0,0.10465116279069768,0.10465116279069768,0.125,,,reference_scene_id
B2,5630cfcf-12bf-2860-8784-83d28a611a83,all,2,15,1,61,1,61,0,60,0,0,0,456,183,79,0,0.01639344262295082,0.01639344262295082,0.0,,,reference_scene_id
B2,8eabc45f-5af7-2f32-8528-640861d2a135,all,2,15,9,25,9,25,25,41,0,0,0,467,240,80,0,0.36,0.36,0.6097560975609756,,,reference_scene_id
B2,ddc73797-765b-241a-9e2c-097c5989baf6,all,2,18,12,76,12,76,8,72,0,0,0,730,290,101,0,0.15789473684210525,0.15789473684210525,0.1111111111111111,,,reference_scene_id
B3,10b17940-3938-2467-8a7a-958300ba83d3,all,2,30,3,101,3,101,3,101,0,0,0,621,292,65,0,0.0297029702970297,0.0297029702970297,0.0297029702970297,,,reference_scene_id
B3,137a8158-1db5-2cc0-8003-31c12610471e,all,2,36,16,114,16,114,37,135,0,0,0,1080,414,106,0,0.14035087719298245,0.14035087719298245,0.2740740740740741,,,reference_scene_id
B3,280d8ebb-6cc6-2788-9153-98959a2da801,all,2,15,9,86,9,86,11,88,0,0,0,669,325,159,0,0.10465116279069768,0.10465116279069768,0.125,,,reference_scene_id
B3,5630cfcf-12bf-2860-8784-83d28a611a83,all,2,15,1,61,1,61,0,60,0,0,0,456,183,79,0,0.01639344262295082,0.01639344262295082,0.0,,,reference_scene_id
B3,8eabc45f-5af7-2f32-8528-640861d2a135,all,2,15,9,25,9,25,25,41,0,0,0,467,240,80,0,0.36,0.36,0.6097560975609756,,,reference_scene_id
B3,ddc73797-765b-241a-9e2c-097c5989baf6,all,2,18,12,76,12,76,8,72,0,0,0,730,290,101,0,0.15789473684210525,0.15789473684210525,0.1111111111111111,,,reference_scene_id
B4,10b17940-3938-2467-8a7a-958300ba83d3,all,2,30,2,101,2,101,3,102,0,0,0,621,296,65,0,0.019801980198019802,0.019801980198019802,0.029411764705882353,,,reference_scene_id
B4,137a8158-1db5-2cc0-8003-31c12610471e,all,2,36,16,114,16,114,33,131,0,0,0,1080,414,106,0,0.14035087719298245,0.14035087719298245,0.25190839694656486,,,reference_scene_id
B4,280d8ebb-6cc6-2788-9153-98959a2da801,all,2,15,8,86,8,86,10,88,0,0,0,669,327,161,0,0.09302325581395349,0.09302325581395349,0.11363636363636363,,,reference_scene_id
B4,5630cfcf-12bf-2860-8784-83d28a611a83,all,2,15,1,61,1,61,0,60,0,0,0,456,184,80,0,0.01639344262295082,0.01639344262295082,0.0,,,reference_scene_id
B4,8eabc45f-5af7-2f32-8528-640861d2a135,all,2,15,9,25,9,25,26,42,0,0,0,467,243,81,0,0.36,0.36,0.6190476190476191,,,reference_scene_id
B4,ddc73797-765b-241a-9e2c-097c5989baf6,all,2,18,11,76,11,76,8,73,0,0,0,730,298,108,0,0.14473684210526316,0.14473684210526316,0.1095890410958904,,,reference_scene_id
B2,10b17940-3938-2467-8a7a-958300ba83d3,all,3,30,10,198,22,217,6,201,34,15,3,922,349,92,0,0.050505050505050504,0.10138248847926268,0.029850746268656716,0.2,0.08823529411764706,reference_scene_id
B2,137a8158-1db5-2cc0-8003-31c12610471e,all,3,36,30,223,66,280,62,276,152,44,13,1619,517,179,0,0.13452914798206278,0.2357142857142857,0.2246376811594203,0.29545454545454547,0.08552631578947369,reference_scene_id
B2,280d8ebb-6cc6-2788-9153-98959a2da801,all,3,15,14,192,14,202,18,206,10,2,2,953,367,192,0,0.07291666666666667,0.06930693069306931,0.08737864077669903,1.0,0.2,reference_scene_id
B2,5630cfcf-12bf-2860-8784-83d28a611a83,all,3,15,8,126,10,130,0,120,0,0,0,692,204,94,0,0.06349206349206349,0.07692307692307693,0.0,,,reference_scene_id
B2,8eabc45f-5af7-2f32-8528-640861d2a135,all,3,15,14,52,32,81,43,92,34,22,8,678,284,112,0,0.2692307692307692,0.3950617283950617,0.4673913043478261,0.36363636363636365,0.23529411764705882,reference_scene_id
B2,ddc73797-765b-241a-9e2c-097c5989baf6,all,3,18,31,172,34,196,23,185,42,6,4,1133,358,137,0,0.18023255813953487,0.17346938775510204,0.12432432432432433,0.6666666666666666,0.09523809523809523,reference_scene_id
B3,10b17940-3938-2467-8a7a-958300ba83d3,all,3,30,9,198,22,217,6,201,34,15,2,922,349,92,0,0.045454545454545456,0.10138248847926268,0.029850746268656716,0.13333333333333333,0.058823529411764705,reference_scene_id
B3,137a8158-1db5-2cc0-8003-31c12610471e,all,3,36,31,223,65,280,62,277,152,44,15,1619,516,178,0,0.13901345291479822,0.23214285714285715,0.22382671480144403,0.3409090909090909,0.09868421052631579,reference_scene_id
B3,280d8ebb-6cc6-2788-9153-98959a2da801,all,3,15,24,192,16,202,19,205,10,2,2,953,362,187,0,0.125,0.07920792079207921,0.09268292682926829,1.0,0.2,reference_scene_id
B3,5630cfcf-12bf-2860-8784-83d28a611a83,all,3,15,5,126,6,130,2,126,0,0,0,692,203,93,0,0.03968253968253968,0.046153846153846156,0.015873015873015872,,,reference_scene_id
B3,8eabc45f-5af7-2f32-8528-640861d2a135,all,3,15,14,52,30,81,44,95,34,22,8,678,281,109,0,0.2692307692307692,0.37037037037037035,0.4631578947368421,0.36363636363636365,0.23529411764705882,reference_scene_id
B3,ddc73797-765b-241a-9e2c-097c5989baf6,all,3,18,33,172,26,196,18,188,42,6,6,1133,354,137,0,0.19186046511627908,0.1326530612244898,0.09574468085106383,1.0,0.14285714285714285,reference_scene_id
B4,10b17940-3938-2467-8a7a-958300ba83d3,all,3,30,7,198,7,217,9,219,34,15,13,922,327,76,0,0.03535353535353535,0.03225806451612903,0.0410958904109589,0.8666666666666667,0.38235294117647056,reference_scene_id
B4,137a8158-1db5-2cc0-8003-31c12610471e,all,3,36,31,223,37,280,66,309,152,44,42,1619,453,128,0,0.13901345291479822,0.13214285714285715,0.21359223300970873,0.9545454545454546,0.27631578947368424,reference_scene_id
B4,280d8ebb-6cc6-2788-9153-98959a2da801,all,3,15,14,192,15,202,15,202,10,2,2,953,356,181,0,0.07291666666666667,0.07425742574257425,0.07425742574257425,1.0,0.2,reference_scene_id
B4,5630cfcf-12bf-2860-8784-83d28a611a83,all,3,15,4,126,4,130,0,126,0,0,0,692,199,90,0,0.031746031746031744,0.03076923076923077,0.0,,,reference_scene_id
B4,8eabc45f-5af7-2f32-8528-640861d2a135,all,3,15,12,52,13,81,50,118,34,22,20,678,256,93,0,0.23076923076923078,0.16049382716049382,0.423728813559322,0.9090909090909091,0.5882352941176471,reference_scene_id
B4,ddc73797-765b-241a-9e2c-097c5989baf6,all,3,18,28,172,23,196,19,192,42,6,3,1133,347,138,0,0.16279069767441862,0.11734693877551021,0.09895833333333333,0.5,0.07142857142857142,reference_scene_id
B2,10b17940-3938-2467-8a7a-958300ba83d3,all,4,30,15,291,47,340,12,305,85,37,5,1221,405,121,0,0.05154639175257732,0.13823529411764707,0.03934426229508197,0.13513513513513514,0.058823529411764705,reference_scene_id
B2,137a8158-1db5-2cc0-8003-31c12610471e,all,4,36,47,346,143,488,79,424,353,105,28,2192,640,277,0,0.13583815028901733,0.2930327868852459,0.18632075471698112,0.26666666666666666,0.07932011331444759,reference_scene_id
B2,280d8ebb-6cc6-2788-9153-98959a2da801,all,4,15,24,293,37,329,34,326,65,19,9,1322,459,275,0,0.08191126279863481,0.11246200607902736,0.10429447852760736,0.47368421052631576,0.13846153846153847,reference_scene_id
B2,5630cfcf-12bf-2860-8784-83d28a611a83,all,4,15,20,181,21,195,0,174,2,2,0,923,230,111,0,0.11049723756906077,0.1076923076923077,0.0,0.0,0.0,reference_scene_id
B2,8eabc45f-5af7-2f32-8528-640861d2a135,all,4,15,19,69,79,157,65,143,102,68,21,929,378,179,0,0.2753623188405797,0.5031847133757962,0.45454545454545453,0.3088235294117647,0.20588235294117646,reference_scene_id
B2,ddc73797-765b-241a-9e2c-097c5989baf6,all,4,18,50,308,66,356,37,327,89,15,5,1554,425,189,0,0.16233766233766234,0.1853932584269663,0.11314984709480122,0.3333333333333333,0.056179775280898875,reference_scene_id
B3,10b17940-3938-2467-8a7a-958300ba83d3,all,4,30,16,291,47,340,13,306,85,37,5,1221,402,120,0,0.054982817869415807,0.13823529411764707,0.042483660130718956,0.13513513513513514,0.058823529411764705,reference_scene_id
B3,137a8158-1db5-2cc0-8003-31c12610471e,all,4,36,53,346,145,488,78,421,353,105,29,2192,636,273,0,0.1531791907514451,0.29713114754098363,0.18527315914489312,0.2761904761904762,0.0821529745042493,reference_scene_id
B3,280d8ebb-6cc6-2788-9153-98959a2da801,all,4,15,40,293,40,329,35,324,65,19,8,1322,455,272,0,0.13651877133105803,0.12158054711246201,0.10802469135802469,0.42105263157894735,0.12307692307692308,reference_scene_id
