method,reference_scene_id,order_id,horizon,sequence_count,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,association_event_count,new_birth_count,false_birth_count,birth_rejected_count,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall,inference_unit
B4,10b17940-3938-2467-8a7a-958300ba83d3,canonical,3,10,4,66,4,71,2,69,12,5,4,305,110,25,0,0.06060606060606061,0.056338028169014086,0.028985507246376812,0.8,0.3333333333333333,reference_scene_id
B4,137a8158-1db5-2cc0-8003-31c12610471e,canonical,3,12,12,79,13,100,22,109,56,18,17,555,159,51,0,0.1518987341772152,0.13,0.2018348623853211,0.9444444444444444,0.30357142857142855,reference_scene_id
B4,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,3,5,4,64,5,69,4,68,5,1,1,317,115,57,0,0.0625,0.07246376811594203,0.058823529411764705,1.0,0.2,reference_scene_id
B4,5630cfcf-12bf-2860-8784-83d28a611a83,canonical,3,5,4,41,4,43,0,39,0,0,0,231,68,27,0,0.0975609756097561,0.09302325581395349,0.0,,,reference_scene_id
B4,8eabc45f-5af7-2f32-8528-640861d2a135,canonical,3,5,4,16,5,31,23,49,17,11,9,238,84,31,0,0.25,0.16129032258064516,0.46938775510204084,0.8181818181818182,0.5294117647058824,reference_scene_id
B4,ddc73797-765b-241a-9e2c-097c5989baf6,canonical,3,6,3,67,3,73,3,73,13,1,1,391,117,42,0,0.04477611940298507,0.0410958904109589,0.0410958904109589,1.0,0.07692307692307693,reference_scene_id
B2,10b17940-3938-2467-8a7a-958300ba83d3,canonical,4,10,7,100,15,112,5,102,28,11,1,407,137,39,0,0.07,0.13392857142857142,0.049019607843137254,0.09090909090909091,0.03571428571428571,reference_scene_id
B2,137a8158-1db5-2cc0-8003-31c12610471e,canonical,4,12,17,118,47,166,27,146,119,37,10,741,224,103,0,0.1440677966101695,0.28313253012048195,0.18493150684931506,0.2702702702702703,0.08403361344537816,reference_scene_id
B2,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,4,5,8,98,11,109,12,110,10,2,2,423,138,76,0,0.08163265306122448,0.10091743119266056,0.10909090909090909,1.0,0.2,reference_scene_id
B2,5630cfcf-12bf-2860-8784-83d28a611a83,canonical,4,5,5,63,7,69,0,62,1,1,0,309,78,35,0,0.07936507936507936,0.10144927536231885,0.0,0.0,0.0,reference_scene_id
B2,8eabc45f-5af7-2f32-8528-640861d2a135,canonical,4,5,6,23,27,58,26,57,41,26,7,318,116,56,0,0.2608695652173913,0.46551724137931033,0.45614035087719296,0.2692307692307692,0.17073170731707318,reference_scene_id
B2,ddc73797-765b-241a-9e2c-097c5989baf6,canonical,4,6,7,102,16,119,8,111,30,5,1,524,144,62,0,0.06862745098039216,0.13445378151260504,0.07207207207207207,0.2,0.03333333333333333,reference_scene_id
B3,10b17940-3938-2467-8a7a-958300ba83d3,canonical,4,10,6,100,13,112,3,102,28,11,2,407,137,39,0,0.06,0.11607142857142858,0.029411764705882353,0.18181818181818182,0.07142857142857142,reference_scene_id
B3,137a8158-1db5-2cc0-8003-31c12610471e,canonical,4,12,20,118,48,166,27,145,119,37,11,741,223,103,0,0.1694915254237288,0.2891566265060241,0.18620689655172415,0.2972972972972973,0.09243697478991597,reference_scene_id
B3,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,4,5,13,98,10,109,12,111,10,2,2,423,139,77,0,0.1326530612244898,0.09174311926605505,0.10810810810810811,1.0,0.2,reference_scene_id
B3,5630cfcf-12bf-2860-8784-83d28a611a83,canonical,4,5,6,63,7,69,1,63,1,1,0,309,77,34,0,0.09523809523809523,0.10144927536231885,0.015873015873015872,0.0,0.0,reference_scene_id
B3,8eabc45f-5af7-2f32-8528-640861d2a135,canonical,4,5,6,23,26,58,26,58,41,26,7,318,116,56,0,0.2608695652173913,0.4482758620689655,0.4482758620689655,0.2692307692307692,0.17073170731707318,reference_scene_id
B3,ddc73797-765b-241a-9e2c-097c5989baf6,canonical,4,6,6,102,12,119,6,113,30,5,2,524,144,63,0,0.058823529411764705,0.10084033613445378,0.05309734513274336,0.4,0.06666666666666667,reference_scene_id
B4,10b17940-3938-2467-8a7a-958300ba83d3,canonical,4,10,7,100,7,112,4,109,28,11,9,407,121,32,0,0.07,0.0625,0.03669724770642202,0.8181818181818182,0.32142857142857145,reference_scene_id
B4,137a8158-1db5-2cc0-8003-31c12610471e,canonical,4,12,19,118,22,166,31,175,119,37,32,741,172,61,0,0.16101694915254236,0.13253012048192772,0.17714285714285713,0.8648648648648649,0.2689075630252101,reference_scene_id
B4,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,4,5,6,98,7,109,8,110,10,2,2,423,125,63,0,0.061224489795918366,0.06422018348623854,0.07272727272727272,1.0,0.2,reference_scene_id
B4,5630cfcf-12bf-2860-8784-83d28a611a83,canonical,4,5,7,63,5,69,0,64,1,1,1,309,73,30,0,0.1111111111111111,0.07246376811594203,0.0,1.0,1.0,reference_scene_id
B4,8eabc45f-5af7-2f32-8528-640861d2a135,canonical,4,5,6,23,8,58,30,80,41,26,22,318,89,35,0,0.2608695652173913,0.13793103448275862,0.375,0.8461538461538461,0.5365853658536586,reference_scene_id
B4,ddc73797-765b-241a-9e2c-097c5989baf6,canonical,4,6,4,102,5,119,5,119,30,5,4,524,126,48,0,0.0392156862745098,0.04201680672268908,0.04201680672268908,0.8,0.13333333333333333,reference_scene_id
B2,10b17940-3938-2467-8a7a-958300ba83d3,canonical,5,10,10,134,26,156,8,138,46,17,1,509,158,52,0,0.07462686567164178,0.16666666666666666,0.057971014492753624,0.058823529411764705,0.021739130434782608,reference_scene_id
B2,137a8158-1db5-2cc0-8003-31c12610471e,canonical,5,12,23,157,69,231,34,196,183,56,15,927,262,133,0,0.1464968152866242,0.2987012987012987,0.17346938775510204,0.26785714285714285,0.08196721311475409,reference_scene_id
B2,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,5,5,11,132,21,155,15,149,22,7,4,529,156,93,0,0.08333333333333333,0.13548387096774195,0.10067114093959731,0.5714285714285714,0.18181818181818182,reference_scene_id
B2,5630cfcf-12bf-2860-8784-83d28a611a83,canonical,5,5,7,85,10,97,0,87,2,2,0,387,86,41,0,0.08235294117647059,0.10309278350515463,0.0,0.0,0.0,reference_scene_id
B2,8eabc45f-5af7-2f32-8528-640861d2a135,canonical,5,5,8,30,43,86,34,77,65,42,10,398,136,75,0,0.26666666666666666,0.5,0.44155844155844154,0.23809523809523808,0.15384615384615385,reference_scene_id
B2,ddc73797-765b-241a-9e2c-097c5989baf6,canonical,5,6,10,137,27,168,11,152,50,10,2,657,164,79,0,0.072992700729927,0.16071428571428573,0.07236842105263158,0.2,0.04,reference_scene_id
B3,10b17940-3938-2467-8a7a-958300ba83d3,canonical,5,10,10,134,23,156,5,138,46,17,3,509,157,52,0,0.07462686567164178,0.14743589743589744,0.036231884057971016,0.17647058823529413,0.06521739130434782,reference_scene_id
B3,137a8158-1db5-2cc0-8003-31c12610471e,canonical,5,12,27,157,70,231,33,194,183,56,16,927,260,131,0,0.17197452229299362,0.30303030303030304,0.17010309278350516,0.2857142857142857,0.08743169398907104,reference_scene_id
B3,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,5,5,17,132,21,155,16,150,22,7,3,529,157,94,0,0.12878787878787878,0.13548387096774195,0.10666666666666667,0.42857142857142855,0.13636363636363635,reference_scene_id
B3,5630cfcf-12bf-2860-8784-83d28a611a83,canonical,5,5,8,85,10,97,1,88,2,2,0,387,85,40,0,0.09411764705882353,0.10309278350515463,0.011363636363636364,0.0,0.0,reference_scene_id
B3,8eabc45f-5af7-2f32-8528-640861d2a135,canonical,5,5,8,30,44,86,35,77,65,42,9,398,136,75,0,0.26666666666666666,0.5116279069767442,0.45454545454545453,0.21428571428571427,0.13846153846153847,reference_scene_id
B3,ddc73797-765b-241a-9e2c-097c5989baf6,canonical,5,6,7,137,21,168,7,154,50,10,3,657,165,81,0,0.051094890510948905,0.125,0.045454545454545456,0.3,0.06,reference_scene_id
B4,10b17940-3938-2467-8a7a-958300ba83d3,canonical,5,10,9,134,9,156,6,153,46,17,15,509,127,36,0,0.06716417910447761,0.057692307692307696,0.0392156862745098,0.8823529411764706,0.32608695652173914,reference_scene_id
B4,137a8158-1db5-2cc0-8003-31c12610471e,canonical,5,12,27,157,34,231,43,240,183,56,47,927,180,68,0,0.17197452229299362,0.1471861471861472,0.17916666666666667,0.8392857142857143,0.2568306010928962,reference_scene_id
B4,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,5,5,9,132,9,155,11,157,22,7,7,529,127,64,0,0.06818181818181818,0.05806451612903226,0.07006369426751592,1.0,0.3181818181818182,reference_scene_id
B4,5630cfcf-12bf-2860-8784-83d28a611a83,canonical,5,5,9,85,6,97,0,91,2,2,2,387,77,32,0,0.10588235294117647,0.061855670103092786,0.0,1.0,1.0,reference_scene_id
B4,8eabc45f-5af7-2f32-8528-640861d2a135,canonical,5,5,8,30,10,86,37,113,65,42,37,398,93,38,0,0.26666666666666666,0.11627906976744186,0.3274336283185841,0.8809523809523809,0.5692307692307692,reference_scene_id
B4,ddc73797-765b-241a-9e2c-097c5989baf6,canonical,5,6,6,137,6,168,6,168,50,10,9,657,132,53,0,0.043795620437956206,0.03571428571428571,0.03571428571428571,0.9,0.18,reference_scene_id
B2,10b17940-3938-2467-8a7a-958300ba83d3,reverse,2,10,1,31,1,31,1,31,0,0,0,202,93,18,0,0.03225806451612903,0.03225806451612903,0.03225806451612903,,,reference_scene_id
B2,137a8158-1db5-2cc0-8003-31c12610471e,reverse,2,12,6,39,6,39,9,42,0,0,0,367,142,36,0,0.15384615384615385,0.15384615384615385,0.21428571428571427,,,reference_scene_id
B2,280d8ebb-6cc6-2788-9153-98959a2da801,reverse,2,5,2,31,2,31,3,32,0,0,0,213,103,46,0,0.06451612903225806,0.06451612903225806,0.09375,,,reference_scene_id
B2,5630cfcf-12bf-2860-8784-83d28a611a83,reverse,2,5,0,17,0,17,0,17,0,0,0,153,61,25,0,0.0,0.0,0.0,,,reference_scene_id
B2,8eabc45f-5af7-2f32-8528-640861d2a135,reverse,2,5,2,11,2,11,11,20,0,0,0,154,79,26,0,0.18181818181818182,0.18181818181818182,0.55,,,reference_scene_id
B2,ddc73797-765b-241a-9e2c-097c5989baf6,reverse,2,6,5,36,5,36,3,34,0,0,0,257,103,33,0,0.1388888888888889,0.1388888888888889,0.08823529411764706,,,reference_scene_id
B3,10b17940-3938-2467-8a7a-958300ba83d3,reverse,2,10,1,31,1,31,1,31,0,0,0,202,93,18,0,0.03225806451612903,0.03225806451612903,0.03225806451612903,,,reference_scene_id
B3,137a8158-1db5-2cc0-8003-31c12610471e,reverse,2,12,6,39,6,39,9,42,0,0,0,367,142,36,0,0.15384615384615385,0.15384615384615385,0.21428571428571427,,,reference_scene_id
B3,280d8ebb-6cc6-2788-9153-98959a2da801,reverse,2,5,2,31,2,31,3,32,0,0,0,213,103,46,0,0.06451612903225806,0.06451612903225806,0.09375,,,reference_scene_id
B3,5630cfcf-12bf-2860-8784-83d28a611a83,reverse,2,5,0,17,0,17,0,17,0,0,0,153,61,25,0,0.0,0.0,0.0,,,reference_scene_id
B3,8eabc45f-5af7-2f32-8528-640861d2a135,reverse,2,5,2,11,2,11,11,20,0,0,0,154,79,26,0,0.18181818181818182,0.18181818181818182,0.55,,,reference_scene_id
B3,ddc73797-765b-241a-9e2c-097c5989baf6,reverse,2,6,5,36,5,36,3,34,0,0,0,257,103,33,0,0.1388888888888889,0.1388888888888889,0.08823529411764706,,,reference_scene_id
B4,10b17940-3938-2467-8a7a-958300ba83d3,reverse,2,10,0,31,0,31,1,32,0,0,0,202,93,18,0,0.0,0.0,0.03125,,,reference_scene_id
B4,137a8158-1db5-2cc0-8003-31c12610471e,reverse,2,12,6,39,6,39,9,42,0,0,0,367,142,36,0,0.15384615384615385,0.15384615384615385,0.21428571428571427,,,reference_scene_id
B4,280d8ebb-6cc6-2788-9153-98959a2da801,reverse,2,5,1,31,1,31,2,32,0,0,0,213,105,48,0,0.03225806451612903,0.03225806451612903,0.0625,,,reference_scene_id
B4,5630cfcf-12bf-2860-8784-83d28a611a83,reverse,2,5,0,17,0,17,0,17,0,0,0,153,61,25,0,0.0,0.0,0.0,,,reference_scene_id
B4,8eabc45f-5af7-2f32-8528-640861d2a135,reverse,2,5,2,11,2,11,11,20,0,0,0,154,80,26,0,0.18181818181818182,0.18181818181818182,0.55,,,reference_scene_id
B4,ddc73797-765b-241a-9e2c-097c5989baf6,reverse,2,6,3,36,3,36,2,35,0,0,0,257,106,35,0,0.08333333333333333,0.08333333333333333,0.05714285714285714,,,reference_scene_id
B2,10b17940-3938-2467-8a7a-958300ba83d3,reverse,3,10,2,63,7,70,2,65,12,5,1,303,112,27,0,0.031746031746031744,0.1,0.03076923076923077,0.2,0.08333333333333333,reference_scene_id
B2,137a8158-1db5-2cc0-8003-31c12610471e,reverse,3,12,12,77,25,97,14,86,56,16,5,551,178,60,0,0.15584415584415584,0.25773195876288657,0.16279069767441862,0.3125,0.08928571428571429,reference_scene_id
B2,280d8ebb-6cc6-2788-9153-98959a2da801,reverse,3,5,4,63,4,68,7,71,5,1,1,321,122,60,0,0.06349206349206349,0.058823529411764705,0.09859154929577464,1.0,0.2,reference_scene_id
B2,5630cfcf-12bf-2860-8784-83d28a611a83,reverse,3,5,0,35,1,37,0,36,0,0,0,231,69,30,0,0.0,0.02702702702702703,0.0,,,reference_scene_id
B2,8eabc45f-5af7-2f32-8528-640861d2a135,reverse,3,5,5,21,15,35,20,40,17,11,4,230,103,44,0,0.23809523809523808,0.42857142857142855,0.5,0.36363636363636365,0.23529411764705882,reference_scene_id
B2,ddc73797-765b-241a-9e2c-097c5989baf6,reverse,3,6,16,74,15,78,8,71,13,1,1,389,122,44,0,0.21621621621621623,0.19230769230769232,0.11267605633802817,1.0,0.07692307692307693,reference_scene_id
B3,10b17940-3938-2467-8a7a-958300ba83d3,reverse,3,10,2,63,8,70,3,65,12,5,0,303,111,27,0,0.031746031746031744,0.11428571428571428,0.046153846153846156,0.0,0.0,reference_scene_id
B3,137a8158-1db5-2cc0-8003-31c12610471e,reverse,3,12,11,77,24,97,14,87,56,16,5,551,177,59,0,0.14285714285714285,0.24742268041237114,0.16091954022988506,0.3125,0.08928571428571429,reference_scene_id
