logical_unit_id,reference_id,sequence_id,absolute_stage,generated_candidate_count,base_candidate_count,common_candidate_count,score_max_abs,aligned_mask_iou_mean,generated_vs_base_exact,d_and_a_physical_forward
DEV-CAL:00005,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_00-scene0066_02-scene0066_03-scene0066_04-scene0066_01,4,100,100,44,0.9294883534312248,0.2924377346363401,False,True
DEV-CAL:00006,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_01-scene0066_00-scene0066_02-scene0066_03-scene0066_04,0,100,100,100,0.0,1.0,True,True
DEV-CAL:00006,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_01-scene0066_00-scene0066_02-scene0066_03-scene0066_04,1,100,100,100,0.0,1.0,True,True
DEV-CAL:00006,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_01-scene0066_00-scene0066_02-scene0066_03-scene0066_04,2,100,100,66,0.9478759008925408,0.6435242691003613,False,True
DEV-CAL:00006,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_01-scene0066_00-scene0066_02-scene0066_03-scene0066_04,3,100,100,100,0.0,1.0,True,True
DEV-CAL:00006,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_01-scene0066_00-scene0066_02-scene0066_03-scene0066_04,4,100,100,100,0.0,1.0,True,True
DEV-CAL:00007,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_02-scene0066_03-scene0066_04-scene0066_01-scene0066_00,0,100,100,100,0.0,1.0,True,True
DEV-CAL:00007,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_02-scene0066_03-scene0066_04-scene0066_01-scene0066_00,1,100,100,100,0.0,1.0,True,True
DEV-CAL:00007,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_02-scene0066_03-scene0066_04-scene0066_01-scene0066_00,2,100,100,100,0.0,1.0,True,True
DEV-CAL:00007,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_02-scene0066_03-scene0066_04-scene0066_01-scene0066_00,3,100,100,36,0.9920155806466937,0.31456826059388365,False,True
DEV-CAL:00007,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_02-scene0066_03-scene0066_04-scene0066_01-scene0066_00,4,100,100,100,0.0,1.0,True,True
DEV-CAL:00008,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_03-scene0066_04-scene0066_01-scene0066_00-scene0066_02,0,100,100,100,0.0,1.0,True,True
DEV-CAL:00008,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_03-scene0066_04-scene0066_01-scene0066_00-scene0066_02,1,100,100,100,0.0,1.0,True,True
DEV-CAL:00008,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_03-scene0066_04-scene0066_01-scene0066_00-scene0066_02,2,100,100,47,0.9901794265024364,0.42464391347909797,False,True
DEV-CAL:00008,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_03-scene0066_04-scene0066_01-scene0066_00-scene0066_02,3,100,100,100,0.0,1.0,True,True
DEV-CAL:00008,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_03-scene0066_04-scene0066_01-scene0066_00-scene0066_02,4,100,100,62,0.8896763920783997,0.6793279555342411,False,True
DEV-CAL:00009,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_04-scene0066_01-scene0066_00-scene0066_02-scene0066_03,0,100,100,100,0.0,1.0,True,True
DEV-CAL:00009,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_04-scene0066_01-scene0066_00-scene0066_02-scene0066_03,1,100,100,43,0.9639970776624978,0.4322493453293984,False,True
DEV-CAL:00009,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_04-scene0066_01-scene0066_00-scene0066_02-scene0066_03,2,100,100,100,0.0,1.0,True,True
DEV-CAL:00009,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_04-scene0066_01-scene0066_00-scene0066_02-scene0066_03,3,100,100,52,0.9240920543670654,0.6902995710280313,False,True
DEV-CAL:00009,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_04-scene0066_01-scene0066_00-scene0066_02-scene0066_03,4,100,100,100,0.0,1.0,True,True
DEV-CAL:00010,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_00-scene0068_05-scene0068_03-scene0068_02-scene0068_04,0,100,100,100,0.0,1.0,True,True
DEV-CAL:00010,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_00-scene0068_05-scene0068_03-scene0068_02-scene0068_04,1,100,100,100,0.0,1.0,True,True
DEV-CAL:00010,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_00-scene0068_05-scene0068_03-scene0068_02-scene0068_04,2,100,100,61,0.9675991104450077,0.4833652597705167,False,True
DEV-CAL:00010,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_00-scene0068_05-scene0068_03-scene0068_02-scene0068_04,3,100,100,100,0.0,1.0,True,True
DEV-CAL:00010,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_00-scene0068_05-scene0068_03-scene0068_02-scene0068_04,4,100,100,23,0.9915173053741455,0.06880364321630063,False,True
DEV-CAL:00011,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_01-scene0068_00-scene0068_05-scene0068_03-scene0068_02,0,100,100,100,0.0,1.0,True,True
DEV-CAL:00011,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_01-scene0068_00-scene0068_05-scene0068_03-scene0068_02,1,100,100,53,0.9533603191375732,0.37926500671416363,False,True
DEV-CAL:00011,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_01-scene0068_00-scene0068_05-scene0068_03-scene0068_02,2,100,100,100,0.0,1.0,True,True
DEV-CAL:00011,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_01-scene0068_00-scene0068_05-scene0068_03-scene0068_02,3,100,100,59,0.8662994876503944,0.5373852657595847,False,True
DEV-CAL:00011,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_01-scene0068_00-scene0068_05-scene0068_03-scene0068_02,4,100,100,100,0.0,1.0,True,True
DEV-CAL:00012,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_02-scene0068_04-scene0068_01-scene0068_00-scene0068_05,0,100,100,100,0.0,1.0,True,True
DEV-CAL:00012,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_02-scene0068_04-scene0068_01-scene0068_00-scene0068_05,1,100,100,45,0.9630729351192713,0.3388622185882108,False,True
DEV-CAL:00012,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_02-scene0068_04-scene0068_01-scene0068_00-scene0068_05,2,100,100,100,0.0,1.0,True,True
DEV-CAL:00012,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_02-scene0068_04-scene0068_01-scene0068_00-scene0068_05,3,100,100,61,0.9447980760596693,0.4312659778871672,False,True
DEV-CAL:00012,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_02-scene0068_04-scene0068_01-scene0068_00-scene0068_05,4,100,100,100,0.0,1.0,True,True
DEV-CAL:00013,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_03-scene0068_02-scene0068_04-scene0068_01-scene0068_00,0,100,100,100,0.0,1.0,True,True
DEV-CAL:00013,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_03-scene0068_02-scene0068_04-scene0068_01-scene0068_00,1,100,100,100,0.0,1.0,True,True
DEV-CAL:00013,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_03-scene0068_02-scene0068_04-scene0068_01-scene0068_00,2,100,100,35,0.9868572289124131,0.22987191941432553,False,True
DEV-CAL:00013,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_03-scene0068_02-scene0068_04-scene0068_01-scene0068_00,3,100,100,100,0.0,1.0,True,True
DEV-CAL:00013,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_03-scene0068_02-scene0068_04-scene0068_01-scene0068_00,4,100,100,56,0.9500477956607938,0.48694759622430955,False,True
DEV-CAL:00014,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_04-scene0068_01-scene0068_00-scene0068_05-scene0068_03,0,100,100,100,0.0,1.0,True,True
DEV-CAL:00014,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_04-scene0068_01-scene0068_00-scene0068_05-scene0068_03,1,100,100,100,0.0,1.0,True,True
DEV-CAL:00014,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_04-scene0068_01-scene0068_00-scene0068_05-scene0068_03,2,100,100,52,0.9495145459659398,0.46397920400390646,False,True
DEV-CAL:00014,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_04-scene0068_01-scene0068_00-scene0068_05-scene0068_03,3,100,100,100,0.0,1.0,True,True
DEV-CAL:00014,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_04-scene0068_01-scene0068_00-scene0068_05-scene0068_03,4,100,100,64,0.9746952163986862,0.5162185315642814,False,True
DEV-CAL:00015,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_05-scene0068_03-scene0068_02-scene0068_04-scene0068_01,0,100,100,100,0.0,1.0,True,True
DEV-CAL:00015,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_05-scene0068_03-scene0068_02-scene0068_04-scene0068_01,1,100,100,54,0.9661369556561112,0.45429309152239,False,True
DEV-CAL:00015,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_05-scene0068_03-scene0068_02-scene0068_04-scene0068_01,2,100,100,100,0.0,1.0,True,True
DEV-CAL:00015,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_05-scene0068_03-scene0068_02-scene0068_04-scene0068_01,3,100,100,46,0.992902038153261,0.28090577874742356,False,True
DEV-CAL:00015,10b17936-3938-2467-88ba-ba5fe2debf14,scene0068_05-scene0068_03-scene0068_02-scene0068_04-scene0068_01,4,100,100,100,0.0,1.0,True,True
DEV-CAL:00026,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_00-scene0174_06-scene0174_01-scene0174_05-scene0174_04,0,100,100,100,0.0,1.0,True,True
DEV-CAL:00026,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_00-scene0174_06-scene0174_01-scene0174_05-scene0174_04,1,100,100,38,0.9982853878173046,0.8065902057116386,False,True
DEV-CAL:00026,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_00-scene0174_06-scene0174_01-scene0174_05-scene0174_04,2,100,100,100,0.0,1.0,True,True
DEV-CAL:00026,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_00-scene0174_06-scene0174_01-scene0174_05-scene0174_04,3,100,100,45,0.9979888857924379,0.6847694816567503,False,True
DEV-CAL:00026,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_00-scene0174_06-scene0174_01-scene0174_05-scene0174_04,4,100,100,54,0.004258334636688232,0.6874678290782035,False,True
DEV-CAL:00027,4acaebba-6c10-2a2a-8650-34c2f160db99,scene0174_01-scene0174_05-scene0174_04-scene0174_02-scene0174_03,0,100,100,100,0.0,1.0,True,True
