population_id,data_role,reference_count,logical_unit_count,method,config_id,source_method,source_commit,R1_SHA,head_SHA,producer_id,policy,mask_selector,score_mode,K,reference,master,order,T,t_mAP,t_mAP50,t_mAP25,t_REC,prefix_overall_mAP,raw_current_AP,published_current_AP,resident_bytes,archive_bytes,buffer_bytes,materialized_bytes,status,reason
development,DEV-CAL,4,23,D-LEGACY-LAST,D-LEGACY-LAST,D-LAST,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,2,0.3634265661239624,0.5830005407333374,0.7686979174613953,0.4752127230167389,0.4965500831604004,0.5114758610725403,0.5114758610725403,62616,3114908,9048176,84924472,MEASURED,
development,DEV-CAL,4,23,D-LEGACY-LAST,D-LEGACY-LAST,D-LAST,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,3,0.2914502024650574,0.4692639112472534,0.7001632452011108,0.396744966506958,0.4801827669143677,0.5069953203201294,0.5061817169189453,62616,3114908,9048176,84924472,MEASURED,
development,DEV-CAL,4,23,D-LEGACY-LAST,D-LEGACY-LAST,D-LAST,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,4,0.247001051902771,0.40091899037361145,0.6607334613800049,0.3576830327510834,0.44901391863822937,0.5014621615409851,0.4810815751552582,62616,3114908,9048176,84924472,MEASURED,
development,DEV-CAL,4,23,D-LEGACY-LAST,D-LEGACY-LAST,D-LAST,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,5,0.22254586219787598,0.3647279739379883,0.6126819849014282,0.31717604398727417,0.4295079708099365,0.5164384245872498,0.506662130355835,62616,3114908,9048176,84924472,MEASURED,
development,DEV-CAL,4,23,D-INDEXFIX-LAST,D-INDEXFIX-LAST,D-LAST,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,2,0.3634265661239624,0.5830005407333374,0.7686979174613953,0.4752127230167389,0.4965500831604004,0.5114758610725403,0.5114758610725403,62616,3114908,9048176,84924472,EQUIVALENT_NO_POINT_ORDER_TRIGGER,
development,DEV-CAL,4,23,D-INDEXFIX-LAST,D-INDEXFIX-LAST,D-LAST,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,3,0.2914502024650574,0.4692639112472534,0.7001632452011108,0.396744966506958,0.4801827669143677,0.5069953203201294,0.5061817169189453,62616,3114908,9048176,84924472,EQUIVALENT_NO_POINT_ORDER_TRIGGER,
development,DEV-CAL,4,23,D-INDEXFIX-LAST,D-INDEXFIX-LAST,D-LAST,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,4,0.247001051902771,0.40091899037361145,0.6607334613800049,0.3576830327510834,0.44901391863822937,0.5014621615409851,0.4810815751552582,62616,3114908,9048176,84924472,EQUIVALENT_NO_POINT_ORDER_TRIGGER,
development,DEV-CAL,4,23,D-INDEXFIX-LAST,D-INDEXFIX-LAST,D-LAST,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,5,0.22254586219787598,0.3647279739379883,0.6126819849014282,0.31717604398727417,0.4295079708099365,0.5164384245872498,0.506662130355835,62616,3114908,9048176,84924472,EQUIVALENT_NO_POINT_ORDER_TRIGGER,
development,DEV-CAL,4,23,D-CANONICAL-LAST,D-CANONICAL-LAST,D-LAST,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,2,0.3634265661239624,0.5830005407333374,0.7686979174613953,0.4752127230167389,0.4965500831604004,0.5114758610725403,0.5114758610725403,62616,3114908,9048176,84924472,EQUIVALENT_LEGACY_FALLBACK_ALREADY_LOSSLESS,
development,DEV-CAL,4,23,D-CANONICAL-LAST,D-CANONICAL-LAST,D-LAST,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,,R1-B4-policy,lag1,M-new,mean,100,all,all,all,3,0.2914502024650574,0.4692639112472534,0.7001632452011108,0.396744966506958,0.4801827669143677,0.5069953203201294,0.5061817169189453,62616,3114908,9048176,84924472,EQUIVALENT_LEGACY_FALLBACK_ALREADY_LOSSLESS,
