method,reference_id,master_sequence_id,T,scope,measured_repeats,state_snapshot_sha256,median_latency_ms,mean_latency_ms,std_latency_ms,loaded_model_allocated_bytes,absolute_peak_allocated_bytes,incremental_peak_bytes,peak_reserved_bytes,cpu_state_bytes,visual_state_bytes,lag1_buffer_bytes,archive_bytes
FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,3,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,2539.9649879999997,2529.5388597,29.7979374915826,593637376,2474885632,1881248256,6767509504,0,0,3606167,10480349
FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,3,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,1096.461632,1099.7665229,9.702901612204519,593637376,2477101568,1883464192,6767509504,0,0,3606167,10480349
FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,3,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,855.962267,835.1444872,42.18201807075869,593637376,2477097472,1883460096,6767509504,0,0,3606167,10480349
FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,3,output_materialization,10,0000000000000000000000000000000000000000000000000000000000000000,8.976718,8.9509464,0.06409420434048636,593637376,593637376,0,6767509504,0,0,3606167,10480349
FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,4,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,3797.4954955000003,3803.0420101,50.92144558466665,593637376,2635807232,2042169856,6767509504,0,0,3899440,11183898
FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,4,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,1238.012702,1238.4175587,51.14379936592454,593637376,2637823488,2044186112,6767509504,0,0,3899440,11183898
FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,4,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,821.6849345,845.7990035,42.31668432445477,593637376,2637791744,2044154368,6767509504,0,0,3899440,11183898
FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,4,output_materialization,10,0000000000000000000000000000000000000000000000000000000000000000,9.826065,9.6404226,0.3770832450608755,593637376,593637376,0,6767509504,0,0,3899440,11183898
FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,5,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,5158.591208,5179.2014573,242.69238926620076,593637376,2994313216,2400675840,6767509504,0,0,4610093,13255831
FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,5,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,1398.7936675,1398.8178639,20.149643863158307,593637376,2992809472,2399172096,6767509504,0,0,4610093,13255831
FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,5,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,935.2439115,956.8715775000001,35.10414106412809,593637376,2992849920,2399212544,6767509504,0,0,4610093,13255831
FH-CONT,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,5,output_materialization,10,0000000000000000000000000000000000000000000000000000000000000000,10.1257955,10.0822671,0.7871575601785769,593637376,593637376,0,6767509504,0,0,4610093,13255831
FH-CONT,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,2,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,1818.891618,1824.7496119,16.2886847165632,593637376,2399290880,1805653504,13042188288,0,0,3778367,10856416
