method,reference_id,master_sequence_id,order_id,T,scope,repeat,state_snapshot_sha256,latency_ms,loaded_model_allocated_bytes,peak_allocated_bytes,incremental_peak_bytes,peak_reserved_bytes,cpu_state_bytes,visual_state_bytes,lag1_buffer_bytes,archive_bytes,point_count,superpoint_count,occupied_count,query_count,precision,source_commit
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,end_to_end_update,2,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,1205.670712,559363072,1517420032,958056960,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,end_to_end_update,3,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,1250.578887,559363072,1517463040,958099968,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,end_to_end_update,4,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,1232.786975,559363072,1517453312,958090240,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,end_to_end_update,5,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,1253.973245,559363072,1517428736,958065664,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,end_to_end_update,6,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,1228.530785,559363072,1517487616,958124544,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,end_to_end_update,7,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,1204.801313,559363072,1517420032,958056960,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,end_to_end_update,8,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,1234.443224,559363072,1517454848,958091776,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,end_to_end_update,9,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,1270.727474,559363072,1517384192,958021120,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,output_materialization,0,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,3.970056,559363072,592923648,33560576,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,2,output_materialization,1,068491dca9eaa9b9f54afc46f9b240a172c9988eb3ef25c7511d62198ba8ccc7,3.943018,559363072,592923648,33560576,2162163712,62616,427200,1798826,5183072,65164,1955,10,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
