population_id,variant,checkpoint_sha256,training_seed,evaluation_seed,T,episode_count,identity_linker,policy,correct_recoveries,deployment_id_switches,fragmentation_count,fragmentation_opportunities,gap_opportunities,identity_transition_opportunities,merge_count,merge_opportunities,recovery_attempts,fragmentation_rate,gap_recovery_accuracy,gap_recovery_attempt_coverage,gap_recovery_recall,merge_rate,normalized_id_switch_rate,reference_count,master_count
development_common_h5_canonical,M3-V-LAST,1f0a61f436854292992e694ac05c60ad9aaf8b3cfd040452285d16d79d9f44ab,45,45,2,47,lag1-route-then-class-iou-v1,lag1,0,132,132,316,0,316,0,184,0,0.4177215189873418,N/A,N/A,N/A,0.0,0.4177215189873418,8,47
development_common_h5_canonical,M3-V-LAST,1f0a61f436854292992e694ac05c60ad9aaf8b3cfd040452285d16d79d9f44ab,45,45,3,47,lag1-route-then-class-iou-v1,lag1,3,268,247,648,10,632,6,407,7,0.38117283950617287,0.42857142857142855,0.7,0.3,0.014742014742014743,0.4240506329113924,8,47
development_common_h5_canonical,M3-V-LAST,1f0a61f436854292992e694ac05c60ad9aaf8b3cfd040452285d16d79d9f44ab,45,45,4,47,lag1-route-then-class-iou-v1,lag1,9,408,357,991,26,946,9,643,21,0.3602421796165489,0.42857142857142855,0.8076923076923077,0.34615384615384615,0.013996889580093312,0.4312896405919662,8,47
development_common_h5_canonical,M3-V-LAST,1f0a61f436854292992e694ac05c60ad9aaf8b3cfd040452285d16d79d9f44ab,45,45,5,47,lag1-route-then-class-iou-v1,lag1,16,540,456,1336,42,1259,12,892,35,0.3413173652694611,0.45714285714285713,0.8333333333333334,0.38095238095238093,0.013452914798206279,0.4289118347895155,8,47
