event_type,logical_unit_id,reference_id,parent,selector,score_mode,absolute_stage,gt_id,tau,old_best_iou,new_best_iou,selected_best_iou,selected_minus_new_iou,transition,old_choice_count,new_choice_count,new_only_count,old_only_dropped_count
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,1,4,0.25,0.992831541218638,0.992831541218638,0.992831541218638,0.0,both_strong,0,68,21,19
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,1,4,0.5,0.992831541218638,0.992831541218638,0.992831541218638,0.0,both_strong,0,68,21,19
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,1,4,0.75,0.992831541218638,0.992831541218638,0.992831541218638,0.0,both_strong,0,68,21,19
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,1,5,0.25,0.9098660170523751,0.8967587034813925,0.8967587034813925,0.0,both_strong,0,68,21,19
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,1,5,0.5,0.9098660170523751,0.8967587034813925,0.8967587034813925,0.0,both_strong,0,68,21,19
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,1,5,0.75,0.9098660170523751,0.8967587034813925,0.8967587034813925,0.0,both_strong,0,68,21,19
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,1,6,0.25,0.9215291750503019,0.9087301587301587,0.9087301587301587,0.0,both_strong,0,68,21,19
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,1,6,0.5,0.9215291750503019,0.9087301587301587,0.9087301587301587,0.0,both_strong,0,68,21,19
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,1,6,0.75,0.9215291750503019,0.9087301587301587,0.9087301587301587,0.0,both_strong,0,68,21,19
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,1,7,0.25,1.0,1.0,1.0,0.0,both_strong,0,68,21,19
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,1,7,0.5,1.0,1.0,1.0,0.0,both_strong,0,68,21,19
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,1,7,0.75,1.0,1.0,1.0,0.0,both_strong,0,68,21,19
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,1,8,0.25,0.978328173374613,0.978328173374613,0.978328173374613,0.0,both_strong,0,68,21,19
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,1,8,0.5,0.978328173374613,0.978328173374613,0.978328173374613,0.0,both_strong,0,68,21,19
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,1,8,0.75,0.978328173374613,0.978328173374613,0.978328173374613,0.0,both_strong,0,68,21,19
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,2,4,0.25,0.9942363112391931,0.9942363112391931,0.9942363112391931,0.0,both_strong,0,40,32,49
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,2,4,0.5,0.9942363112391931,0.9942363112391931,0.9942363112391931,0.0,both_strong,0,40,32,49
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,2,4,0.75,0.9942363112391931,0.9942363112391931,0.9942363112391931,0.0,both_strong,0,40,32,49
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,2,5,0.25,0.9951749095295537,0.9951749095295537,0.9951749095295537,0.0,both_strong,0,40,32,49
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,2,5,0.5,0.9951749095295537,0.9951749095295537,0.9951749095295537,0.0,both_strong,0,40,32,49
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,2,5,0.75,0.9951749095295537,0.9951749095295537,0.9951749095295537,0.0,both_strong,0,40,32,49
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,2,6,0.25,0.5255255255255256,1.0,1.0,0.0,both_strong,0,40,32,49
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,2,6,0.5,0.5255255255255256,1.0,1.0,0.0,both_strong,0,40,32,49
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,2,6,0.75,0.5255255255255256,1.0,1.0,0.0,weak_to_strong,0,40,32,49
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,2,7,0.25,1.0,0.7603174603174603,0.7603174603174603,0.0,both_strong,0,40,32,49
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,2,7,0.5,1.0,0.7603174603174603,0.7603174603174603,0.0,both_strong,0,40,32,49
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,2,7,0.75,1.0,0.7603174603174603,0.7603174603174603,0.0,both_strong,0,40,32,49
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,2,8,0.25,1.0,1.0,1.0,0.0,both_strong,0,40,32,49
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,2,8,0.5,1.0,1.0,1.0,0.0,both_strong,0,40,32,49
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,2,8,0.75,1.0,1.0,1.0,0.0,both_strong,0,40,32,49
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,3,4,0.25,0.9140786749482401,0.9306418219461697,0.9306418219461697,0.0,both_strong,0,65,20,16
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,3,4,0.5,0.9140786749482401,0.9306418219461697,0.9306418219461697,0.0,both_strong,0,65,20,16
GT_REVISION,DEV-SEL:00016,1776ad7e-4db7-2333-89e1-66854e82170c,D0,M-new,MASK_ONLY_FIXED_SCORE,3,4,0.75,0.9140786749482401,0.9306418219461697,0.9306418219461697,0.0,both_strong,0,65,20,16
