population_id,data_role,reference_count,logical_unit_count,parent,association_config_id,selector,score_mode,score_reducer,T,t_mAP,t_mAP50,t_mAP25,t_REC,prefix_overall_mAP,published_current_AP,source_commit,R1_SHA,status,reason
development,DEV-SEL,4,24,D0,D0,M-new,MASK_ONLY_FIXED_SCORE,mean,2,0.6711902618408203,0.8710009455680847,0.974999189376831,0.728036642074585,0.7726362943649292,0.7529525756835938,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,MEASURED,
development,DEV-SEL,4,24,D0,D0,M-new,MASK_ONLY_FIXED_SCORE,mean,3,0.652299165725708,0.8838681578636169,0.9698792695999146,0.6977484226226807,0.7941787838935852,0.7710229754447937,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,MEASURED,
development,DEV-SEL,4,24,D0,D0,M-new,MASK_ONLY_FIXED_SCORE,mean,4,0.6147278547286987,0.8590745329856873,0.9625711441040039,0.6527746915817261,0.7927629947662354,0.7690790891647339,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,MEASURED,
development,DEV-SEL,4,24,D0,D0,M-new,MASK_ONLY_FIXED_SCORE,mean,5,0.5792063474655151,0.8196964263916016,0.9405568242073059,0.6115915179252625,0.799066960811615,0.7819216847419739,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,MEASURED,
development,DEV-SEL,4,24,D0,D0,M-new,SYSTEM_SELECTED_SCORE,mean,2,0.6711902618408203,0.8710009455680847,0.974999189376831,0.728036642074585,0.7726362943649292,0.7529525756835938,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,MEASURED,
development,DEV-SEL,4,24,D0,D0,M-new,SYSTEM_SELECTED_SCORE,mean,3,0.652299165725708,0.8838681578636169,0.9698792695999146,0.6977484226226807,0.7941787838935852,0.7710229754447937,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,MEASURED,
development,DEV-SEL,4,24,D0,D0,M-new,SYSTEM_SELECTED_SCORE,mean,4,0.6147278547286987,0.8590745329856873,0.9625711441040039,0.6527746915817261,0.7927629947662354,0.7690790891647339,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,MEASURED,
development,DEV-SEL,4,24,D0,D0,M-new,SYSTEM_SELECTED_SCORE,mean,5,0.5792063474655151,0.8196964263916016,0.9405568242073059,0.6115915179252625,0.799066960811615,0.7819216847419739,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,MEASURED,
development,DEV-SEL,4,24,D0,D0,M-old,MASK_ONLY_FIXED_SCORE,mean,2,0.6788167953491211,0.9086912870407104,0.9833269715309143,0.7364717125892639,0.777712881565094,0.7529525756835938,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,MEASURED,
development,DEV-SEL,4,24,D0,D0,M-old,MASK_ONLY_FIXED_SCORE,mean,3,0.6306737661361694,0.86761474609375,0.9755013585090637,0.6836106181144714,0.7864457368850708,0.7710229754447937,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,MEASURED,
development,DEV-SEL,4,24,D0,D0,M-old,MASK_ONLY_FIXED_SCORE,mean,4,0.5869715213775635,0.8377774953842163,0.96567702293396,0.6361582279205322,0.7891756296157837,0.7690790891647339,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,MEASURED,
development,DEV-SEL,4,24,D0,D0,M-old,MASK_ONLY_FIXED_SCORE,mean,5,0.5538722276687622,0.804809033870697,0.9469563961029053,0.5954328179359436,0.7948902249336243,0.7819216847419739,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,MEASURED,
development,DEV-SEL,4,24,D0,D0,M-old,SYSTEM_SELECTED_SCORE,mean,2,0.6819545030593872,0.9055593013763428,0.9819231629371643,0.7364717125892639,0.7791463732719421,0.7533491849899292,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,MEASURED,
development,DEV-SEL,4,24,D0,D0,M-old,SYSTEM_SELECTED_SCORE,mean,3,0.6255307197570801,0.8622036576271057,0.9754286408424377,0.6836106181144714,0.7847186326980591,0.7644006013870239,96edca52d9d1cab7781bfa2a273baf9fe52b6a7d,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,MEASURED,
