population_id,variant,checkpoint_sha256,training_seed,evaluation_seed,visual_content_control,T,episode_count,identity_linker,policy,correct_recoveries,deployment_id_switches,fragmentation_count,fragmentation_opportunities,gap_opportunities,identity_transition_opportunities,merge_count,merge_opportunities,recovery_attempts,fragmentation_rate,gap_recovery_accuracy,gap_recovery_attempt_coverage,gap_recovery_recall,merge_rate,normalized_id_switch_rate,reference_count,master_count,order_count
protocol_b_43_masters_3_orders,M3-BASE-CONT,a0aa8f73aac5b27aa0aac972ac72cbf1a7dfb3f6d6a1ba103cbf0a92ba793ed6,45,45,native,2,129,lag1-route-then-class-iou-v1,lag1,0,407,407,645,0,645,17,255,0,0.6310077519379845,N/A,N/A,N/A,0.06666666666666667,0.6310077519379845,6,43,129
protocol_b_43_masters_3_orders,M3-BASE-CONT,a0aa8f73aac5b27aa0aac972ac72cbf1a7dfb3f6d6a1ba103cbf0a92ba793ed6,45,45,native,3,129,lag1-route-then-class-iou-v1,lag1,42,782,898,1527,272,1301,34,663,140,0.5880812049770793,0.3,0.5147058823529411,0.15441176470588236,0.05128205128205128,0.601076095311299,6,43,129
protocol_b_43_masters_3_orders,M3-BASE-CONT,a0aa8f73aac5b27aa0aac972ac72cbf1a7dfb3f6d6a1ba103cbf0a92ba793ed6,45,45,native,4,129,lag1-route-then-class-iou-v1,lag1,109,1207,1441,2510,696,1997,67,1136,354,0.5741035856573705,0.307909604519774,0.5086206896551724,0.15660919540229884,0.05897887323943662,0.6044066099148723,6,43,129
protocol_b_43_masters_3_orders,M3-BASE-CONT,a0aa8f73aac5b27aa0aac972ac72cbf1a7dfb3f6d6a1ba103cbf0a92ba793ed6,45,45,native,5,129,lag1-route-then-class-iou-v1,lag1,168,1610,1936,3553,1093,2695,96,1713,568,0.544891640866873,0.29577464788732394,0.5196706312900274,0.1537053979871912,0.05604203152364273,0.5974025974025974,6,43,129
