role,recipe,step,coverage,T2,T3,T4,T5,mean_delta_R1,min_delta_R1,artifact
CAL,A-OPEN-L-s45,0,COMPLETE,0.363079309463501,0.292852520942688,0.2449493259191513,0.22158147394657135,-0.0003464333713054657,-0.0017599016427993774,evaluation/CAL/A-OPEN-L-s45/update=0000.json
CAL,A-OPEN-L-s45,250,COMPLETE,0.3640836775302887,0.2933122217655182,0.24321681261062622,0.22632616758346558,0.0007726289331912994,-0.003492414951324463,evaluation/CAL/A-OPEN-L-s45/update=0250.json
CAL,A-OPEN-L-s45,750,COMPLETE,0.36053740978240967,0.2939961850643158,0.24499990046024323,0.2305554300546646,0.0015601404011249542,-0.0020852088928222656,evaluation/CAL/A-OPEN-L-s45/update=0750.json
CAL,C0-H-s45,250,COMPLETE,0.35375484824180603,0.27594244480133057,0.2354133278131485,0.21766230463981628,-0.010268859565258026,-0.01587069034576416,evaluation/CAL/C0-H-s45/update=0250.json
CAL,C0-H-s45,750,COMPLETE,0.3342858552932739,0.280689001083374,0.22574535012245178,0.21675042808055878,-0.016594432294368744,-0.028336763381958008,evaluation/CAL/C0-H-s45/update=0750.json
CAL,C0-L-s45,250,COMPLETE,0.3535640239715576,0.30249422788619995,0.2448398768901825,0.23554366827011108,0.003148358315229416,-0.009058594703674316,evaluation/CAL/C0-L-s45/update=0250.json
CAL,C0-L-s45,750,COMPLETE,0.3577871322631836,0.296448677778244,0.24584166705608368,0.2243504524230957,0.00014489144086837769,-0.00483548641204834,evaluation/CAL/C0-L-s45/update=0750.json
CAL,C0-L-s45,1500,COMPLETE,0.35861116647720337,0.2912043631076813,0.23295775055885315,0.2223520427942276,-0.004680760204792023,-0.013751477003097534,evaluation/CAL/C0-L-s45/update=1500.json
CAL,C0-L-s45,2250,COMPLETE,0.3605762720108032,0.2863278388977051,0.23527394235134125,0.22346524894237518,-0.004551265388727188,-0.011435285210609436,evaluation/CAL/C0-L-s45/update=2250.json
CAL,C0-L-s45,3000,COMPLETE,0.3521181344985962,0.2895839512348175,0.24204300343990326,0.21953877806663513,-0.005141124129295349,-0.010504484176635742,evaluation/CAL/C0-L-s45/update=3000.json
CAL,Q-SEM-L-s45,0,COMPLETE,0.36067473888397217,0.2956312298774719,0.24083933234214783,0.2222689390182495,-0.0011085309088230133,-0.0058698952198028564,evaluation/CAL/Q-SEM-L-s45/update=0000.json
CAL,Q-SEM-L-s45,250,COMPLETE,0.36314448714256287,0.29955634474754333,0.24698838591575623,0.2332228273153305,0.004765920341014862,0.000279158353805542,evaluation/CAL/Q-SEM-L-s45/update=0250.json
CAL,Q-SEM-L-s45,750,COMPLETE,0.3622657060623169,0.3016703128814697,0.24655169248580933,0.22650672495365143,0.003286518156528473,-0.00035691261291503906,evaluation/CAL/Q-SEM-L-s45/update=0750.json
CAL,Q-SEM-L-s45,1500,COMPLETE,0.3661680221557617,0.2976616322994232,0.24076354503631592,0.22342988848686218,0.0010436810553073883,-0.005945682525634766,evaluation/CAL/Q-SEM-L-s45/update=1500.json
CAL,Q-SEM-L-s45,2250,COMPLETE,0.3620452582836151,0.289256751537323,0.23624950647354126,0.2204209566116333,-0.003968972712755203,-0.010459721088409424,evaluation/CAL/Q-SEM-L-s45/update=2250.json
CAL,Q-SEM-L-s45,3000,COMPLETE,0.358510822057724,0.2980140149593353,0.241043359041214,0.2250741571187973,-0.00030150264501571655,-0.005665868520736694,evaluation/CAL/Q-SEM-L-s45/update=3000.json
CAL,S-BAL-H-s45,250,COMPLETE,0.34864190220832825,0.2776104509830475,0.239545077085495,0.22264978289604187,-0.008850287646055222,-0.014202684164047241,evaluation/CAL/S-BAL-H-s45/update=0250.json
CAL,S-BAL-H-s45,750,COMPLETE,0.327426016330719,0.27379339933395386,0.23528482019901276,0.20809350907802582,-0.019812654703855515,-0.03519660234451294,evaluation/CAL/S-BAL-H-s45/update=0750.json
CAL,S-BAL-L-s45,250,COMPLETE,0.3629983365535736,0.29093214869499207,0.23279176652431488,0.2211921513080597,-0.003983490169048309,-0.013917461037635803,evaluation/CAL/S-BAL-L-s45/update=0250.json
CAL,S-BAL-L-s45,750,COMPLETE,0.3582857549190521,0.2945186495780945,0.2410450130701065,0.22247296571731567,-0.0018814951181411743,-0.005664214491844177,evaluation/CAL/S-BAL-L-s45/update=0750.json
CAL,S-WORST-L-s45,250,COMPLETE,0.3605569303035736,0.3001781105995178,0.24331055581569672,0.22899340093135834,0.00229765847325325,-0.0033986717462539673,evaluation/CAL/S-WORST-L-s45/update=0250.json
CAL,S-WORST-L-s45,750,COMPLETE,0.3660038709640503,0.29801589250564575,0.24380254745483398,0.21864162385463715,0.0006538927555084229,-0.004061758518218994,evaluation/CAL/S-WORST-L-s45/update=0750.json
SEL,C0-L-s45,250,COMPLETE,0.6845518946647644,0.6457927823066711,0.6075342893600464,0.5727488398551941,-0.003017440438270569,-0.009738504886627197,evaluation/SEL/C0-L-s45/update=0250.json
SEL,Q-SEM-L-s45,250,COMPLETE,0.6877159476280212,0.6458714604377747,0.6056956648826599,0.5812482833862305,-0.0005415529012680054,-0.011577129364013672,evaluation/SEL/Q-SEM-L-s45/update=0250.json
