task,command,exit_code,utc
BIND,"python -m scripts.perception_gain_v2 bootstrap --config configs/perception_gain_v2.yaml --external-root ""$PERSIST4D_GAIN_V2_ROOT""",0,2026-09-22T14:22:11.652944+00:00
REPAIR_R1,"/home/ww/miniconda3/envs/persist4d/bin/python -m scripts.prepare_perception_refiner --variant C0 --update 0 --assets ""$PERSIST4D_GAIN_V2_ROOT/assets.local.json"" --roles artifacts/perception_gain_v2/DATA_ROLES.json --external-root ""$PERSIST4D_GAIN_V2_ROOT"" --recipe-config artifacts/perception_gain_v2/training/C0-L-s45/recipe.json --output-root ""$PERSIST4D_GAIN_V2_ROOT/cache/refiner/R1"" --manifest-output artifacts/perception_gain_v2/refiner/R1/DATA_MANIFEST.json",-15,2026-09-22T14:49:04.951381+00:00
REPAIR_R1,"/home/ww/miniconda3/envs/persist4d/bin/python -m scripts.prepare_perception_refiner --variant C0 --update 0 --assets ""$PERSIST4D_GAIN_V2_ROOT/assets.local.json"" --roles artifacts/perception_gain_v2/DATA_ROLES.json --external-root ""$PERSIST4D_GAIN_V2_ROOT"" --recipe-config artifacts/perception_gain_v2/training/C0-L-s45/recipe.json --output-root ""$PERSIST4D_GAIN_V2_ROOT/cache/refiner/R1"" --manifest-output artifacts/perception_gain_v2/refiner/R1/DATA_MANIFEST.json",0,2026-09-22T15:07:11.552286+00:00
HIGH_CONT,"/home/ww/miniconda3/envs/persist4d/bin/python -m scripts.perception_gain_v2 execute-task --config '$PERSIST4D_REPO/configs/perception_gain_v2.yaml' --external-root ""$PERSIST4D_GAIN_V2_ROOT"" --target HIGH_CONT",0,2026-09-22T14:37:16.819978+00:00
REPAIR_R1,"/home/ww/miniconda3/envs/persist4d/bin/python -m scripts.perception_gain_v2 execute-task --config '$PERSIST4D_REPO/configs/perception_gain_v2.yaml' --external-root ""$PERSIST4D_GAIN_V2_ROOT"" --target REPAIR_R1",1,2026-09-22T15:50:45.978089+00:00
BASELINE,"/home/ww/miniconda3/envs/persist4d/bin/python -m scripts.perception_gain_v2 execute-task --config '$PERSIST4D_REPO/configs/perception_gain_v2.yaml' --external-root ""$PERSIST4D_GAIN_V2_ROOT"" --target BASELINE",0,2026-09-22T15:55:40.049268+00:00
REPAIR_R1,"/home/ww/miniconda3/envs/persist4d/bin/python -m scripts.perception_gain_v2 execute-task --target REPAIR_R1 --external-root ""$PERSIST4D_GAIN_V2_ROOT""",0,2026-09-22T16:20:52.737373+00:00
ASSOC,"/home/ww/miniconda3/envs/persist4d/bin/python -m scripts.perception_gain_v2 execute-task --target ASSOC --external-root ""$PERSIST4D_GAIN_V2_ROOT""",-15,2026-09-22T16:22:51.687476+00:00
REPAIR_R1,/home/ww/miniconda3/envs/persist4d/bin/python -m scripts.perception_gain_v2 execute-task --target REPAIR_R1 --config /home/ww/paper5/.worktrees/persist4d-perception-gain-v2/configs/perception_gain_v2.yaml --external-root /home/ww/persist4d_runs/perception_gain_v2,0,2026-09-22T16:46:43.240418+00:00
REPAIR_R1,"python -m scripts.perception_gain_v2_diagnostics --external-root ""$PERSIST4D_GAIN_V2_ROOT"" --parent-id R1 --gpu 0",0,2026-09-22T18:09:24.561564+00:00
