recipe,train_seed,completed_updates,status,last_checkpoint,gpu_hours_in_summary,attribution_only
A-OPEN-H-s45,45,0,NOT_RUN,,,True
A-OPEN-H-s46,46,0,NOT_RUN,,,True
A-OPEN-L-s45,45,750,COMPLETE,external:training/A-OPEN-L-s45/last.ckpt,4.5382529188527005,True
A-OPEN-L-s46,46,0,NOT_RUN,,,True
C0-H-s45,45,750,IMPORTED,,,True
C0-H-s46,46,0,NOT_RUN,,,True
C0-L-s45,45,3000,COMPLETE,external:training/C0-L-s45/last.ckpt,13.554934809075462,True
C0-L-s46,46,0,NOT_RUN,,,True
Q-SEM-H-s45,45,0,NOT_RUN,,,True
Q-SEM-H-s46,46,0,NOT_RUN,,,True
Q-SEM-L-s45,45,3000,COMPLETE,external:training/Q-SEM-L-s45/last.ckpt,14.896430932548311,True
Q-SEM-L-s46,46,0,NOT_RUN,,,True
S-BAL-H-s45,45,750,COMPLETE,external:training/S-BAL-H-s45/last.ckpt,2.433176358540853,True
S-BAL-H-s46,46,0,NOT_RUN,,,True
S-BAL-L-s45,45,750,COMPLETE,external:training/S-BAL-L-s45/last.ckpt,4.556390305360158,True
S-BAL-L-s46,46,0,NOT_RUN,,,True
S-WORST-H-s45,45,0,NOT_RUN,,,True
S-WORST-H-s46,46,0,NOT_RUN,,,True
S-WORST-L-s45,45,750,COMPLETE,external:training/S-WORST-L-s45/last.ckpt,4.7644087413946785,True
S-WORST-L-s46,46,0,NOT_RUN,,,True
