recipe,scope,source,start_draw,end_draw,completed_optimizer_updates,rio_draws,scannet_draws,plan_sha256
A-OPEN-L-s45,completed_trajectory,EXACT_RECONSTRUCTION_FROM_HASH_VERIFIED_PLAN_AND_COMPLETED_CURSOR,0,24000,750,13417,10583,57dc334b323b7ebfc1f1b3b999497254926b68e01ef93002e878fbef2ec872b1
A-OPEN-L-s45,latest_resume_segment,EXACT_RECONSTRUCTION_FROM_HASH_VERIFIED_PLAN_AND_COMPLETED_CURSOR,0,24000,750,13417,10583,57dc334b323b7ebfc1f1b3b999497254926b68e01ef93002e878fbef2ec872b1
C0-L-s45,completed_trajectory,EXACT_RECONSTRUCTION_FROM_HASH_VERIFIED_PLAN_AND_COMPLETED_CURSOR,0,96000,3000,53388,42612,57dc334b323b7ebfc1f1b3b999497254926b68e01ef93002e878fbef2ec872b1
C0-L-s45,latest_resume_segment,EXACT_RECONSTRUCTION_FROM_HASH_VERIFIED_PLAN_AND_COMPLETED_CURSOR,24000,96000,3000,39971,32029,57dc334b323b7ebfc1f1b3b999497254926b68e01ef93002e878fbef2ec872b1
Q-SEM-L-s45,completed_trajectory,EXACT_RECONSTRUCTION_FROM_HASH_VERIFIED_PLAN_AND_COMPLETED_CURSOR,0,96000,3000,53388,42612,57dc334b323b7ebfc1f1b3b999497254926b68e01ef93002e878fbef2ec872b1
Q-SEM-L-s45,latest_resume_segment,EXACT_RECONSTRUCTION_FROM_HASH_VERIFIED_PLAN_AND_COMPLETED_CURSOR,24000,96000,3000,39971,32029,57dc334b323b7ebfc1f1b3b999497254926b68e01ef93002e878fbef2ec872b1
S-BAL-H-s45,completed_trajectory,EXACT_RECONSTRUCTION_FROM_HASH_VERIFIED_PLAN_AND_COMPLETED_CURSOR,0,24000,750,13417,10583,57dc334b323b7ebfc1f1b3b999497254926b68e01ef93002e878fbef2ec872b1
S-BAL-H-s45,latest_resume_segment,EXACT_RECONSTRUCTION_FROM_HASH_VERIFIED_PLAN_AND_COMPLETED_CURSOR,11200,24000,750,7155,5645,57dc334b323b7ebfc1f1b3b999497254926b68e01ef93002e878fbef2ec872b1
S-BAL-L-s45,completed_trajectory,EXACT_RECONSTRUCTION_FROM_HASH_VERIFIED_PLAN_AND_COMPLETED_CURSOR,0,24000,750,13417,10583,57dc334b323b7ebfc1f1b3b999497254926b68e01ef93002e878fbef2ec872b1
S-BAL-L-s45,latest_resume_segment,EXACT_RECONSTRUCTION_FROM_HASH_VERIFIED_PLAN_AND_COMPLETED_CURSOR,0,24000,750,13417,10583,57dc334b323b7ebfc1f1b3b999497254926b68e01ef93002e878fbef2ec872b1
S-WORST-L-s45,completed_trajectory,EXACT_RECONSTRUCTION_FROM_HASH_VERIFIED_PLAN_AND_COMPLETED_CURSOR,0,24000,750,13417,10583,57dc334b323b7ebfc1f1b3b999497254926b68e01ef93002e878fbef2ec872b1
S-WORST-L-s45,latest_resume_segment,EXACT_RECONSTRUCTION_FROM_HASH_VERIFIED_PLAN_AND_COMPLETED_CURSOR,0,24000,750,13417,10583,57dc334b323b7ebfc1f1b3b999497254926b68e01ef93002e878fbef2ec872b1
