role,recipe,step,coverage,T2,T3,T4,T5,mean_delta_R1,min_delta_R1,artifact,mean_same_step_delta_C0
CAL,C0-H-s45,250,COMPLETE,0.35375484824180603,0.27594244480133057,0.2354133278131485,0.21766230463981628,-0.010268859565258026,-0.01587069034576416,evaluation/CAL/C0-H-s45/update=0250.json,0.0
CAL,C0-H-s45,750,COMPLETE,0.3342858552932739,0.280689001083374,0.22574535012245178,0.21675042808055878,-0.016594432294368744,-0.028336763381958008,evaluation/CAL/C0-H-s45/update=0750.json,0.0
CAL,S-BAL-H-s45,250,COMPLETE,0.34864190220832825,0.2776104509830475,0.239545077085495,0.22264978289604187,-0.008850287646055222,-0.014202684164047241,evaluation/CAL/S-BAL-H-s45/update=0250.json,0.0014185719192028046
CAL,S-BAL-H-s45,750,COMPLETE,0.327426016330719,0.27379339933395386,0.23528482019901276,0.20809350907802582,-0.019812654703855515,-0.03519660234451294,evaluation/CAL/S-BAL-H-s45/update=0750.json,-0.0032182224094867706
CAL,C0-L-s45,250,COMPLETE,0.3535640239715576,0.30249422788619995,0.2448398768901825,0.23554366827011108,0.003148358315229416,-0.009058594703674316,evaluation/CAL/C0-L-s45/update=0250.json,0.0
CAL,C0-L-s45,750,COMPLETE,0.3577871322631836,0.296448677778244,0.24584166705608368,0.2243504524230957,0.00014489144086837769,-0.00483548641204834,evaluation/CAL/C0-L-s45/update=0750.json,0.0
CAL,S-BAL-L-s45,250,COMPLETE,0.3629983365535736,0.29093214869499207,0.23279176652431488,0.2211921513080597,-0.003983490169048309,-0.013917461037635803,evaluation/CAL/S-BAL-L-s45/update=0250.json,-0.007131848484277725
CAL,S-BAL-L-s45,750,COMPLETE,0.3582857549190521,0.2945186495780945,0.2410450130701065,0.22247296571731567,-0.0018814951181411743,-0.005664214491844177,evaluation/CAL/S-BAL-L-s45/update=0750.json,-0.002026386559009552
