population_id,variant,checkpoint_sha256,training_seed,evaluation_seed,T,episode_count,identity_linker,policy,correct_recoveries,deployment_id_switches,fragmentation_count,fragmentation_opportunities,gap_opportunities,identity_transition_opportunities,merge_count,merge_opportunities,recovery_attempts,fragmentation_rate,gap_recovery_accuracy,gap_recovery_attempt_coverage,gap_recovery_recall,merge_rate,normalized_id_switch_rate,reference_count,master_count
development_common_h5_canonical,W-BASE,06f9e1e1efca088ffda2888a6eeaa4aa67830d2f3a5798dee0c6ebaca93ac8e6,45,45,2,47,lag1-route-then-class-iou-v1,lag1,0,142,142,317,0,317,0,175,0,0.4479495268138801,N/A,N/A,N/A,0.0,0.4479495268138801,8,47
development_common_h5_canonical,W-BASE,06f9e1e1efca088ffda2888a6eeaa4aa67830d2f3a5798dee0c6ebaca93ac8e6,45,45,3,47,lag1-route-then-class-iou-v1,lag1,0,272,265,652,10,634,1,388,7,0.40644171779141103,0.0,0.7,0.0,0.002577319587628866,0.42902208201892744,8,47
development_common_h5_canonical,W-BASE,06f9e1e1efca088ffda2888a6eeaa4aa67830d2f3a5798dee0c6ebaca93ac8e6,45,45,4,47,lag1-route-then-class-iou-v1,lag1,0,404,384,995,26,952,1,612,21,0.385929648241206,0.0,0.8076923076923077,0.0,0.0016339869281045752,0.42436974789915966,8,47
development_common_h5_canonical,W-BASE,06f9e1e1efca088ffda2888a6eeaa4aa67830d2f3a5798dee0c6ebaca93ac8e6,45,45,5,47,lag1-route-then-class-iou-v1,lag1,0,543,508,1344,42,1271,2,838,35,0.37797619047619047,0.0,0.8333333333333334,0.0,0.002386634844868735,0.42722265932336745,8,47
