method,history_strategy,horizon,t_mAP,t_REC,normalized_id_switch_rate,gap_recovery_recall,update_latency_ms,peak_allocated_vram_mib,historical_state_bytes,explicit_history_input_bytes,runtime_scope,task_metric_source,sequence_count
ReScene4D Full-History,expanding full-history perception,4,0.06899910420179367,0.18835905194282532,0.9780658025922233,0.003236245954692557,932.820695,3843.15478515625,,42864380,full-history perception,frozen_full_history_cache,129
ReScene4D Full-History,expanding full-history perception,5,0.045340124517679214,0.1365537792444229,0.977390180878553,0.0030581039755351682,1067.63340025,4964.0537109375,,58989016,full-history perception,frozen_full_history_cache,129
Full-History + Pairwise Feature,expanding full-history perception,4,0.06899910420179367,0.18835905194282532,0.14955134596211367,0.05825242718446602,932.820695,3843.15478515625,,42864380,full-history perception; tracker overhead excluded,frozen_full_history_cache,129
Full-History + Pairwise Feature,expanding full-history perception,5,0.045340124517679214,0.1365537792444229,0.14987080103359174,0.04892966360856269,1067.63340025,4964.0537109375,,58989016,full-history perception; tracker overhead excluded,frozen_full_history_cache,129
Full-History + Feature-Class,expanding full-history perception,4,0.06899910420179367,0.18835905194282532,0.1415752741774676,0.06472491909385113,932.820695,3843.15478515625,,42864380,full-history perception; tracker overhead excluded,frozen_full_history_cache,129
Full-History + Feature-Class,expanding full-history perception,5,0.045340124517679214,0.1365537792444229,0.14405684754521964,0.0581039755351682,1067.63340025,4964.0537109375,,58989016,full-history perception; tracker overhead excluded,frozen_full_history_cache,129
Full-History + EMA,expanding full-history perception,4,0.06899910420179367,0.18835905194282532,0.15952143569292124,0.10032362459546926,932.820695,3843.15478515625,,42864380,full-history perception; tracker overhead excluded,frozen_full_history_cache,129
Full-History + EMA,expanding full-history perception,5,0.045340124517679214,0.1365537792444229,0.1698966408268734,0.0871559633027523,1067.63340025,4964.0537109375,,58989016,full-history perception; tracker overhead excluded,frozen_full_history_cache,129
T2-to-T3 Horizon-Adapted Full-History + Feature-Class,expanding full-history perception,4,0.06991622596979141,0.18878377974033356,0.11665004985044865,0.06796116504854369,932.66141825,3646.3369140625,,42864380,full-history perception; tracker overhead excluded,adapted_checkpoint_cache,129
T2-to-T3 Horizon-Adapted Full-History + Feature-Class,expanding full-history perception,5,0.045370083302259445,0.13116542994976044,0.1303780964797914,0.0581039755351682,1068.22750125,4769.59619140625,,58989016,full-history perception; tracker overhead excluded,adapted_checkpoint_cache,129
Persist4D,bounded local window + persistent entity state,4,0.05956951901316643,0.13616830110549927,0.10349462365591398,0.2974137931034483,495.397782,2095.94384765625,61008,,complete Persist4D update,frozen_persist4d_cache,129
Persist4D,bounded local window + persistent entity state,5,0.04449684917926788,0.10665469616651535,0.11138491867915229,0.3119853613906679,440.4286995,2472.8935546875,61008,,complete Persist4D update,frozen_persist4d_cache,129
