phase,variant,update,T,t_mAP,checkpoint_sha256,policy,reducer,status
M2,FH-MATCH,0,2,0.5296375751495361,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,lag1,mean,PASS
M2,FH-MATCH,0,3,0.42401641607284546,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,lag1,mean,PASS
M2,FH-MATCH,0,4,0.3268585801124573,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,lag1,mean,PASS
M2,FH-MATCH,0,5,0.29086747765541077,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,lag1,mean,PASS
M2,FH-MATCH,750,2,0.5369858145713806,42c94da7bfa55f949cd9520201126afbe47223f6f3b5cc8660198e08ffc65c79,lag1,mean,PASS
M2,FH-MATCH,750,3,0.4445614218711853,42c94da7bfa55f949cd9520201126afbe47223f6f3b5cc8660198e08ffc65c79,lag1,mean,PASS
M2,FH-MATCH,750,4,0.35128253698349,42c94da7bfa55f949cd9520201126afbe47223f6f3b5cc8660198e08ffc65c79,lag1,mean,PASS
M2,FH-MATCH,750,5,0.29280754923820496,42c94da7bfa55f949cd9520201126afbe47223f6f3b5cc8660198e08ffc65c79,lag1,mean,PASS
M2,FH-MATCH,1500,2,0.5339897871017456,2f4f32ce94f1d915c939f237f9ede121c74898e2b2158a8db7ba487444422f4c,lag1,mean,PASS
M2,FH-MATCH,1500,3,0.4120625853538513,2f4f32ce94f1d915c939f237f9ede121c74898e2b2158a8db7ba487444422f4c,lag1,mean,PASS
M2,FH-MATCH,1500,4,0.348488450050354,2f4f32ce94f1d915c939f237f9ede121c74898e2b2158a8db7ba487444422f4c,lag1,mean,PASS
M2,FH-MATCH,1500,5,0.302923321723938,2f4f32ce94f1d915c939f237f9ede121c74898e2b2158a8db7ba487444422f4c,lag1,mean,PASS
M2,FH-MATCH,2250,2,0.5310380458831787,df3d63517c9602753c2ace6bcf94d39a6397cf126ec254a0499e484bd287e7e2,lag1,mean,PASS
M2,FH-MATCH,2250,3,0.4242059588432312,df3d63517c9602753c2ace6bcf94d39a6397cf126ec254a0499e484bd287e7e2,lag1,mean,PASS
M2,FH-MATCH,2250,4,0.3425254821777344,df3d63517c9602753c2ace6bcf94d39a6397cf126ec254a0499e484bd287e7e2,lag1,mean,PASS
M2,FH-MATCH,2250,5,0.3037921190261841,df3d63517c9602753c2ace6bcf94d39a6397cf126ec254a0499e484bd287e7e2,lag1,mean,PASS
M2,FH-MATCH,3000,2,0.5350268483161926,18cacf30403d0013a5a35d00c96ec485dcf92c114db2592fff17808b0f147d07,lag1,mean,PASS
M2,FH-MATCH,3000,3,0.4302995800971985,18cacf30403d0013a5a35d00c96ec485dcf92c114db2592fff17808b0f147d07,lag1,mean,PASS
M2,FH-MATCH,3000,4,0.3442195653915405,18cacf30403d0013a5a35d00c96ec485dcf92c114db2592fff17808b0f147d07,lag1,mean,PASS
M2,FH-MATCH,3000,5,0.2727476954460144,18cacf30403d0013a5a35d00c96ec485dcf92c114db2592fff17808b0f147d07,lag1,mean,PASS
M2,Q-INDEP,0,2,0.5296375751495361,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,lag1,mean,PASS
M2,Q-INDEP,0,3,0.47808149456977844,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,lag1,mean,PASS
M2,Q-INDEP,0,4,0.42532238364219666,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,lag1,mean,PASS
M2,Q-INDEP,0,5,0.37292709946632385,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,lag1,mean,PASS
M2,Q-INDEP,750,2,0.5378139019012451,d3a08be1b2e1dea59542d1d770c2a66b9089d63dbda29f6b77e40af1e14b2a1c,lag1,mean,PASS
M2,Q-INDEP,750,3,0.4360749423503876,d3a08be1b2e1dea59542d1d770c2a66b9089d63dbda29f6b77e40af1e14b2a1c,lag1,mean,PASS
M2,Q-INDEP,750,4,0.39376211166381836,d3a08be1b2e1dea59542d1d770c2a66b9089d63dbda29f6b77e40af1e14b2a1c,lag1,mean,PASS
M2,Q-INDEP,750,5,0.3696451187133789,d3a08be1b2e1dea59542d1d770c2a66b9089d63dbda29f6b77e40af1e14b2a1c,lag1,mean,PASS
M2,Q-INDEP,1500,2,0.5283279418945312,2b991f9f881f7bcb4414dba90974bd7879997442d797da8a8d2b98a95ff5a8dc,lag1,mean,PASS
M2,Q-INDEP,1500,3,0.4552399218082428,2b991f9f881f7bcb4414dba90974bd7879997442d797da8a8d2b98a95ff5a8dc,lag1,mean,PASS
M2,Q-INDEP,1500,4,0.3927398920059204,2b991f9f881f7bcb4414dba90974bd7879997442d797da8a8d2b98a95ff5a8dc,lag1,mean,PASS
M2,Q-INDEP,1500,5,0.3645731210708618,2b991f9f881f7bcb4414dba90974bd7879997442d797da8a8d2b98a95ff5a8dc,lag1,mean,PASS
M2,Q-INDEP,2250,2,0.5276443958282471,5a4599afc7a8fb41f1b6558d7e5a33edafb181d2524bf8123c99720efb52c5c1,lag1,mean,PASS
