variant,update,T,t_mAP,checkpoint_sha256,policy,reducer,status
M3-BASE-CONT,0,2,0.5340831875801086,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,lag1,mean,PASS
M3-BASE-CONT,0,3,0.4631370007991791,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,lag1,mean,PASS
M3-BASE-CONT,0,4,0.4179805517196655,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,lag1,mean,PASS
M3-BASE-CONT,0,5,0.39285242557525635,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,lag1,mean,PASS
M3-BASE-CONT,375,2,0.5331920981407166,31b6fe8e806049babdf593e3dcfb594aa40d2d3a64a48f3d73129a4b4662eb61,lag1,mean,PASS
M3-BASE-CONT,375,3,0.4662283658981323,31b6fe8e806049babdf593e3dcfb594aa40d2d3a64a48f3d73129a4b4662eb61,lag1,mean,PASS
M3-BASE-CONT,375,4,0.4055821895599365,31b6fe8e806049babdf593e3dcfb594aa40d2d3a64a48f3d73129a4b4662eb61,lag1,mean,PASS
M3-BASE-CONT,375,5,0.3698914647102356,31b6fe8e806049babdf593e3dcfb594aa40d2d3a64a48f3d73129a4b4662eb61,lag1,mean,PASS
M3-BASE-CONT,750,2,0.5326530933380127,a3b3510d97f90541de35dc84f644fb53659369f161d4706717e276d5b19190b3,lag1,mean,PASS
M3-BASE-CONT,750,3,0.4613848924636841,a3b3510d97f90541de35dc84f644fb53659369f161d4706717e276d5b19190b3,lag1,mean,PASS
M3-BASE-CONT,750,4,0.4189697504043579,a3b3510d97f90541de35dc84f644fb53659369f161d4706717e276d5b19190b3,lag1,mean,PASS
M3-BASE-CONT,750,5,0.3913079500198364,a3b3510d97f90541de35dc84f644fb53659369f161d4706717e276d5b19190b3,lag1,mean,PASS
M3-BASE-CONT,1125,2,0.52629554271698,2c040c9748ad07968a613995feb89bc49f62362bbab581f33d8b60d2d587e23f,lag1,mean,PASS
M3-BASE-CONT,1125,3,0.4359528720378876,2c040c9748ad07968a613995feb89bc49f62362bbab581f33d8b60d2d587e23f,lag1,mean,PASS
