variant,update,checkpoint_sha256,T2_t_mAP,T3_t_mAP,T4_t_mAP,T5_t_mAP,mean_t_mAP,delta_mean_vs_fh_match,delta_mean_vs_base_cont,delta_mean_vs_v_core,s_min_vs_fh_match,s_min_vs_base_cont,s_min_vs_v_core,s_min_over_controls,selection_rank,selected_by_prespecified_rule
FH-CONT,0,42c94da7bfa55f949cd9520201126afbe47223f6f3b5cc8660198e08ffc65c79,0.5369858145713806,0.4445614218711853,0.35128253698349,0.29280754923820496,0.4064093306660652,0.0,-0.0262736380101299,-0.0444093346595763,0.0,-0.0736071169376373,-0.0951654016971588,-0.0951654016971588,4,False
FH-CONT,375,877fbc4920eca67796a1a941aee291dfdc475be24818d603b530c8230d207724,0.5286858081817627,0.4320579171180725,0.3516983985900879,0.3009503483772278,0.4033481180667877,-0.0030612125992775,-0.0293348506094074,-0.0474705472588539,-0.0125035047531128,-0.0654643177986145,-0.087022602558136,-0.087022602558136,2,False
FH-CONT,750,8299d5ede23aaf0c1d238dc9365ac5626d27c4eecaf09ad806225d10424edba5,0.5290291905403137,0.41797149181365967,0.339846670627594,0.29911917448043823,0.3964916318655014,-0.0099176988005638,-0.0361913368101416,-0.0543270334601402,-0.0265899300575256,-0.067295491695404,-0.0888537764549255,-0.0888537764549255,3,False
FH-CONT,1125,7789e735a4c3bb5751e478a3e77fa0b6427664d2f01265f8d7310a9eff1b8578,0.5375716686248779,0.43754997849464417,0.34578144550323486,0.27610331773757935,0.3992516025900841,-0.0071577280759811,-0.0334313660855589,-0.0515670627355575,-0.0167042315006256,-0.0903113484382629,-0.1118696331977844,-0.1118696331977844,5,False
FH-CONT,1500,6672569c9524d38a0f932c9d8351d6606b9b26a574236a59d4799f225178d4f5,0.5320965051651001,0.4353124797344208,0.35235118865966797,0.30902066826820374,0.40719521045684814,0.0007858797907829,-0.0254877582192421,-0.0436234548687935,-0.0092489421367645,-0.0573939979076385,-0.0789522826671601,-0.0789522826671601,1,True
