variant,update,checkpoint_sha256,T2_t_mAP,T3_t_mAP,T4_t_mAP,T5_t_mAP,mean_t_mAP,delta_mean_vs_base_cont,delta_mean_vs_v_last,s_min_vs_base_cont,s_min_vs_v_last,s_min_over_controls,selection_rank,selected_by_prespecified_rule
M3-V-LAST,0,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,0.534083187580109,0.463137000799179,0.417980551719666,0.392852425575256,0.452013291418553,0.0,0.0,0.0,0.0,0.0,4,False
M3-V-LAST,375,2cd81e5eaa6767f2c26dfd6da5fef91e2a0b63eee118c0f61f1f10b9473018ae,0.532797873020172,0.453829437494278,0.388643026351929,0.352834582328796,0.432026229798794,-0.011697299778462,0.0,-0.01705688238144,0.0,-0.01705688238144,9,False
M3-V-LAST,750,1f0a61f436854292992e694ac05c60ad9aaf8b3cfd040452285d16d79d9f44ab,0.525489330291748,0.455855786800385,0.41106504201889,0.387371987104416,0.44494553655386,-0.006133385002613,0.0,-0.007904708385468,0.0,-0.007904708385468,7,False
M3-V-LAST,1125,2f81237ed5dffe879c7eb17d06e7d8f9bced1e8ffb7fdc2895ddb67bd37209cd,0.531400382518768,0.452974736690521,0.399648606777191,0.373734593391418,0.439439579844475,0.010936811566353,0.0,0.005104839801788,0.0,0.0,2,False
M3-V-LAST,1500,17fbb1abc272e745d8189007d665586fd58cc32cff0439185bf8760bfa917aed,0.525310695171356,0.438490003347397,0.387223035097122,0.352140337228775,0.425791017711163,-0.006891950964927,0.0,-0.014274328947067,0.0,-0.014274328947067,8,False
M3-V-CORE,0,a75c3e28b2fa3895414f1c1a1e35b1a9ca8d65ac5cc03e96e609e99511ef2b06,0.534083187580109,0.463137000799179,0.417980551719666,0.392852425575256,0.452013291418553,0.0,0.0,0.0,0.0,0.0,3,False
M3-V-CORE,375,8f506e2b77256284e025b544ffda6b6926cd9711704d48505c267237a8944aad,0.532211542129517,0.442545771598816,0.398484110832214,0.37661424279213,0.437463916838169,-0.006259612739087,0.005437687039375,-0.023682594299316,-0.011283665895462,-0.023682594299316,10,False
M3-V-CORE,750,00d1cc4d073b76b9a02f72ddfea0b67730251569b31ec95330722873ad375ecb,0.530175745487213,0.463356286287308,0.422144681215286,0.403373926877975,0.454762659966946,0.003683738410473,0.009817123413086,-0.0024773478508,0.004686415195465,-0.0024773478508,5,False
M3-V-CORE,1125,2c214133927d768ad2acb9f3437792253f3c163616c15df0cb10882af448649c,0.528053998947144,0.468987822532654,0.408795535564423,0.387267231941223,0.448276147246361,0.019773378968239,0.008836567401886,0.001758456230164,-0.003346383571624,-0.003346383571624,6,False
M3-V-CORE,1500,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,0.531322538852692,0.468106150627136,0.415873020887375,0.387972950935364,0.450818665325642,0.018135696649552,0.025027647614479,0.00489354133606,0.006011843681336,0.00489354133606,1,True
