master_sequence_id,reference_scene_id,order_id,history_scan_ids,candidate_count_full,candidate_count_local,masks_equal,classes_equal,score_max_abs_diff,scores_allclose,full_current_stage_AP,local_current_stage_AP,AP_abs_diff,parity_pass,raw_observation_fingerprint,sidecar_content_sha256,full_history_content_sha256,fresh_raw_content_sha256,frozen_v1_raw_content_sha256,frozen_v1_raw_reproduced,frozen_v1_full_history_content_sha256,frozen_v1_full_history_reproduced
scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,10b17940-3938-2467-8a7a-958300ba83d3,reverse,"[""scene0069_05"",""scene0069_09""]",100,100,True,True,0.0,True,0.7023809552192688,0.7023809552192688,0.0,True,20475bbb7145d96d21d40fa56abc6aee8cac8a12c9c674d8089647c6aaeb6731,f0f1411f9b509e15e491d6ea6bcc490e23d4477111f2ec90f840edfe0ce7a924,de36e5444dfb74353f1c198e1b4ba3e294cbe68ed06ae545ed3604b71d359af1,97015ce87f26ea743f3b1391cb91ddfc1d9f7c3379815aa8dfd40e552f041d00,be103271b19218aa8e1a79468272e28272871ea30ed17cb3d750c676dc24b5a7,False,d51d2cdcc7f60c7760e9e20df72b42468362a6576a7582f1d1e5f4e151d875cb,False
scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,"[""scene0069_01"",""scene0069_03""]",100,100,True,True,0.0,True,0.5385802388191223,0.5385802388191223,0.0,True,8020a49d323be495c301b485a064a3a722f4aff8aeb3fceba3fcb064049ac561,1c2fa861ee2354326918902f8613c18eb5d32f3b126593338569ba774938ce12,5cd43bca07ef5ec74b5c5b0d7cde52fac0155f86c4b19f950d4db407cf740b93,a164e3871fe12dc463392cf87cfcc3dc8ee9883770fd6a35a5234ec948ef1b72,9e1f08e534abcd43210d8658a5a7d583222b880d947fd94fd56352112a38c0a5,False,2e08128cc248509785fee364af9dfe6d8a179c38641b8fdbdfd59fe6f093ee54,False
scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,10b17940-3938-2467-8a7a-958300ba83d3,canonical,"[""scene0069_04"",""scene0069_03""]",100,100,True,True,0.0,True,0.5509259104728699,0.5509259104728699,0.0,True,82cc7192fa56da95d823d13722dd64362e6906de00fc6b56c5d40f51c030b0cd,66cda053676be0acb9eb23d602a0c1184bafe78f8366ab13bc4d7a5b9073407b,e7852ba4673b1efe03a55c8e6c989b7853ae1ff838677390e13832053cc41216,f648334d55b6c5d6329950b49986a9fa6fd195c945164f1d40293bd4cdb8a238,3c8f171d14e8389d4afbc23ed5a2cae848526f4143c04ceedc518164f04d56c8,False,3f015c0448c72c93df0ef43874a4dfa71364f8938f548a10858135603b7741ce,False
scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,10b17940-3938-2467-8a7a-958300ba83d3,reverse,"[""scene0069_09"",""scene0069_06""]",100,100,True,True,0.0,True,0.8938271999359131,0.8938271999359131,0.0,True,15d72fe1f902ef1d686217d6e7992ccbdf4679de3c2c701c49fde70772baae7f,56aa9e5cbec763f00d61d93a4b647c523cbfc40a99a91a8356b994ce446dadb7,be2ce381d219e9cfc18df643bb50d614225290de1e9b5d89f7fb2560ccc5a425,77651e10d2a3db69e759d26c564a58d80d71554a809eba9062f8c5ff63272677,b31a9f2361438592970df31e5d831d049270274ae32826cfbc417634bf885d4c,False,42d8c19cd452ed87974ad6d9cbc08965922de113591dd457345bd60e7451cdf2,False
scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,"[""scene0069_01"",""scene0069_04""]",100,100,True,True,0.0,True,0.6366842985153198,0.6366842985153198,0.0,True,7c5368a4ebca28d859d7586aab1534c714e70fbc2c3dae16a663c057a465972b,c44efb2b8575b9d8008c714548c53bb9bd86ef96ba5875593746d5a1c94fa70c,444e3b63ad112fc5f58c63144cba89e3088282c1a2ac4fc2a94b189efeedcef9,66061bd2f2711af0d62d34a9cd678d18e88830db72ab6d6619d5c65935f3a2b2,fdbc832c12ef62d4bc85b5fece1bb3de19d4bcd3f4e8e42fb76b59cc73f8f7c4,False,754095685f68ec0ed7ae96959aa0660ed6cab366f40bab134d17a5124ecb9f6a,False
scene0069_05-scene0069_08-scene0069_07-scene0069_00-scene0069_02,10b17940-3938-2467-8a7a-958300ba83d3,canonical,"[""scene0069_05"",""scene0069_08""]",100,100,True,True,0.0,True,0.5555555820465088,0.5555555820465088,0.0,True,0330a75c562bd8c00887f05b93e9d0aa5b8ee1b8df34aa5247dd2fe77b214ac9,4c40ef463536ee083cdf2dbdbbdc2affbd268e564f37528a49839669c6eb6e61,fad0928e05f94660b833e66364773b518c88f44497953a55f3e7a224e4925678,584878aed34e90b4f28d707ed68aa55b49a0528a994f083f50cf86321e735efd,08dfb99c8b5b3116cb33bc1095cb3bd00c577c019cbc7b1a61f3b983500e4b03,False,90f7b477e24868ebf8eee7a7fa3848b670610e90f3612ff4f9b0caeda07df312,False
scene0069_05-scene0069_08-scene0069_07-scene0069_00-scene0069_02,10b17940-3938-2467-8a7a-958300ba83d3,reverse,"[""scene0069_02"",""scene0069_00""]",100,100,True,True,0.0,True,0.5708848237991333,0.5708848237991333,0.0,True,e3ea71a238d721a94c4832612bb6e86dc041450ab9853dd7e4965be3c1f96095,976b4cadd426a0efc86c33f2703c95f5b42cd95ac09e04b7150ffdaa7bf5bb74,645a89abd514607a417511d65f245dcd579d75699bc77c2d553974a9fa0d67e8,d88fe2c183009ee4b4ab0c940ad9cb50aa9faf4be08275a74ef3126367df6c81,931a2430168de90ff26328fd25c2df3e53b9debc875783a38c289cfd4401dbd0,False,a5c22ca72bdc79e6a91b8d0bb0fe3675f0bccdd48a33a13eeeea6b406bdaf8f1,False
scene0069_05-scene0069_08-scene0069_07-scene0069_00-scene0069_02,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,"[""scene0069_08"",""scene0069_00""]",100,100,True,True,0.0,True,0.5900205373764038,0.5900205373764038,0.0,True,9eed308be8a7e7c7f4170da78a4f8650052dd5b661ed28245d872ac35f7efca4,ea0ca5ffe636e1ad3e91f95319dc0357200edef458ddcb5d36979ebcdc896f1a,e092c7dd081c68f8dabc733f68ec4e8b6c69d99022eeab763bc972c4394bccea,911c991d6c61a062521a1e887427b5de3a2d521e11cf4d35e9471c8aee9aef9d,86874497ea1cb18dd3726ba3b77127836b919280dbf9a88c1b450872c3f30364,False,52585a2b9daefcbe112e430131f61c915a8f512415948b4a22588390113e77fb,False
scene0069_06-scene0069_09-scene0069_05-scene0069_08-scene0069_07,10b17940-3938-2467-8a7a-958300ba83d3,canonical,"[""scene0069_06"",""scene0069_09""]",100,100,True,True,0.0,True,0.7519841194152832,0.7519841194152832,0.0,True,bca4a8a76585f5ec0f4c2f329844472cf4dbe05645670a63406525c5a5ca9fc1,f2a40c388c577c1a11ff7bd07a2ef12a5dbbe0dd99aad1bb106c2919280f0f67,9994fe5c852d48bcd7bc9b5dd20e3670a8156aec71949e2e74ce32861738996c,50013fd49ce6ff1dd0317cc0ca28b20346635f12fd12082e6f12dd5e5b260aed,c33652d200e59546f90accd54c4a895d3295d2f45174615aad70033ddc809ad1,False,ffac79214fb70f62ae24faec3a630584ba9fec05c30355aabcce69794cacb31e,False
scene0069_06-scene0069_09-scene0069_05-scene0069_08-scene0069_07,10b17940-3938-2467-8a7a-958300ba83d3,reverse,"[""scene0069_07"",""scene0069_08""]",100,100,True,True,0.0,True,0.5714285969734192,0.5714285969734192,0.0,True,359da4461309de76d62595c95bb64715f2e9e0763aa662d401475a0888cd810e,8f321230498b7aa68d298660ca429c0e87d0e3ec3c43b1de0aa6dba42b0427f4,a7f7bb86adcceab095bd0a690e2038dab14bcc5923050220eca0388ef625963c,c9c3925c71105a01dcef4d60c40aa41624bb2df12fa9ab8a9b43c65efe33a0e0,f713252a280655ce30d9dcf3204843699388c8533c7f19c9c5382816890d0322,False,435ab353875842fbd25db2a005a887e4d84091dbc87de2f3a3b393c9af953a6b,False
