file_name,decoder_prediction_layer,query_id,gt_instance_id,match_iou,gt_point_count,allowed_gt_fraction,masked_gt_fraction,post_sample_all_masked_reset_count,post_sample_query_count,post_sample_reset_fraction
scene0003_00-scene0003_03,8,25,2,0.8424835205078125,4907,0.8599959241899328,0.14000407581006724,7,100,0.07
scene0003_00-scene0003_03,8,29,7,0.8868940472602844,2228,0.8868940754039497,0.11310592459605029,7,100,0.07
scene0003_00-scene0003_03,8,36,6,1.0,819,1.0,0.0,7,100,0.07
scene0003_00-scene0003_03,8,40,4,0.9545854330062866,3284,0.9920828258221681,0.007917174177831887,7,100,0.07
scene0003_00-scene0003_03,8,52,3,0.8682157397270203,5440,0.9615808823529411,0.038419117647058854,7,100,0.07
scene0003_00-scene0003_03,9,29,7,0.8868940472602844,2228,0.8868940754039497,0.11310592459605029,3,100,0.03
scene0003_00-scene0003_03,9,36,6,1.0,819,1.0,0.0,3,100,0.03
scene0003_00-scene0003_03,9,52,3,0.8372464179992676,5440,0.9636029411764706,0.036397058823529393,3,100,0.03
scene0003_00-scene0003_03,9,53,4,0.9545854330062866,3284,0.9920828258221681,0.007917174177831887,3,100,0.03
scene0003_00-scene0003_03,9,58,2,0.7879604697227478,4907,0.8936213572447524,0.10637864275524755,3,100,0.03
scene0003_00-scene0003_03,9,84,5,0.9863995909690857,8071,0.9884772642795193,0.011522735720480681,3,100,0.03
scene0003_00-scene0003_03,10,29,7,0.8343806266784668,2228,0.8343806104129264,0.16561938958707356,2,100,0.02
scene0003_00-scene0003_03,10,36,6,1.0,819,1.0,0.0,2,100,0.02
scene0003_00-scene0003_03,10,40,4,0.9437444806098938,3284,0.980816077953715,0.01918392204628505,2,100,0.02
scene0003_00-scene0003_03,10,52,3,0.58977210521698,5440,0.9751838235294118,0.024816176470588203,2,100,0.02
scene0003_00-scene0003_03,10,84,5,0.975739598274231,8071,0.9767067277908561,0.0232932722091439,2,100,0.02
scene0003_00-scene0003_03,10,91,2,0.732397198677063,4907,0.7440391277766456,0.2559608722233544,2,100,0.02
scene0003_00-scene0003_03,11,0,6,1.0,819,1.0,0.0,3,100,0.03
scene0003_00-scene0003_03,11,29,7,0.8797863125801086,2228,0.8868940754039497,0.11310592459605029,3,100,0.03
scene0003_00-scene0003_03,11,37,4,0.9495872855186462,3284,0.980816077953715,0.01918392204628505,3,100,0.03
scene0003_00-scene0003_03,11,44,3,0.5603817105293274,5440,0.9391544117647059,0.06084558823529407,3,100,0.03
scene0003_00-scene0003_03,11,47,5,0.9529178738594055,8071,0.9529178540453476,0.04708214595465243,3,100,0.03
scene0003_00-scene0003_03,11,58,2,0.8125625252723694,4907,0.8277970246586509,0.1722029753413491,3,100,0.03
scene0003_01-scene0003_02,0,0,2,0.0,5221,0.0,1.0,100,100,1.0
scene0003_01-scene0003_02,0,1,3,0.0,5328,0.0,1.0,100,100,1.0
scene0003_01-scene0003_02,0,2,4,0.0,3971,0.0,1.0,100,100,1.0
scene0003_01-scene0003_02,0,3,5,0.0,11289,0.0,1.0,100,100,1.0
scene0003_01-scene0003_02,0,4,6,0.0,809,0.0,1.0,100,100,1.0
scene0003_01-scene0003_02,0,5,7,0.0,2200,0.0,1.0,100,100,1.0
scene0003_01-scene0003_02,0,6,12,0.0,477,0.0,1.0,100,100,1.0
scene0003_01-scene0003_02,1,13,3,0.5480619072914124,5328,0.5917792792792793,0.4082207207207207,28,100,0.28
scene0003_01-scene0003_02,1,15,5,0.9395130276679993,11289,0.9741341128532199,0.025865887146780064,28,100,0.28
scene0003_01-scene0003_02,1,30,6,0.8899876475334167,809,0.8899876390605687,0.11001236093943134,28,100,0.28
scene0003_01-scene0003_02,1,41,4,0.8577006459236145,3971,0.9957189624779652,0.004281037522034792,28,100,0.28
scene0003_01-scene0003_02,1,54,12,0.6833810806274414,477,1.0,0.0,28,100,0.28
scene0003_01-scene0003_02,1,95,2,0.2690659761428833,5221,0.541275617697759,0.458724382302241,28,100,0.28
scene0003_01-scene0003_02,1,96,7,0.6866820454597473,2200,0.8109090909090909,0.1890909090909091,28,100,0.28
scene0003_01-scene0003_02,2,30,6,0.993819534778595,809,0.9938195302843016,0.006180469715698411,30,100,0.3
scene0003_01-scene0003_02,2,54,12,0.42212387919425964,477,1.0,0.0,30,100,0.3
scene0003_01-scene0003_02,2,67,2,0.4307779371738434,5221,0.43803868990614825,0.5619613100938518,30,100,0.3
scene0003_01-scene0003_02,2,69,3,0.6849648356437683,5328,0.9508258258258259,0.049174174174174134,30,100,0.3
scene0003_01-scene0003_02,2,87,5,0.9163286685943604,11289,0.920630702453716,0.07936929754628397,30,100,0.3
scene0003_01-scene0003_02,2,95,4,0.8767184019088745,3971,0.9957189624779652,0.004281037522034792,30,100,0.3
