file_name,gt_instance_id,gt_label,size_points,size_bin,segments_per_gt,within_instance_feature_variance,nearest_instance_cosine_margin,mean_segment_purity,mean_gt_instances_per_segment
scene0009_01-scene0009_00,28,0,1774,large_ge1000,63,0.013353582471609116,0.008732616901397705,1.0,1.0
scene0009_01-scene0009_00,31,2,1154,large_ge1000,63,0.2612966001033783,0.0685393214225769,1.0,1.0
scene0009_01-scene0009_00,32,2,1192,large_ge1000,81,0.1877782642841339,0.013414859771728516,1.0,1.0
scene0009_01-scene0009_00,33,2,1289,large_ge1000,75,0.053350742906332016,0.013414859771728516,1.0,1.0
scene0009_01-scene0009_00,34,2,1415,large_ge1000,63,0.08998986333608627,0.0685393214225769,1.0,1.0
scene0009_01-scene0009_00,35,4,2697,large_ge1000,83,0.034403398633003235,0.19324332475662231,0.9999999403953552,0.9999999403953552
scene0009_01-scene0009_00,39,17,5412,large_ge1000,316,0.03656140714883804,0.7861250340938568,1.0,1.0
scene0009_02-scene0009_03,3,5,999,medium_100_999,55,0.025952249765396118,0.40283215045928955,0.9999999403953552,0.9999999403953552
scene0009_02-scene0009_03,6,12,2200,large_ge1000,75,0.17292611300945282,0.2285822033882141,1.0,1.0
scene0009_02-scene0009_03,11,0,5485,large_ge1000,315,0.07343783974647522,0.16189926862716675,1.0,1.0
scene0009_02-scene0009_03,13,15,2504,large_ge1000,207,0.05324805900454521,0.16189926862716675,1.0,1.0
scene0009_02-scene0009_03,17,17,565,medium_100_999,24,0.02664690464735031,0.030643880367279053,1.0,1.0
scene0009_02-scene0009_03,23,17,3259,large_ge1000,324,0.016813453286886215,0.2847910523414612,1.0,1.0
scene0009_02-scene0009_03,24,11,4535,large_ge1000,190,0.03853054344654083,0.2021731734275818,1.0,1.0
scene0009_02-scene0009_03,28,0,2359,large_ge1000,91,0.010195908136665821,0.030643880367279053,1.0,1.0
scene0009_02-scene0009_03,31,2,1680,large_ge1000,182,0.041631925851106644,0.11887407302856445,1.0,1.0
scene0009_02-scene0009_03,32,2,1635,large_ge1000,103,0.050595059990882874,0.2010001540184021,1.0,1.0
scene0009_02-scene0009_03,33,2,1243,large_ge1000,64,0.005405351519584656,0.2010001540184021,1.0,1.0
scene0009_02-scene0009_03,34,2,1280,large_ge1000,44,0.04967852309346199,0.11887407302856445,1.0,1.0
scene0009_02-scene0009_03,35,4,2903,large_ge1000,106,0.008607649244368076,0.2779664397239685,1.0,1.0
scene0009_02-scene0009_03,39,17,5617,large_ge1000,334,0.014732935465872288,0.8332261145114899,1.0,1.0
scene0009_03-scene0009_01,3,5,962,medium_100_999,54,0.03125576302409172,0.26309341192245483,1.0,1.0
scene0009_03-scene0009_01,6,12,2546,large_ge1000,117,0.06705642491579056,0.26309341192245483,1.0,1.0
scene0009_03-scene0009_01,11,0,5272,large_ge1000,272,0.14915268123149872,0.19083696603775024,1.0,1.0
scene0009_03-scene0009_01,13,15,2663,large_ge1000,214,0.034734778106212616,0.19083696603775024,0.9999999403953552,0.9999999403953552
scene0009_03-scene0009_01,17,17,508,medium_100_999,25,0.03756660223007202,0.018913328647613525,1.0,1.0
scene0009_03-scene0009_01,23,17,3044,large_ge1000,285,0.0028574054595083,0.3612534999847412,1.0,1.0
scene0009_03-scene0009_01,24,11,4526,large_ge1000,182,0.01012533437460661,0.21851003170013428,1.0,1.0
scene0009_03-scene0009_01,28,0,2062,large_ge1000,79,0.003468688577413559,0.018913328647613525,1.0,1.0
scene0009_03-scene0009_01,31,2,1533,large_ge1000,115,0.14404496550559998,0.12700790166854858,0.9999999403953552,0.9999999403953552
scene0009_03-scene0009_01,32,2,1263,large_ge1000,63,0.06851006299257278,0.12700790166854858,1.0,1.0
scene0009_03-scene0009_01,33,2,1030,large_ge1000,48,0.009455340914428234,0.20327740907669067,1.0,1.0
scene0009_03-scene0009_01,34,2,1417,large_ge1000,54,0.09267454594373703,0.1712186336517334,1.0,1.0
scene0009_03-scene0009_01,35,4,2454,large_ge1000,68,0.01808701641857624,0.2684125304222107,1.0,1.0
scene0009_03-scene0009_01,39,17,5579,large_ge1000,327,0.015656620264053345,0.8650475740432739,1.0,1.0
scene0019_00-scene0019_02,2,4,184,medium_100_999,8,0.0013503747759386897,0.004845261573791504,1.0,1.0
scene0019_00-scene0019_02,3,4,365,medium_100_999,24,0.002010172698646784,0.004845261573791504,1.0,1.0
scene0019_00-scene0019_02,4,4,316,medium_100_999,24,0.008497714065015316,0.02548956871032715,1.0,1.0
scene0019_00-scene0019_02,5,4,338,medium_100_999,29,0.020358145236968994,0.05490446090698242,1.0,1.0
scene0019_00-scene0019_02,6,4,370,medium_100_999,18,0.045281972736120224,0.05490446090698242,1.0,1.0
scene0019_00-scene0019_02,7,4,410,medium_100_999,14,0.017092037945985794,0.15471148490905762,1.0,1.0
scene0019_00-scene0019_02,8,2,263,medium_100_999,12,0.00871341023594141,0.030638515949249268,1.0,1.0
scene0019_00-scene0019_02,9,2,564,medium_100_999,36,0.008176786825060844,0.010062694549560547,1.0,1.0
scene0019_00-scene0019_02,10,2,450,medium_100_999,32,0.010721149854362011,0.010062694549560547,1.0,1.0
scene0019_00-scene0019_02,11,2,442,medium_100_999,33,0.011618540622293949,0.05085533857345581,1.0,1.0
scene0019_00-scene0019_02,12,2,715,medium_100_999,52,0.020626965910196304,0.05085533857345581,1.0,1.0
scene0019_00-scene0019_02,13,2,673,medium_100_999,48,0.026149047538638115,0.15471148490905762,1.0,1.0
scene0019_00-scene0019_02,14,2,356,medium_100_999,14,0.0037797174882143736,0.03106158971786499,1.0,1.0
scene0019_00-scene0019_02,15,2,324,medium_100_999,20,0.0016185861313715577,0.03106158971786499,1.0,1.0
scene0019_00-scene0019_02,16,2,406,medium_100_999,20,0.00341792032122612,0.011473417282104492,1.0,1.0
scene0019_00-scene0019_02,17,2,475,medium_100_999,45,0.0310450978577137,0.011473417282104492,1.0,1.0
scene0019_00-scene0019_02,18,2,369,medium_100_999,20,0.038396529853343964,0.14506757259368896,1.0,1.0
scene0019_00-scene0019_02,19,2,439,medium_100_999,29,0.15154175460338593,0.23474115133285522,1.0,1.0
scene0019_00-scene0019_02,20,6,3684,large_ge1000,288,0.22759945690631866,0.05736058950424194,1.0,1.0
