completed_epoch,optimizer_step,train_log_step,t_mAP,t_mAP50,t_mAP25,overall_mAP,stage1_mAP,stage2_mAP,SpatialStageMean,metrics_csv_sha256
15,990,989,0.02066759206354618,0.039038319140672684,0.09855683892965317,0.027448035776615143,0.031088510528206825,0.032142672687768936,0.03161559160798788,93b9ad99eb79e561150c3a353468012bc6890dae02b739866cc90b66cfe5fc1f
30,1980,1979,0.11837983131408691,0.20807543396949768,0.37201395630836487,0.15275752544403076,0.1669318526983261,0.16477033495903015,0.16585109382867813,93b9ad99eb79e561150c3a353468012bc6890dae02b739866cc90b66cfe5fc1f
45,2970,2969,0.17987871170043945,0.3508189916610718,0.5421984195709229,0.24711182713508606,0.27047374844551086,0.26827704906463623,0.26937539875507355,93b9ad99eb79e561150c3a353468012bc6890dae02b739866cc90b66cfe5fc1f
60,3960,3959,0.20355980098247528,0.3817802667617798,0.5649477243423462,0.2794019877910614,0.3186773359775543,0.3086099326610565,0.3136436343193054,93b9ad99eb79e561150c3a353468012bc6890dae02b739866cc90b66cfe5fc1f
75,4950,4949,0.21792583167552948,0.40792766213417053,0.6314916014671326,0.3098265528678894,0.33368635177612305,0.34234803915023804,0.33801719546318054,93b9ad99eb79e561150c3a353468012bc6890dae02b739866cc90b66cfe5fc1f
90,5940,5939,0.24105149507522583,0.4361304044723511,0.6501442790031433,0.3407679498195648,0.3768821656703949,0.3689357340335846,0.37290894985198975,93b9ad99eb79e561150c3a353468012bc6890dae02b739866cc90b66cfe5fc1f
105,6930,6929,0.2527464032173157,0.4439430236816406,0.6742915511131287,0.3333708345890045,0.3732459545135498,0.3824608325958252,0.3778533935546875,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
120,7920,7919,0.2273656576871872,0.39407211542129517,0.6045277714729309,0.29851818084716797,0.3344584107398987,0.3392021656036377,0.3368302881717682,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
135,8910,8909,0.23609669506549835,0.44150370359420776,0.611337423324585,0.303274929523468,0.3495766222476959,0.3497787415981293,0.3496776819229126,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
150,9900,9899,0.24612389504909515,0.45060423016548157,0.620324432849884,0.33928707242012024,0.37764623761177063,0.3795824944972992,0.3786143660545349,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
165,10890,10889,0.27404290437698364,0.47224870324134827,0.63546222448349,0.3629477024078369,0.39944392442703247,0.40172916650772095,0.4005865454673767,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
180,11880,11879,0.22490708529949188,0.41589266061782837,0.6118435263633728,0.31510651111602783,0.34415775537490845,0.3491116762161255,0.34663471579551697,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
195,12870,12869,0.23178738355636597,0.40227243304252625,0.6135923862457275,0.32074040174484253,0.35791081190109253,0.3618922829627991,0.3599015474319458,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
210,13860,13859,0.2617242932319641,0.4820120632648468,0.6514790654182434,0.3493202328681946,0.39728519320487976,0.40029779076576233,0.39879149198532104,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
225,14850,14849,0.25289252400398254,0.44305992126464844,0.6371204257011414,0.33712515234947205,0.3705708384513855,0.3857467770576477,0.3781588077545166,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
240,15840,15839,0.24930855631828308,0.4669075608253479,0.6434818506240845,0.335658460855484,0.37994781136512756,0.37539875507354736,0.37767328321933746,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
255,16830,16829,0.27494049072265625,0.4767233431339264,0.6569295525550842,0.3597560524940491,0.40510380268096924,0.40400969982147217,0.4045567512512207,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
270,17820,17819,0.2666545808315277,0.4737098515033722,0.6571223735809326,0.35334527492523193,0.3915473222732544,0.3825908899307251,0.38706910610198975,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
285,18810,18809,0.2773112654685974,0.47662708163261414,0.6511462330818176,0.3712694048881531,0.4078882336616516,0.4061819911003113,0.40703511238098145,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
300,19800,19799,0.2892940640449524,0.5031686425209045,0.6621106863021851,0.3641130328178406,0.4007751941680908,0.4104123115539551,0.40559375286102295,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
315,20790,20789,0.28824517130851746,0.4922017455101013,0.6625453233718872,0.36895281076431274,0.4187270700931549,0.41410648822784424,0.4164167791604996,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
330,21780,21779,0.29145359992980957,0.49417388439178467,0.646571934223175,0.37761032581329346,0.4225076138973236,0.4267536699771881,0.42463064193725586,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
345,22770,22769,0.28454920649528503,0.49400582909584045,0.659363865852356,0.37076857686042786,0.4078444838523865,0.41512057185173035,0.4114825278520584,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
360,23760,23759,0.29829680919647217,0.49096521735191345,0.6507284641265869,0.3890456259250641,0.4234022796154022,0.4310038983821869,0.42720308899879456,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
375,24750,24749,0.2979409098625183,0.48095449805259705,0.6641128063201904,0.39761897921562195,0.43715041875839233,0.43804511427879333,0.43759776651859283,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
390,25740,25739,0.3045586943626404,0.49662309885025024,0.6597127914428711,0.39503586292266846,0.4492528438568115,0.4335077404975891,0.4413802921772003,9343a4cc8fcfc5486c029314bdb5ca9425703db85201fc6b70997c51855394ee
405,26730,26729,0.30286234617233276,0.5054998993873596,0.6646950244903564,0.3925078511238098,0.4365822672843933,0.42899972200393677,0.43279099464416504,bde760158974b791f17eda0ecf23e605a609f0b6d1bae8ab6ac56d825ad5f49e
420,27720,27719,0.2951582372188568,0.5023366212844849,0.6629049777984619,0.38431575894355774,0.43118831515312195,0.4240599274635315,0.4276241213083267,bde760158974b791f17eda0ecf23e605a609f0b6d1bae8ab6ac56d825ad5f49e
435,28710,28709,0.3037806749343872,0.4978049695491791,0.6517008543014526,0.39899539947509766,0.43504810333251953,0.44777584075927734,0.44141197204589844,bde760158974b791f17eda0ecf23e605a609f0b6d1bae8ab6ac56d825ad5f49e
450,29700,29699,0.29681843519210815,0.48441559076309204,0.647147536277771,0.38578903675079346,0.4371980130672455,0.4377475380897522,0.43747277557849884,bde760158974b791f17eda0ecf23e605a609f0b6d1bae8ab6ac56d825ad5f49e
