model,seed,t_mAP,t_mAP50,t_mAP25,overall_mAP,stage1_mAP,stage2_mAP,SpatialStageMean,paired_spatial_delta,checkpoint_sha256
frozen_concerto_reimplementation,45,0.29230308532714844,0.4707374572753906,0.6036183834075928,0.3762231171131134,0.425308495759964,0.4372425675392151,0.43127553164958954,0.0,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e
frozen_concerto_reimplementation,46,0.27339860796928406,0.44220438599586487,0.5772802829742432,0.3646540641784668,0.4164210259914398,0.4282348155975342,0.422327920794487,0.0,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e
frozen_concerto_reimplementation,47,0.2830008566379547,0.45313337445259094,0.5914425849914551,0.36850374937057495,0.41924235224723816,0.4263458251953125,0.42279408872127533,0.0,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e
rootcause_full_R1,45,0.30928727984428406,0.5043181777000427,0.6625144481658936,0.39547428488731384,0.42763444781303406,0.44518744945526123,0.43641094863414764,0.0051354169845581055,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd
rootcause_full_R1,46,0.31379371881484985,0.5001215934753418,0.66263747215271,0.38942477107048035,0.4346705377101898,0.4424186944961548,0.4385446161031723,0.016216695308685303,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd
rootcause_full_R1,47,0.3088170886039734,0.49865373969078064,0.668796956539154,0.40412044525146484,0.44197750091552734,0.44796568155288696,0.44497159123420715,0.022177502512931824,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd
