filename,role,sha256,bytes,completed_epoch,selected_step,selection_metric_exact,selection_metric_filename_rounded,state_dict_entry_count,optimizer_state_count,scheduler_state_count
epoch=389-val_mean_t-AP=0.305.ckpt,best_validation,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,754813672,390,25740,0.3045586943626404,0.305,798,1,1
epoch=450.ckpt,exact_full_boundary,d6fcae9682c6b3af3472671d6e0871240c10a0f86b529f4c31d69ae9f5ad2cbb,754813672,450,29700,,,798,1,1
