population_id,source_commit,checkpoint_sha256,base_cache_manifest_sha256,observation_manifest_sha256,method,episode_count,stage_count,valid_queries,current_supported_queries,previous_supported_queries,previous_only_queries,inherited_routes,route_coverage,mean_route_score,dormant_routes,births,rejected_births,peak_occupied_slots,peak_state_bytes,status
protocol_b_43_masters_3_orders,7646cc3d052a93f1498dbae11d5b5e5af5800898,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,3778cc4516bf30725b8089ba1a0fdc90dfe91ca634d136b100e7168513534b64,6e4211d6511b77466f8fc75bac75d67fb2354184ba6aa21ac3c11a7bcb3c25dc,D-LAST,129,645,9344,47266,35610,12641,6689,0.7158604452054794,1.134920809689187,1800,2512,0,36,62616,MEASURED
protocol_b_43_masters_3_orders,7646cc3d052a93f1498dbae11d5b5e5af5800898,629ff7624dcac15e6022906e808e2e05b3ec61c60a1116ab0e278f0cfd2368dd,3778cc4516bf30725b8089ba1a0fdc90dfe91ca634d136b100e7168513534b64,6e4211d6511b77466f8fc75bac75d67fb2354184ba6aa21ac3c11a7bcb3c25dc,D-EMA,129,645,9344,47266,35610,12641,6702,0.7172517123287672,1.130661526960033,1801,2500,0,36,62616,MEASURED
