reference_id,sequence_id,prefix_T,file_name,decoder_prediction_layer,query_id,gt_instance_id,match_iou,gt_point_count,allowed_gt_fraction,masked_gt_fraction,post_sample_all_masked_reset_count,post_sample_query_count,post_sample_reset_fraction
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,4,64,13,0.9354838728904724,418,0.9712918660287081,0.028708133971291905,46,100,0.46
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,4,66,5,0.942426323890686,2898,0.9489302967563837,0.05106970324361626,46,100,0.46
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,4,67,9,0.9248658418655396,517,1.0,0.0,46,100,0.46
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,4,81,8,0.9942196607589722,172,1.0,0.0,46,100,0.46
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,5,62,13,0.9354838728904724,418,0.9712918660287081,0.028708133971291905,32,100,0.32
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,5,67,9,0.8674496412277222,517,1.0,0.0,32,100,0.32
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,5,78,5,0.9414584040641785,2898,0.9489302967563837,0.05106970324361626,32,100,0.32
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,5,87,8,0.9942196607589722,172,1.0,0.0,32,100,0.32
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,6,18,13,0.892307698726654,418,0.9712918660287081,0.028708133971291905,18,100,0.18
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,6,67,9,0.8674496412277222,517,1.0,0.0,18,100,0.18
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,6,78,5,0.9507018327713013,2898,0.9582470669427191,0.041752933057280894,18,100,0.18
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,6,81,8,1.0,172,1.0,0.0,18,100,0.18
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,7,50,8,1.0,172,1.0,0.0,31,100,0.31
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,7,55,9,0.9941973090171814,517,0.9941972920696325,0.005802707930367523,31,100,0.31
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,7,61,13,0.9407745003700256,418,0.9880382775119617,0.011961722488038284,31,100,0.31
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,7,78,5,0.9479629993438721,2898,0.9554865424430642,0.04451345755693581,31,100,0.31
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,8,20,8,0.9883720874786377,172,0.9883720930232558,0.011627906976744207,24,100,0.24
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,8,36,13,0.9856459498405457,418,0.9856459330143541,0.014354066985645897,24,100,0.24
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,8,55,9,1.0,517,1.0,0.0,24,100,0.24
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,8,78,5,0.9479629993438721,2898,0.9554865424430642,0.04451345755693581,24,100,0.24
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,9,25,8,1.0,172,1.0,0.0,17,100,0.17
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,9,39,13,0.890350878238678,418,0.9712918660287081,0.028708133971291905,17,100,0.17
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,9,67,9,0.9248658418655396,517,1.0,0.0,17,100,0.17
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,9,78,5,0.9414584040641785,2898,0.9489302967563837,0.05106970324361626,17,100,0.17
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,10,19,8,1.0,172,1.0,0.0,9,100,0.09
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,10,22,13,0.890350878238678,418,0.9712918660287081,0.028708133971291905,9,100,0.09
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,10,56,5,0.94617760181427,2898,0.9523809523809523,0.04761904761904767,9,100,0.09
09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1,09582244-e2c2-2de1-956c-357092d949d1/scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02/T1,10,67,9,0.8285256624221802,517,1.0,0.0,9,100,0.09
