population,T,current_stage_AP,data_role,logical_unit_count,method,optimizer_update,output_policy,producer_id,reference,reference_count,source_method,status,t_REC,t_mAP,t_mAP25,t_mAP50,variant,delta_vs_FH-R1-native,delta_vs_R1-D0
PB,2,0.48778820037841797,PB,30,FH-R1-native,0,native,native-full-history-live,10b17940-3938-2467-8a7a-958300ba83d3,1,FH-C0-native,MEASURED,0.4887907803058624,0.32126376032829285,0.5054441094398499,0.43242254853248596,C0,0.0,0.024707764387130737
PB,2,0.46999379992485046,PB,36,FH-R1-native,0,native,native-full-history-live,137a8158-1db5-2cc0-8003-31c12610471e,1,FH-C0-native,MEASURED,0.42471468448638916,0.3287774324417114,0.6375263929367065,0.5051621794700623,C0,0.0,0.006901204586029053
PB,2,0.6179782748222351,PB,15,FH-R1-native,0,native,native-full-history-live,280d8ebb-6cc6-2788-9153-98959a2da801,1,FH-C0-native,MEASURED,0.48101964592933655,0.3981419801712036,0.7074148654937744,0.6389736533164978,C0,0.0,-0.016932785511016846
PB,2,0.40556660294532776,PB,15,FH-R1-native,0,native,native-full-history-live,5630cfcf-12bf-2860-8784-83d28a611a83,1,FH-C0-native,MEASURED,0.4156378209590912,0.3217121362686157,0.8306149244308472,0.486684650182724,C0,0.0,0.03232279419898987
PB,2,0.4495050013065338,PB,15,FH-R1-native,0,native,native-full-history-live,8eabc45f-5af7-2f32-8528-640861d2a135,1,FH-C0-native,MEASURED,0.48132944107055664,0.30561965703964233,0.7077971696853638,0.43019717931747437,C0,0.0,-0.06724148988723755
PB,2,0.28826090693473816,PB,18,FH-R1-native,0,native,native-full-history-live,ddc73797-765b-241a-9e2c-097c5989baf6,1,FH-C0-native,MEASURED,0.277880996465683,0.16472581028938293,0.41100436449050903,0.3139236569404602,C0,0.0,-0.014443174004554749
PB,3,0.4899995028972626,PB,30,FH-R1-native,0,native,native-full-history-live,10b17940-3938-2467-8a7a-958300ba83d3,1,FH-C0-native,MEASURED,0.3526526391506195,0.2111331820487976,0.4069722890853882,0.3238760828971863,C0,0.0,0.03417813777923584
PB,3,0.46076351404190063,PB,36,FH-R1-native,0,native,native-full-history-live,137a8158-1db5-2cc0-8003-31c12610471e,1,FH-C0-native,MEASURED,0.3417525887489319,0.23880630731582642,0.534346342086792,0.38786929845809937,C0,0.0,0.03970170021057129
PB,3,0.5192859172821045,PB,15,FH-R1-native,0,native,native-full-history-live,280d8ebb-6cc6-2788-9153-98959a2da801,1,FH-C0-native,MEASURED,0.42715755105018616,0.3415576219558716,0.6857874989509583,0.5909256935119629,C0,0.0,0.0041612982749938965
PB,3,0.37865251302719116,PB,15,FH-R1-native,0,native,native-full-history-live,5630cfcf-12bf-2860-8784-83d28a611a83,1,FH-C0-native,MEASURED,0.3312757611274719,0.2594224214553833,0.7474710941314697,0.3424254357814789,C0,0.0,0.08400455117225647
PB,3,0.4917617440223694,PB,15,FH-R1-native,0,native,native-full-history-live,8eabc45f-5af7-2f32-8528-640861d2a135,1,FH-C0-native,MEASURED,0.3355752229690552,0.20316021144390106,0.5112208724021912,0.30148017406463623,C0,0.0,-0.05470497906208038
PB,3,0.3272928297519684,PB,18,FH-R1-native,0,native,native-full-history-live,ddc73797-765b-241a-9e2c-097c5989baf6,1,FH-C0-native,MEASURED,0.1925707459449768,0.10024350881576538,0.3435380756855011,0.24240896105766296,C0,0.0,0.009568795561790466
PB,4,0.5086492300033569,PB,30,FH-R1-native,0,native,native-full-history-live,10b17940-3938-2467-8a7a-958300ba83d3,1,FH-C0-native,MEASURED,0.2736377716064453,0.16203360259532928,0.3354821801185608,0.27698248624801636,C0,0.0,0.062220968306064606
PB,4,0.42785707116127014,PB,36,FH-R1-native,0,native,native-full-history-live,137a8158-1db5-2cc0-8003-31c12610471e,1,FH-C0-native,MEASURED,0.2655211389064789,0.17788325250148773,0.48839783668518066,0.2915275990962982,C0,0.0,0.03116661310195923
PB,4,0.5164557695388794,PB,15,FH-R1-native,0,native,native-full-history-live,280d8ebb-6cc6-2788-9153-98959a2da801,1,FH-C0-native,MEASURED,0.40064817667007446,0.3173139691352844,0.6567652225494385,0.6088117361068726,C0,0.0,0.04922443628311157
PB,4,0.3808666169643402,PB,15,FH-R1-native,0,native,native-full-history-live,5630cfcf-12bf-2860-8784-83d28a611a83,1,FH-C0-native,MEASURED,0.2777777910232544,0.23233236372470856,0.6903408169746399,0.28585702180862427,C0,0.0,0.044407740235328674
PB,4,0.4534394443035126,PB,15,FH-R1-native,0,native,native-full-history-live,8eabc45f-5af7-2f32-8528-640861d2a135,1,FH-C0-native,MEASURED,0.2839161157608032,0.1292911171913147,0.33035537600517273,0.22788377106189728,C0,0.0,0.026129290461540222
PB,4,0.33141061663627625,PB,18,FH-R1-native,0,native,native-full-history-live,ddc73797-765b-241a-9e2c-097c5989baf6,1,FH-C0-native,MEASURED,0.14584380388259888,0.07132521271705627,0.29671159386634827,0.14960718154907227,C0,0.0,0.0029570311307907104
PB,5,0.5344342589378357,PB,30,FH-R1-native,0,native,native-full-history-live,10b17940-3938-2467-8a7a-958300ba83d3,1,FH-C0-native,MEASURED,0.2318851798772812,0.13783685863018036,0.32790863513946533,0.2596283555030823,C0,0.0,0.06283513456583023
PB,5,0.42180243134498596,PB,36,FH-R1-native,0,native,native-full-history-live,137a8158-1db5-2cc0-8003-31c12610471e,1,FH-C0-native,MEASURED,0.2208767533302307,0.14835293591022491,0.44048798084259033,0.25708046555519104,C0,0.0,0.023258790373802185
PB,5,0.49901559948921204,PB,15,FH-R1-native,0,native,native-full-history-live,280d8ebb-6cc6-2788-9153-98959a2da801,1,FH-C0-native,MEASURED,0.3712037205696106,0.31810683012008667,0.624430239200592,0.5855010747909546,C0,0.0,0.10203532874584198
PB,5,0.4332902133464813,PB,15,FH-R1-native,0,native,native-full-history-live,5630cfcf-12bf-2860-8784-83d28a611a83,1,FH-C0-native,MEASURED,0.2119341492652893,0.1866917908191681,0.6142826080322266,0.2467331886291504,C0,0.0,0.011316999793052673
PB,5,0.48609548807144165,PB,15,FH-R1-native,0,native,native-full-history-live,8eabc45f-5af7-2f32-8528-640861d2a135,1,FH-C0-native,MEASURED,0.18114060163497925,0.08488002419471741,0.21797266602516174,0.15545478463172913,C0,0.0,0.01644796133041382
PB,5,0.29044562578201294,PB,18,FH-R1-native,0,native,native-full-history-live,ddc73797-765b-241a-9e2c-097c5989baf6,1,FH-C0-native,MEASURED,0.08834890276193619,0.03481326997280121,0.2588352560997009,0.07038874179124832,C0,0.0,0.006062595173716545
PB,2,0.47927969694137573,,30,R1-D0,,,,10b17940-3938-2467-8a7a-958300ba83d3,1,PARENT,,0.4957005977630615,0.2965559959411621,0.48683738708496094,0.39211568236351013,,-0.024707764387130737,0.0
PB,2,0.4591214954853058,,36,R1-D0,,,,137a8158-1db5-2cc0-8003-31c12610471e,1,PARENT,,0.4307054877281189,0.3218762278556824,0.6137778759002686,0.4656772315502167,,-0.006901204586029053,0.0
PB,2,0.6327818632125854,,15,R1-D0,,,,280d8ebb-6cc6-2788-9153-98959a2da801,1,PARENT,,0.5045526027679443,0.41507476568222046,0.7300218939781189,0.6431086659431458,,0.016932785511016846,0.0
PB,2,0.41369953751564026,,15,R1-D0,,,,5630cfcf-12bf-2860-8784-83d28a611a83,1,PARENT,,0.3624247908592224,0.28938934206962585,0.7040541172027588,0.36594295501708984,,-0.03232279419898987,0.0
